gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,raw_row_id
RV-11979,ING-0.2,VENTA DE VACAS,raw_ventas_exact,VENTA DE VACAS,,ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11979
RV-11980,ING-0.2,VENTA DE VACAS,raw_ventas_exact,VENTA DE VACAS,2 VACAS DESDE YUTRECO,ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11980
RV-11981,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"425.985 kg de leche a $455.41 . Estanque 03076-7, El Maiten Guias entre 1298482-1271440",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11981
RV-11982,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"72.826 kg de leche a $448.72 Estanque 20530-3, El Maiten Guias entre 1298482-1271418",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11982
RV-11983,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"144.463 kg de leche a $451.05 Estanque 21055-2, Raices Guias entre 1300349-1268098",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11983
RV-11984,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"346.310 kg de leche a 461.94 Estanque 21215-6, Yutreco Guias entre 1297954-1269265",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11984
RV-11985,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"411.897 kg de leche a $477,40 Estanque 03076-7, El Maiten Guias entre 1271587-1260591",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11985
RV-11986,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"125.109 kg de leche a $ 470,88 Estanque 21055-2, Raices Guias entre 1268805-1269347",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11986
RV-11987,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"301.899 kg de leche a $ 480,43 Estanque 21215-6, Yutreco Guias entre 1276573-1261418",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11987
RV-11989,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"434.085 kg de leche a $500,63 estanque 03076-7, El Maiten Guias entre 1270047-1350907",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11989
RV-11990,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"127.970 kg de lecha a $489,60 Estanque 21055-2, Raices Guias entre 1260441-1258522",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11990
RV-11991,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"312.014 kg de leche $501,31 Estanque 21215-6, Yutreco Guias entre 1268997-1351643",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11991
RV-11994,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"366.000 kg de leche a $ 528,87 estanque 03076-7, El Maiten Guia entre 1315476 - 1274768",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11994
RV-11995,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"109.690 kg de leche a $ 511,10 estanque 21055-2, Raices Guia entre 1314877 - 1344674",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11995
RV-11996,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"279.943 kg de leche a $ 517,18 Estanque 21215-6, Yutreco Guias entre 1315427 - 1350541",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11996
RV-11997,ING-0.2,VENTA DE VACAS,raw_ventas_exact,VENTA DE VACAS,DESDE EL MAITEN FMA 101610652,ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11997
RV-11998,ING-0.2,VENTA DE VACAS,raw_ventas_exact,VENTA DE VACAS,40 VACAS NOTA VENTA 22559-A,ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11998
RV-11999,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"212.775 kg de leche a $ 595,49 Estanque 03076-7, El Maiten Guia entre 1344676 - 1256614",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,11999
RV-12000,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"57.212 kg de leche a $ 554,51 Estanque 21055-2, Raices Guia entre 1257430 - 1266914",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,12000
RV-12001,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"164.256 Kg de leche a $ 553,29 Estanque 21215-6, Yutreco Guia entre 1274730 - 1256336",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,12001
RV-12003,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"9.663 kg de leche a $ 592,51 Estanque 03076-7, El Maiten Guia entre 1267029 - 1256625",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,12003
RV-12004,ING-0.1,VENTA DE LECHE,raw_ventas_exact,VENTA DE LECHE,"6.740 kg de leche a $ 627,80 Estanque 21215-6, Yutreco Guia entre 1256339 - 1267203",ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,12004
RV-12005,ING-0.2,VENTA DE VACAS,raw_ventas_exact,VENTA DE VACAS,DESDE RAICES FMA 112626628,ANTILLANCA SPA,,Exact canonical item name on the client's own VENTAS invoice; label and transaction direction are explicit.,,VENTAS,12005
