gold_sha256,seed,split,gold_id,category_code,text,text_sha256
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,excluded_lt2,SA-00035,ADM-1.9,Representacion Casub RBM | AWÜA CONSULTORES SPA,0398299c1714d747a61588d31222698208bdd95a6a0153c9f4f1b95969bf9dc5
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,RG-00541,ADM-1.10,CONSULTORIA EN GESTION DE PERSONAS | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,4af2ed8eb20545913e04e337a82b51722415be9b139f0f929b6a4e50aa8eff63
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00015,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS MAYO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,5e565d64ad980211598ecc386161834a2d97a797064a27411fa38d3e59b5aa28
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00016,ADM-1.10,PREVENCION DE RIESGOS | CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL OCTUBRE | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,b4a02d81d15a4fa6f2123e14550959082b8f7ac533dfad88a4e045d362dbb7d7
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00030,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,bdb7dc6b5d67fbab9a418ffef98c6f166057fe0a8415391de2e3e9fddbc309e3
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00076,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,1932fbc64e771061b51d00f9f83d6d22cb2cef52464b6407e4081a4a277887e5
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00088,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,429e25bb174187fc004d32ea96ad44556d8fdcb944835443f2e7dd3b686a6eca
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00096,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,47a3171e18603151a0a1e5fbcae4e3cb1c7f01a35cfb9a7988150541de7fd000
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00124,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS MARZO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,c65ef8d47c1b40cc0223b7b15b364978243fe0b5a661a6697c7befc1c0284410
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00165,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS ENERO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,44792037da8a4d55d1efdfacdba5994f8e8b1b5eae04d7085ff16f864d56821b
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00200,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS FEBRERO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,837352ec42dcfae335b998c7145a6e1eb5da969e7ef3e53f13db813e4762510b
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00205,ADM-1.10,PREVENCION DE RIESGOS | CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL JUNIO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,b175b81b5f5d27cbd2f8e4ad5e05c8e058cbbd06a4197fe2b815357e491dca8c
cfb67e75cee7dfd6129d299c95c3bb118cc9ac5ffac27f3bc58895faece9529a,42,train,SA-00232,ADM-1.10,RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,6dfc7362da19ebc3937c23571a83f8deebf5b9cf3b5a023b1ca932fed621b5ca
