gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,raw_row_id
SA-00239,EXP-14.4,Mantencion Instalaciones,silver_audit,INSTALACION DE LAVADORA,EN SALA DE ORDEÑA,SERVICIOS DE MANTENCIÓN DOMICILIARIA NONTUELA SPA,,[high] Explicit installation of washing machine in sala de ordena (milking parlor) | dsc_item: EN SALA DE ORDEÑA; EXP-10.1 covers shed maintenance | [sweep2 relabel EXP-10.1->EXP-14.4] washer install = installations (file-tier at 14.4),,,
SA-00400,EXP-9.2,Otros Gastos Riego,silver_audit,RIEGO CAL PRADERAS 30 TON,APLICACION MAS CARGUIO,SERVICIOS AGRICOLAS CORPAL SPA,,[high/keyword-audit] item matches EXP-9.2 signature,,,
SA-00405,EXP-2.4,Sales Minerales,file_audit,Mipro Pastoreo Skyline,//FUNDO BRAMADEROS,SANO - NUTRICION ANIMAL MODERNA SPA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00414,EXP-2.6,Otros Gastos Salud Animal,file_audit,SPRAY (PULVERIZADOR MANUAL 500 CC),SPRAY (PULVERIZADOR MANUAL 500 CC),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00425,EXP-2.2,Medicamentos Mastitis,file_audit,PINTURA SPRAY FIL ROJO -_ROJO___,_ROJO___,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00426,EXP-2.2,Medicamentos Mastitis,file_audit,PINTURA SPRAY FIL VERDE -_VERDE___,_VERDE___,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00590,EXP-14.4,Mantencion Instalaciones,file_audit,NEGRO,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00591,EXP-14.4,Mantencion Instalaciones,file_audit,INSTALACION DE LAVADORA,EN SALA DE ORDEA,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00607,EXP-13.3,Mantencion Vehiculos,file_audit,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00608,EXP-13.3,Mantencion Vehiculos,file_audit,MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,AUTO2@MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
