item_text,provider,farm,category_code
SERVICIO CONTRATO MANTENCION SEPTIEMBRE EQUIPO 1P06105EER6300230,SALINAS Y FABRES S.A.,YUTRECO,EXP-13.1
FERTILIZACION UREA 50 kg,SERVICIOS AGRICOLAS SCHUCK SPA,YUTRECO,EXP-15.5
MANTENCION MOTO HONDA TRX 420,MULTIMOTOS OSORNO SPA,TINEO,EXP-13.2
KIT INSTALACION 0 VISION 100,VERISURE CHILE SPA,RAICES,ADM-1.2
TRANSPORTE DE CARGA Y ENCOMIENDA,EGT LIMITADA,MAITEN,ADM-1.7
PLANILLA N° 73697 ANALISIS:COOP_FECCAS_SEDIMENTACION,COLUN,MAITEN,EXP-12.2
PLANILLA N° 73698 ANALISIS:COOP_FECCAS_PARASITOS PUL,COLUN,MAITEN,EXP-12.2
"HI PLANZA 1/2 """,RICARDO FRANCISCO WULFF MULLER,RAICES,EXP-9.2
"HI PLANZA 1""",RICARDO FRANCISCO WULFF MULLER,RAICES,EXP-9.2
ABRASADERAS MET,RICARDO FRANCISCO WULFF MULLER,RAICES,EXP-9.2
SERVICIO DE ALOJAMIENTO,COMERCIAL MAIFA LTDA.,MAITEN,ADM-1.5
SERVICIO DE ALOJAMIENTO,COMERCIAL MAIFA LTDA.,TINEO,ADM-1.5
SERVICIO DE ALOJAMIENTO,COMERCIAL MAIFA LTDA.,RAICES,ADM-1.5
SERVICIO DE ALOJAMIENTO,COMERCIAL MAIFA LTDA.,BRAMADERO,ADM-1.5
SERVICIO DE ALOJAMIENTO,COMERCIAL MAIFA LTDA.,YUTRECO,ADM-1.5
CONSULTORIA EN GESTION DE PERSONAS,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,MAITEN,ADM-1.10
CONSULTORIA EN GESTION DE PERSONAS,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,TINEO,ADM-1.10
CONSULTORIA EN GESTION DE PERSONAS,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,RAICES,ADM-1.10
CONSULTORIA EN GESTION DE PERSONAS,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,BRAMADERO,ADM-1.10
CONSULTORIA EN GESTION DE PERSONAS,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,YUTRECO,ADM-1.10
FLETE DE FDO YUTRECO A FERIA,EDGARDO EDMUNDO MANCILLA CARRION,YUTRECO,EXP-15.3
SERVICIO ELECTRICO SALA MAITEN,COOP ELECTRICA PAILLACO LTDA,MAITEN,EXP-11.1
SERVICIO ELECTRICO CASA,COOP ELECTRICA PAILLACO LTDA,MAITEN,EXP-11.2
SERVICIO ELECTRICO RIEGO PIVOTE,COOP ELECTRICA PAILLACO LTDA,MAITEN,EXP-9.1
SERVICIO ELECTRICO SALA RAICES,COOP RURAL ELECTRICA RIO BUENO LTDA,RAICES,EXP-11.1
SEGURO COLECTIVO. POLIZA N°12799,CIA DE SEGUROS DE VIDA CONSORCIO,MAITEN,ADM-2.2
SEGURO COLECTIVO. POLIZA N°12799,CIA DE SEGUROS DE VIDA CONSORCIO,TINEO,ADM-2.2
SEGURO COLECTIVO. POLIZA N°12799,CIA DE SEGUROS DE VIDA CONSORCIO,RAICES,ADM-2.2
SEGURO COLECTIVO. POLIZA N°12799,CIA DE SEGUROS DE VIDA CONSORCIO,BRMADERO,ADM-2.2
SEGURO COLECTIVO. POLIZA N°12799,CIA DE SEGUROS DE VIDA CONSORCIO,YUTRECO,ADM-2.2
