item_text,provider,material_code,category_code
ALCOHOL 95° LITRO,COOPRINSEM,10000026,EXP-2.6
CALFODEX 500 CC.,COOPRINSEM,10000114,EXP-2.5
CALFOMA PLUS 500 CC.,COOPRINSEM,10000116,EXP-2.5
CARDIOTONICO (VIVEFORT) CAJA 3X10 CC.,COOPRINSEM,10000128,EXP-2.5
"COBACTAN 100 CC CEFQUINOMA 2,5%",COOPRINSEM,10000155,EXP-2.2
COBACTAN LC CAJA 15 JERINGAS LACTAN,COOPRINSEM,10000157,EXP-2.2
COFORTA 100 CC.,COOPRINSEM,10000159,EXP-2.5
COLIMIC 50 CC. (ESPASMOLITICO),COOPRINSEM,10000161,EXP-2.5
REPIDERMA SPRAY 250 CC,COOPRINSEM,10000175,EXP-2.5
"CORTEXONA 50 CC. (DEXAMETASONA 0,2%)",COOPRINSEM,10000185,EXP-2.5
FORMALINA 37 % CON 12% MEOH 22 KILOS,COOPRINSEM,10000377,EXP-2.6
LIQUAMICINA LA FCO. 100 CC.,COOPRINSEM,10000516,EXP-2.5
LIQUAMICINA LA FCO. 250 CC.,COOPRINSEM,10000517,EXP-2.5
MAGNEKAL 100 CC. (CLORURO DE MG),COOPRINSEM,10000531,EXP-2.5
MOSKIMIC FORTE POUR ON 1 LITRO,COOPRINSEM,10000571,EXP-2.5
MOSKIMIC FORTE POUR ON 3 LITRO,COOPRINSEM,10000572,EXP-2.5
NOVORMON 5.000 UI (25 CC.),COOPRINSEM,10000595,EXP-3.1
ORBENIN E.D.C CAJA 36 JER SECADO,COOPRINSEM,10000601,EXP-2.1
PATHOZONE CAJA 10 JERINGAS LACTAN,COOPRINSEM,10000635,EXP-2.2
PEDEROL 2% 250 CC.,COOPRINSEM,10000637,EXP-2.5
PENCIVET 1 FCO. 6.000.000 U.I.,COOPRINSEM,10000641,EXP-2.5
RIMADYL INYECTABLE 50 CC.,COOPRINSEM,10000720,EXP-2.5
SUERO GLUCOSADO 5% 500 CC (DEXTROSA 5%),COOPRINSEM,10000855,EXP-2.6
TERIL 5 LTS.,COOPRINSEM,10000892,EXP-2.5
VACUNA CATTLEMASTER GOLD 25 DOSIS,COOPRINSEM,10000950,EXP-2.3
VACUNA CLOSTRIBAC 9P 50 DOSIS,COOPRINSEM,10000953,EXP-2.3
VACUNA CLOSTRIBAC-8 GOLD 50 DOSIS,COOPRINSEM,10000956,EXP-2.3
VACUNA FORTRESS 50 DS BORGPETERSENIL HAR,COOPRINSEM,10000969,EXP-2.3
VACUNA VISION-8 100 ML. (50 DOSIS),COOPRINSEM,10001000,EXP-2.3
