PROVEEDOR,Cód de Material,Descripción,Un/Medida,CODIGO,CUENTA,SUBCUENTA,FACTURA,UPLOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPRINSEM,10000026,ALCOHOL  95°  LITRO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06.2026,14:14:06
COOPRINSEM,10000114,CALFODEX 500 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06.2026,11:24:37
COOPRINSEM,10000116,CALFOMA PLUS 500 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06.2026,14:24:54
COOPRINSEM,10000128,CARDIOTONICO (VIVEFORT) CAJA 3X10 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06.2026,14:24:54
COOPRINSEM,10000155,"COBACTAN 100 CC  CEFQUINOMA 2,5%",UN,GASTOS EXPLOTACION,SALUD ANIMAL,MEDICAMENTOS MASTITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06.2026,10:39:30
COOPRINSEM,10000157,COBACTAN LC CAJA 15 JERINGAS LACTAN,UN,GASTOS EXPLOTACION,SALUD ANIMAL,MEDICAMENTOS MASTITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05.2026,12:09:30
COOPRINSEM,10000159,COFORTA 100 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05.2026,12:09:30
COOPRINSEM,10000161,COLIMIC 50 CC.           (ESPASMOLITICO),UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05.2026,9:02:33
COOPRINSEM,10000175,REPIDERMA SPRAY 250 CC,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05.2026,9:02:33
COOPRINSEM,10000185,"CORTEXONA  50 CC. (DEXAMETASONA 0,2%)",UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05.2026,9:02:33
COOPRINSEM,10000377,FORMALINA 37 % CON 12% MEOH  22 KILOS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05.2026,9:02:33
COOPRINSEM,10000516,LIQUAMICINA LA FCO. 100 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05.2026,8:28:40
COOPRINSEM,10000517,LIQUAMICINA LA FCO. 250 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05.2026,8:59:20
COOPRINSEM,10000531,MAGNEKAL 100 CC.     (CLORURO DE MG),UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05.2026,8:59:20
COOPRINSEM,10000571,MOSKIMIC FORTE POUR ON  1 LITRO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05.2026,8:59:20
COOPRINSEM,10000572,MOSKIMIC FORTE POUR ON  3 LITRO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05.2026,12:12:48
COOPRINSEM,10000595,NOVORMON 5.000 UI (25 CC.),UN,GASTOS EXPLOTACION,REPRODUCCION,INSEMINACION ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05.2026,9:45:59
COOPRINSEM,10000601,ORBENIN E.D.C CAJA 36 JER   SECADO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,TERAPIAS SECADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.05.2026,8:45:43
COOPRINSEM,10000635,PATHOZONE CAJA 10 JERINGAS   LACTAN,UN,GASTOS EXPLOTACION,SALUD ANIMAL,MEDICAMENTOS MASTITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04.05.2026,10:31:20
COOPRINSEM,10000637,PEDEROL 2% 250 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.04.2026,13:12:50
COOPRINSEM,10000641,PENCIVET 1 FCO. 6.000.000 U.I.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.04.2026,9:24:01
COOPRINSEM,10000720,RIMADYL INYECTABLE 50 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.04.2026,9:12:01
COOPRINSEM,10000855,SUERO GLUCOSADO 5%  500 CC (DEXTROSA 5%),UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04.2026,12:37:28
COOPRINSEM,10000892,TERIL 5 LTS.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04.2026,11:26:54
