gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00541,ADM-1.10,Otros Servicios y Asesorias,direct_client_example,CONSULTORIA EN GESTION DE PERSONAS,,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,MAITEN,Client-confirmed row-level example.,
RG-00542,ADM-1.10,Otros Servicios y Asesorias,direct_client_example,CONSULTORIA EN GESTION DE PERSONAS,,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,TINEO,Client-confirmed row-level example.,
RG-00543,ADM-1.10,Otros Servicios y Asesorias,direct_client_example,CONSULTORIA EN GESTION DE PERSONAS,,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,RAICES,Client-confirmed row-level example.,
RG-00544,ADM-1.10,Otros Servicios y Asesorias,direct_client_example,CONSULTORIA EN GESTION DE PERSONAS,,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,BRAMADERO,Client-confirmed row-level example.,
RG-00545,ADM-1.10,Otros Servicios y Asesorias,direct_client_example,CONSULTORIA EN GESTION DE PERSONAS,,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,YUTRECO,Client-confirmed row-level example.,
SA-00015,ADM-1.10,Otros Servicios y Asesorias,silver_audit,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,,"[high] HR consultancy service, professional fee not wages | client hint: same provider+item = ADM-1.10",
SA-00016,ADM-1.10,Otros Servicios y Asesorias,silver_audit,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL OCTUBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,,[high] OHS consultancy; client hint ADM-1.10 explicitly shows 'SEGURIDAD Y SALUD OCUPA' as example. | client hint ADM-1.10 example provider 'SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA',
SA-00030,ADM-1.10,Otros Servicios y Asesorias,silver_audit,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,,[high/consultancy] External HR/OHS advisory; ADM-1.10 Otros Servicios y Asesorias. | client hint->ADM-1.10,
SA-00076,ADM-1.10,Otros Servicios y Asesorias,silver_audit,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,,[high/consultancy] External HR/OHS advisory; ADM-1.10 Otros Servicios y Asesorias. | client hint->ADM-1.10,
SA-00083,ADM-1.10,Otros Servicios y Asesorias,silver_audit,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,,"[high] HR consultancy service, professional fee not wages | client hint: same provider+item = ADM-1.10",
