gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00529,ADM-1.2,Comunicaciones e Internet,direct_client_example,KIT INSTALACION 0 VISION 100,,VERISURE CHILE SPA,RAICES,Client-confirmed row-level example.,
RG-00589,ADM-1.2,Comunicaciones e Internet,direct_client_example,RESIDENTIAL,,STARLINK CHILE SPA,MAITEN,Client-confirmed row-level example.,
RG-00590,ADM-1.2,Comunicaciones e Internet,direct_client_example,RESIDENTIAL,,STARLINK CHILE SPA,TINEO,Client-confirmed row-level example.,
RG-00591,ADM-1.2,Comunicaciones e Internet,direct_client_example,RESIDENTIAL,,STARLINK CHILE SPA,RAICES,Client-confirmed row-level example.,
RG-00592,ADM-1.2,Comunicaciones e Internet,direct_client_example,RESIDENTIAL,,STARLINK CHILE SPA,BRAMADERO,Client-confirmed row-level example.,
RG-00593,ADM-1.2,Comunicaciones e Internet,direct_client_example,RESIDENTIAL,,STARLINK CHILE SPA,YUTRECO,Client-confirmed row-level example.,
RG-00615,ADM-1.2,Comunicaciones e Internet,direct_client_example,"SERVICIOS DE INTERNET RURAL TITAN 15Mnbps/10Mbps,MES DE NOVIEMBRE 2025",,NETSKY SPA,MAITEN,Client-confirmed row-level example.,
SA-00656,ADM-1.2,Comunicaciones e Internet,file_audit,Programacin Principal,,DIRECTV Chile Televisión Limitada,,[folder-audit] client filed under this category; item consistent with client description,
SA-00657,ADM-1.2,Comunicaciones e Internet,file_audit,Programacin Premiums,,DIRECTV Chile Televisión Limitada,,[folder-audit] client filed under this category; item consistent with client description,
SA-00658,ADM-1.2,Comunicaciones e Internet,file_audit,Decodificadores Adicionales,,DIRECTV Chile Televisión Limitada,,[folder-audit] client filed under this category; item consistent with client description,
SA-00659,ADM-1.2,Comunicaciones e Internet,file_audit,Comunicaciones e Internet - STARLINK CHILE SPA,,STARLINK CHILE SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00661,ADM-1.2,Comunicaciones e Internet,file_audit,Comunicaciones e Internet - ANTILLANCA SPA,,ANTILLANCA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00663,ADM-1.2,Comunicaciones e Internet,file_audit,Cargo Fijo BAM,,Telefnica Mviles Chile S.A.,,[folder-audit] client filed under this category; item consistent with client description,
RG-01022,ADM-1.2,Comunicaciones e Internet,file_audit,Servicios de internet,"Rural TitÃ¡n 15Mbps/10Mbps, MES DE NOVIEMBRE DE 2025",NETSKY SPA,,"Folder audit (newest_example_folders); folder ""COMUNICACIONES E INTERNET"" matches taxonomy for ADM-1.2.",
