gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00584,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,MAITEN,Client-confirmed row-level example.,
RG-00585,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,TINEO,Client-confirmed row-level example.,
RG-00586,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,RAICES,Client-confirmed row-level example.,
RG-00587,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,BRAMADERO,Client-confirmed row-level example.,
RG-00588,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,YUTRECO,Client-confirmed row-level example.,
SA-00018,ADM-1.4,Movilizacion,silver_audit,Venta de asiento,Venta de asiento,LATAM AIRLINES GROUP SA,,[high] Airline ticket (venta de asiento) from LATAM = administration travel/mobilization. | taxonomy ADM-1.4 plane tickets; provider LATAM AIRLINES,
SA-00027,ADM-1.4,Movilizacion,silver_audit,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00029,ADM-1.4,Movilizacion,silver_audit,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00047,ADM-1.4,Movilizacion,silver_audit,Gastos Cobranza,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00071,ADM-1.4,Movilizacion,silver_audit,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00085,ADM-1.4,Movilizacion,silver_audit,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00101,ADM-1.4,Movilizacion,silver_audit,Venta de asiento,Venta de asiento,LATAM AIRLINES GROUP SA,,[high] Airline ticket (venta de asiento) from LATAM = administration travel/mobilization. | taxonomy ADM-1.4 plane tickets; provider LATAM AIRLINES,
SA-00113,ADM-1.4,Movilizacion,silver_audit,Venta de asiento,Venta de asiento,LATAM AIRLINES GROUP SA,,[high] Airline ticket (venta de asiento) from LATAM = administration travel/mobilization. | taxonomy ADM-1.4 plane tickets; provider LATAM AIRLINES,
SA-00115,ADM-1.4,Movilizacion,silver_audit,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00167,ADM-1.4,Movilizacion,silver_audit,Gastos Gestión Cobranzas,,Sociedad Concesionaria Costanera Norte S.A.,,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00171,ADM-1.4,Movilizacion,silver_audit,Venta de asiento,Venta de asiento,LATAM AIRLINES GROUP SA,,[high] Airline ticket (venta de asiento) from LATAM = administration travel/mobilization. | taxonomy ADM-1.4 plane tickets; provider LATAM AIRLINES,
SA-00177,ADM-1.4,Movilizacion,silver_audit,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,,[high/toll] Toll/peaje charge; ADM-1.4 lists 'peajes'. | client desc ADM-1.4,
SA-00651,ADM-1.4,Movilizacion,file_audit,Recarga de Prepagos,,Ruta de los Rios Sociedad Concesionaria S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00652,ADM-1.4,Movilizacion,file_audit,DETALLE,GASOLINA NU 1203| 81.390|L,COPEC S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00653,ADM-1.4,Movilizacion,file_audit,Movilizacion - CHILLAN S.A.,,CHILLAN S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00654,ADM-1.4,Movilizacion,file_audit,93 S/P,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00655,ADM-1.4,Movilizacion,file_audit,Movilizacion - ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,,[folder-audit] client filed under this category; item consistent with client description,
