gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00536,ADM-1.5,Colacion y Alojamiento,direct_client_example,SERVICIO DE ALOJAMIENTO,,COMERCIAL MAIFA LTDA.,MAITEN,Client-confirmed row-level example.,
RG-00537,ADM-1.5,Colacion y Alojamiento,direct_client_example,SERVICIO DE ALOJAMIENTO,,COMERCIAL MAIFA LTDA.,TINEO,Client-confirmed row-level example.,
RG-00538,ADM-1.5,Colacion y Alojamiento,direct_client_example,SERVICIO DE ALOJAMIENTO,,COMERCIAL MAIFA LTDA.,RAICES,Client-confirmed row-level example.,
RG-00539,ADM-1.5,Colacion y Alojamiento,direct_client_example,SERVICIO DE ALOJAMIENTO,,COMERCIAL MAIFA LTDA.,BRAMADERO,Client-confirmed row-level example.,
RG-00540,ADM-1.5,Colacion y Alojamiento,direct_client_example,SERVICIO DE ALOJAMIENTO,,COMERCIAL MAIFA LTDA.,YUTRECO,Client-confirmed row-level example.,
RG-00609,ADM-1.5,Colacion y Alojamiento,direct_client_example,ALMUERZO,,CANAL BAJO SPA,MAITEN,Client-confirmed row-level example.,
RG-00610,ADM-1.5,Colacion y Alojamiento,direct_client_example,ALMUERZO,,CANAL BAJO SPA,TINEO,Client-confirmed row-level example.,
RG-00611,ADM-1.5,Colacion y Alojamiento,direct_client_example,ALMUERZO,,CANAL BAJO SPA,RAICES,Client-confirmed row-level example.,
RG-00612,ADM-1.5,Colacion y Alojamiento,direct_client_example,ALMUERZO,,CANAL BAJO SPA,BRAMADERO,Client-confirmed row-level example.,
RG-00613,ADM-1.5,Colacion y Alojamiento,direct_client_example,ALMUERZO,,CANAL BAJO SPA,YUTRECO,Client-confirmed row-level example.,
SA-00649,ADM-1.5,Colacion y Alojamiento,file_audit,Habitaciones ( 1),,TALBOT HOTELS S A,,[folder-audit] client filed under this category; item consistent with client description,
SA-00650,ADM-1.5,Colacion y Alojamiento,file_audit,ALMUERZOS,,MINERVA RUTH ARELLANO VASQUEZ,,[folder-audit] client filed under this category; item consistent with client description,
SA-00811,ADM-1.5,Colacion y Alojamiento,silver_audit,Alimentos y Bebidas ( 3),,TALBOT HOTELS S A,,[silver+ollama agree +claude review] matches client description,
SA-00812,ADM-1.5,Colacion y Alojamiento,silver_audit,cena,,LAS ACHIRAS SPA,,[silver+ollama agree +claude review] matches client description,
SA-00813,ADM-1.5,Colacion y Alojamiento,silver_audit,Alimentos y Bebidas / Food and Bev ( 1),,Hoteles Director Ltda.,,[silver+ollama agree +claude review] matches client description,
RG-01023,ADM-1.5,Colacion y Alojamiento,file_audit,SERVICIOS DE ALOJAMIENTO,RESERVA ID 103631 HAB 109 - TPL Hotel Diego de Almagro Los Angeles DESDE 01-10-2025 A 02-10-2025 CRISTIAN ANGUITA YV,COMERCIAL MAIFA LTDA.,,"Folder audit (newest_example_folders); folder ""COLACION Y ALOJAMIENTO"" matches taxonomy for ADM-1.5.",
