gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00115,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,RESMA HOJA CARTA PARA IMPRESORA,60000801,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00116,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,BATERIA HP ORIGINAL HT03XL,60001018,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00117,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,CABLE TIPO-C A HDMI 1.8M TM-100539,60003677,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00118,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,SERVICIOS + OFFICE,61000020,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00525,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,PAPEL HIGIENICO ECONOMICO 500 M ELITE,7606212,COLUN,,Client-confirmed product-to-category mapping.,
RG-00624,ADM-1.6,Utiles y gastos de oficina.,direct_client_example,REGARGA AGUA PURIFICADA,,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.,RAICES,Client-confirmed row-level example.,
SA-00664,ADM-1.6,Utiles y gastos de oficina.,file_audit,LIMPIAPISOS LAVANDA 5L KLEINE,,SODIMAC S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00665,ADM-1.6,Utiles y gastos de oficina.,file_audit,MOPA MICROFIBRA SIN CABO RAYAS,,SODIMAC S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00666,ADM-1.6,Utiles y gastos de oficina.,file_audit,CABO ACERO INOX EXT 120CM CUN0,,SODIMAC S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00667,ADM-1.6,Utiles y gastos de oficina.,file_audit,DEO AMB ELECT VAINILLA+REP GLADE 21 ML,1.0 x 1 UN $7090 Bruto/$5958.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00668,ADM-1.6,Utiles y gastos de oficina.,file_audit,CLORO TRADICIONAL CLORINDA 4 LT,2.0 x 1 UN $4450 Bruto/$3739.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00669,ADM-1.6,Utiles y gastos de oficina.,file_audit,"CLORO GEL CIF 800 ML, TRADICIONAL",3.0 x 1 UN $2390 Bruto/$2008.3333 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00670,ADM-1.6,Utiles y gastos de oficina.,file_audit,"LIMP MULT CR C MICROP CIF 750GR, LIMON",3.0 x 1 UN $3090 Bruto/$2596.6667 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00671,ADM-1.6,Utiles y gastos de oficina.,file_audit,PASTILLA P ESTANQUE SMART CLEAN 2X50 GR,1.0 x 1 UN $2850 Bruto/$2395.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00672,ADM-1.6,Utiles y gastos de oficina.,file_audit,AZUCAR GRANULADA IANSA 1 KG,4.0 x 1 UN $1450 Bruto/$1218.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00673,ADM-1.6,Utiles y gastos de oficina.,file_audit,PANO MULTIUSO ULTRA VIRUTEX 3 UN,4.0 x 1 UN $3690 Bruto/$3100.75 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00674,ADM-1.6,Utiles y gastos de oficina.,file_audit,PAPEL HIG ULTRA DH ELITE 40MTX18,2.0 x 1 UN $19290 Bruto/$16210.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00675,ADM-1.6,Utiles y gastos de oficina.,file_audit,"GALLETA DONUTS COSTA 100 GR, BITTER",2.0 x 1 UN $1340 Bruto/$1126.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00676,ADM-1.6,Utiles y gastos de oficina.,file_audit,"GALLETA TUAREG COSTA 120 GR, ORIGINAL",2.0 x 1 UN $720 Bruto/$605.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00677,ADM-1.6,Utiles y gastos de oficina.,file_audit,GALLETA GRETEL PIE DE LIMON COSTA 85 GR,2.0 x 1 UN $1390 Bruto/$1168.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00678,ADM-1.6,Utiles y gastos de oficina.,file_audit,GALLETA CHAMPANA GULLON 200 GR,1.0 x 1 UN $2890 Bruto/$2429.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00679,ADM-1.6,Utiles y gastos de oficina.,file_audit,GALLETA CHAMPANA ORIGINAL TENTO 100 GR,1.0 x 1 UN $1190 Bruto/$1000.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00680,ADM-1.6,Utiles y gastos de oficina.,file_audit,BOLSA REUTILIZABLE ALGODON GRANDE DKORA,1.0 x 1 UN $1890 Bruto/$1588.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00681,ADM-1.6,Utiles y gastos de oficina.,file_audit,"GALLETA COSTA 125 GR, CHOCO CHIPS",2.0 x 1 UN $950 Bruto/$798.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00682,ADM-1.6,Utiles y gastos de oficina.,file_audit,TONER ORIGINAL TN860XL MARCA BROTHER CON UN 5 0 DESCUENTO,TONER ORIGINAL TN860XL MARCA BROTHER,COMERCIAL V A M OFFICES SUPPLIES LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
