gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00530,ADM-1.7,Otros Gastos Administracion,direct_client_example,TRANSPORTE DE CARGA Y ENCOMIENDA,,EGT LIMITADA,MAITEN,Client-confirmed row-level example.,
SA-00004,ADM-1.7,Otros Gastos Administracion,silver_audit,COMISION MANTENCION PLAN (EXENTO DE IVA),COMISION MANTENCION PLAN (EXENTO DE IVA),Santander - Chile,,[high] Santander bank plan maintenance commission; IVA exento bank fee = Otros Gastos Administracion. | taxonomy ADM-1.7 + Banco Comercial + bank commission,
SA-00005,ADM-1.7,Otros Gastos Administracion,silver_audit,COMISION MANTENCION PLAN (EXENTO DE IVA),COMISION MANTENCION PLAN (EXENTO DE IVA),Santander - Chile,,[high] Bank plan maintenance fee from Santander; no office lease evidence. | taxonomy ADM-1.7 admin expenses; Santander banco comercial provider,
SA-00006,ADM-1.7,Otros Gastos Administracion,silver_audit,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES ]NUMERO DE OPERACION 02600554401 .,Banco de Chile,,[high] Bank commission for payroll convenio; not actual staff remuneration payment. | rule: ADM-1.1 needs explicit wages; bank fee fits ADM-1.7,
SA-00008,ADM-1.7,Otros Gastos Administracion,silver_audit,Comisión por Pagos de Nominas,,BANCO BICE,,"[high] Bank fee for payroll payment processing; not wages, not legal advisory. | taxonomy ADM-1.7; rule: ADM-1.1 requires explicit wages/sueldo",
SA-00012,ADM-1.7,Otros Gastos Administracion,silver_audit,MONITOREO MES DE 03/2025 CONTRATO 1731576,,VERISURE CHILE SPA,,[high] Verisure monthly security monitoring is service fee not vehicle insurance | taxonomy desc ADM-2.1 vehicle insurance; monitoring not insurance; ADM-1.7 fits,
SA-00013,ADM-1.7,Otros Gastos Administracion,silver_audit,INTERES MORA MAYOR PLAZO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high] Late payment interest (mora) on extended credit = administrative financial charge | item: INTERES MORA MAYOR PLAZO; ADM-1.7 covers financial admin charges,
SA-00017,ADM-1.7,Otros Gastos Administracion,silver_audit,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES ]NUMERO DE OPERACION 02600554401 .,Banco de Chile,,[high] Bank commission for payroll admin service; rule: 'administracion del servicio' is NOT wages. | rule ADM-1.1 'administracion del servicio NOT wages'; taxonomy ADM-1.7 misc admin,
SA-00019,ADM-1.7,Otros Gastos Administracion,silver_audit,COMISION DE MANTENCION DE PLAN,COMISION DE MANTENCION DE PLAN,Santander - Chile,,[high] Bank plan maintenance commission fits otros gastos administracion | taxonomy desc ADM-1.7 + provider Santander Banco Comercial,
SA-00020,ADM-1.7,Otros Gastos Administracion,silver_audit,COMISION MANTENCION PLAN (EXENTO DE IVA),COMISION MANTENCION PLAN (EXENTO DE IVA),Santander - Chile,,[high] Santander bank plan maintenance commission; IVA exento bank fee = Otros Gastos Administracion. | taxonomy ADM-1.7 + Banco Comercial + bank commission,
