gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00569,ADM-1.8,Asesoria Contable,direct_client_example,ASESORIA CONTABLE PERIDO OCTUBRE 2025,,AUDITAX SPA,MAITEN,Client-confirmed row-level example.,
RG-00570,ADM-1.8,Asesoria Contable,direct_client_example,ASESORIA CONTABLE PERIDO OCTUBRE 2025,,AUDITAX SPA,TINEO,Client-confirmed row-level example.,
RG-00571,ADM-1.8,Asesoria Contable,direct_client_example,ASESORIA CONTABLE PERIDO OCTUBRE 2025,,AUDITAX SPA,RAICES,Client-confirmed row-level example.,
RG-00572,ADM-1.8,Asesoria Contable,direct_client_example,ASESORIA CONTABLE PERIDO OCTUBRE 2025,,AUDITAX SPA,BRAMADERO,Client-confirmed row-level example.,
RG-00573,ADM-1.8,Asesoria Contable,direct_client_example,ASESORIA CONTABLE PERIDO OCTUBRE 2025,,AUDITAX SPA,YUTRECO,Client-confirmed row-level example.,
SA-00025,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Octubre de 2025,AUDISOFT SPA,,[high] AUDISOFT electronic invoicing software; AUDISOFT named in ADM-1.8 taxonomy example. | taxonomy ADM-1.8 'audysoft'; provider AUDISOFT SPA sibling Licencia Audisoft,
SA-00042,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Febrero de 2025,AUDISOFT SPA,,[high] Electronic invoicing service AUDISOFT; rubric explicitly lists audysoft under ADM-1.8. | taxonomy ADM-1.8 audysoft; sibling LICENCIA AUDISOFT,
SA-00061,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Abril de 2025,AUDISOFT SPA,,[high] Electronic invoicing service AUDISOFT; rubric explicitly lists audysoft under ADM-1.8. | taxonomy ADM-1.8 audysoft; provider AUDISOFT SPA,
SA-00103,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Agosto de 2025,AUDISOFT SPA,,[high] GestionDTE electronic invoicing from AUDISOFT; rubric names audysoft under ADM-1.8. | taxonomy ADM-1.8 audysoft; provider AUDISOFT SPA,
SA-00125,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Septiembre de 2025,AUDISOFT SPA,,[high] AUDISOFT electronic invoicing software; AUDISOFT named in ADM-1.8 taxonomy example. | taxonomy ADM-1.8 'audysoft'; provider AUDISOFT SPA sibling Licencia Audisoft,
SA-00126,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Marzo de 2025,AUDISOFT SPA,,[high] GestionDTE electronic invoicing AUDISOFT; rubric names audysoft under ADM-1.8; model top1 wrong. | taxonomy ADM-1.8 audysoft; sibling LICENCIA AUDISOFT,
SA-00137,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Julio de 2025,AUDISOFT SPA,,[high] Electronic invoicing service AUDISOFT; rubric explicitly lists audysoft under ADM-1.8. | taxonomy ADM-1.8 audysoft; sibling LICENCIA AUDISOFT,
SA-00218,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Noviembre de 2025,AUDISOFT SPA,,[high] AUDISOFT electronic invoicing software; AUDISOFT named in ADM-1.8 taxonomy example. | taxonomy ADM-1.8 'audysoft'; provider AUDISOFT SPA sibling Licencia Audisoft,
SA-00237,ADM-1.8,Asesoria Contable,silver_audit,LICENCIA AUDISOFT,Audisoft Basico Periodo Octubre de 2025,AUDISOFT SPA,,[high] Audisoft Basic license; rubric explicitly lists audysoft under ADM-1.8. | taxonomy ADM-1.8 audysoft; provider AUDISOFT SPA,
SA-00253,ADM-1.8,Asesoria Contable,silver_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Diciembre de 2025,AUDISOFT SPA,,[high] AUDISOFT electronic invoicing software; AUDISOFT named in ADM-1.8 taxonomy example. | taxonomy ADM-1.8 'audysoft'; provider AUDISOFT SPA sibling Licencia Audisoft,
SA-00648,ADM-1.8,Asesoria Contable,file_audit,ASESORIA CONTABLE,Periodo Junio de 2026,AUDITAX SPA,,[folder-audit] client filed under this category; item consistent with client description,
