gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00595,ADM-2.1,Seguros Vehiculos,direct_client_example,"POLIZA 6615118,",,Cia de Seguros Generales Consorcio Nacional de Seg,MAITEN,Client-confirmed row-level example.,
RG-00596,ADM-2.1,Seguros Vehiculos,direct_client_example,"POLIZA 6615118,",,Cia de Seguros Generales Consorcio Nacional de Seg,TINEO,Client-confirmed row-level example.,
RG-00597,ADM-2.1,Seguros Vehiculos,direct_client_example,"POLIZA 6615118,",,Cia de Seguros Generales Consorcio Nacional de Seg,YUTRECO,Client-confirmed row-level example.,
SA-00259,ADM-2.1,Seguros Vehiculos,silver_audit,Pago cuota 1. Póliza Vehiculos,300535666,REALE CHILE SEGUROS GENERALES S.A.,,[high/keyword-audit] item matches ADM-2.1 signature,
SA-00260,ADM-2.1,Seguros Vehiculos,silver_audit,Pago cuota 7. Póliza Vehiculos,300440510,REALE CHILE SEGUROS GENERALES S.A.,,[high/keyword-audit] item matches ADM-2.1 signature,
SA-00261,ADM-2.1,Seguros Vehiculos,silver_audit,Pago cuota 2. Póliza Vehiculos,300535666,REALE CHILE SEGUROS GENERALES S.A.,,[high/keyword-audit] item matches ADM-2.1 signature,
SA-00262,ADM-2.1,Seguros Vehiculos,silver_audit,Pago cuota 8. Póliza Vehiculos,300440510,REALE CHILE SEGUROS GENERALES S.A.,,[high/keyword-audit] item matches ADM-2.1 signature,
SA-00263,ADM-2.1,Seguros Vehiculos,silver_audit,Pago cuota 9. Póliza Vehiculos,300440510,REALE CHILE SEGUROS GENERALES S.A.,,[high/keyword-audit] item matches ADM-2.1 signature,
SA-00264,ADM-2.1,Seguros Vehiculos,silver_audit,Pago cuota 6. Póliza Vehiculos,300440510,REALE CHILE SEGUROS GENERALES S.A.,,[high/keyword-audit] item matches ADM-2.1 signature,
SA-00640,ADM-2.1,Seguros Vehiculos,file_audit,Ramo VEHICULO - Ex Liberty / Pliza 61989538 tem 1 Cuota 1,21621,HDI SEGUROS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00641,ADM-2.1,Seguros Vehiculos,file_audit,Ramo VEHICULOS MOTORIZADOS - HDI/ Poliza 586507 Item 1,,HDI SEGUROS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00642,ADM-2.1,Seguros Vehiculos,file_audit,Ramo VEHICULOS MOTORIZADOS - HDI/ Poliza 586507 Item 2,,HDI SEGUROS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00643,ADM-2.1,Seguros Vehiculos,file_audit,Ramo VEHICULOS MOTORIZADOS - HDI/ Poliza 586507 Item 3,,HDI SEGUROS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00644,ADM-2.1,Seguros Vehiculos,file_audit,Ramo VEHICULOS MOTORIZADOS - HDI/ Poliza 586507 Item 4,,HDI SEGUROS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00645,ADM-2.1,Seguros Vehiculos,file_audit,Ramo VEHICULOS MOTORIZADOS - HDI/ Poliza 586507 Item 5,,HDI SEGUROS S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00646,ADM-2.1,Seguros Vehiculos,file_audit,Seguros Vehiculos - ANTILLANCA SPA,,ANTILLANCA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00647,ADM-2.1,Seguros Vehiculos,file_audit,Seguros Vehiculos,,,,[folder-audit] client filed under this category; item consistent with client description,
