gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00551,ADM-2.2,Seguros Trabajadores,direct_client_example,SEGURO COLECTIVO. POLIZA N°12799,,CIA DE SEGUROS DE VIDA CONSORCIO,MAITEN,Client-confirmed row-level example.,
RG-00552,ADM-2.2,Seguros Trabajadores,direct_client_example,SEGURO COLECTIVO. POLIZA N°12799,,CIA DE SEGUROS DE VIDA CONSORCIO,TINEO,Client-confirmed row-level example.,
RG-00553,ADM-2.2,Seguros Trabajadores,direct_client_example,SEGURO COLECTIVO. POLIZA N°12799,,CIA DE SEGUROS DE VIDA CONSORCIO,RAICES,Client-confirmed row-level example.,
RG-00554,ADM-2.2,Seguros Trabajadores,direct_client_example,SEGURO COLECTIVO. POLIZA N°12799,,CIA DE SEGUROS DE VIDA CONSORCIO,BRMADERO,Client-confirmed row-level example.,
RG-00555,ADM-2.2,Seguros Trabajadores,direct_client_example,SEGURO COLECTIVO. POLIZA N°12799,,CIA DE SEGUROS DE VIDA CONSORCIO,YUTRECO,Client-confirmed row-level example.,
SA-00265,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00266,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00267,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00268,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00269,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00270,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00271,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00272,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00273,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00274,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00275,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00276,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00277,ADM-2.2,Seguros Trabajadores,silver_audit,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00278,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00279,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00280,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00281,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00282,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00283,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00284,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00285,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00286,ADM-2.2,Seguros Trabajadores,silver_audit,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.2 signature,
SA-00639,ADM-2.2,Seguros Trabajadores,file_audit,Seguros Trabajadores,,,,[folder-audit] client filed under this category; item consistent with client description,
SA-00752,ADM-2.2,Seguros Trabajadores,file_audit,Periodo de Cobertura octubre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,[folder-audit] client filed under this category; item consistent with client description,
