gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
SA-00287,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 09/10/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00288,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 10/03/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00289,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 06/02/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00290,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 10/07/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00291,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 10/11/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00292,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 06/03/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00293,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 11/12/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00294,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 08/05/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00295,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 10/06/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00296,ADM-2.3,Seguros Otros,silver_audit,"POLIZA 6615118, FECHA DE PAGO 08/08/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,,[high/keyword-audit] item matches ADM-2.3 signature,
SA-00902,ADM-2.3,Seguros Otros,silver_audit,DEVOLUCION DE PRIMA CUOTA 9,300440510,REALE CHILE SEGUROS GENERALES S.A.,,ollama classify + claude audit vs description,
SA-00909,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,
SA-00920,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,
SA-00933,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,
SA-00985,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,
SA-00990,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,
