gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
SA-00002,EXP-1.1,Otros Gastos RRHH,silver_audit,CURSO OPERADOR MOTOS,,SERVICIOS TECNICOS DE CAPACITACION VICTOR HERMINIO MIRANDA HERNANDEZ E,,[high] Motorcycle operator training course for staff; EXP-1.1 explicitly covers staff training/capacitaciones. | taxonomy desc EXP-1.1 (capacitaciones) vs ADM-1.10; giro=prestacion servicios capacitacion,
SA-00768,EXP-1.1,Otros Gastos RRHH,silver_audit,Curso Técnicas De Control Y Prevención De Cojeras En Vacas Lecheras,"Cód. Sence, 1238072483 , N° Horas 16, F. inicio 05-05-25, F. término 07-05-25. Lugar de realización Avenida René Soriano N° 2615, Osorno, N° Acción Sence 6624686, N° de participantes 2. Información solicitada por Sence, incluida en certificado de asistencia.^",Fundación de Instrucción Agrícola Adolfo Matthei,,[silver+ollama agree +claude review] matches client description,
SA-00770,EXP-1.1,Otros Gastos RRHH,silver_audit,"Curso Técnicas De Manejo De Crianza De Terneras De Lechería,","Cód. Sence 1238044578, N° Horas 16, F. inicio 08-04-2025, F. término 09-04-2025, Lugar de realización Avenida René Soriano N° 2615, Osorno, N° Acción Sence 6612969, N° de participantes 3. Información solicitada por Sence, incluida en certificado de asistencia.",Fundación de Instrucción Agrícola Adolfo Matthei,,[silver+ollama agree +claude review] matches client description,
SA-00771,EXP-1.1,Otros Gastos RRHH,silver_audit,Programa de inglés,,ENGLISH TRAINING SPA,,[silver+ollama agree +claude review] matches client description,
SA-00919,EXP-1.1,Otros Gastos RRHH,silver_audit,CENA 41 PERSONAS N.OP.080,,VICTOR VERA VIVEROS,,ollama classify + claude audit vs description,
RG-01024,EXP-1.1,Otros Gastos RRHH,file_audit,Curso :PrevenciÃ³n Y Manejo De Enfermedades En El Ganado Bovino,"Curso PrevenciÃ³n y Manejo de Enfermedades en el Ganado Bovino, CÃ³d. Sence 1238078788, NÂ° Horas 21, F. Inicio 17-06-26, F. TÃ©rmino 19-06-26, Lugar de realizaciÃ³n Avenida RenÃ© Soriano NÂ° 2615, Osorno, NÂ° AcciÃ³n Sence 6825187, NÂ° de participantes 1. InformaciÃ³n solicitada por Sence, incluida en certificado de asistencia.^ ^",FundaciÃ³n de InstrucciÃ³n AgrÃ­cola Adolfo Matthei,,"Folder audit (newest_example_folders); folder ""OTROS GASTOS RRHH"" matches taxonomy for EXP-1.1.",
RG-01025,EXP-1.1,Otros Gastos RRHH,file_audit,Curso TÃ©cnicas De Control Y PrevenciÃ³n De Cojeras En Vacas Lecheras,,FundaciÃ³n de InstrucciÃ³n AgrÃ­cola Adolfo Matthei,,"Folder audit (newest_example_folders); folder ""OTROS GASTOS RRHH"" matches taxonomy for EXP-1.1.",
RG-01026,EXP-1.1,Otros Gastos RRHH,file_audit,EMPANADAS DE HORNO,,MINERVA RUTH ARELLANO VASQUEZ,,"Folder audit (newest_example_folders); folder ""OTROS GASTOS RRHH"" matches taxonomy for EXP-1.1.",
RG-01099,EXP-1.1,Otros Gastos RRHH,file_audit,BANANO ALICANTE CAFE,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01100,EXP-1.1,Otros Gastos RRHH,file_audit,BOLSA,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01101,EXP-1.1,Otros Gastos RRHH,file_audit,CAVERMANOS,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01102,EXP-1.1,Otros Gastos RRHH,file_audit,CUNO,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01103,EXP-1.1,Otros Gastos RRHH,file_audit,DIARIO,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01104,EXP-1.1,Otros Gastos RRHH,file_audit,ESTAMPADO ANTILLANCA,POLERA EN BRAZO PAGA POR TRANSFERENCIA,SMRCHILE LIMITADA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01105,EXP-1.1,Otros Gastos RRHH,file_audit,ESTAMPADO CORPORACION,RURAL POLERA LADO IZQUIERDO PECHO,SMRCHILE LIMITADA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01106,EXP-1.1,Otros Gastos RRHH,file_audit,GRABADO LOGO,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01107,EXP-1.1,Otros Gastos RRHH,file_audit,HARRY POTTER 1 Y LA PIEDRA FILOSOFAL,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01108,EXP-1.1,Otros Gastos RRHH,file_audit,HUMBERTO EL VALIENTE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01109,EXP-1.1,Otros Gastos RRHH,file_audit,JUDY MOODY SE VUELVE FAMOSA,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01110,EXP-1.1,Otros Gastos RRHH,file_audit,JUDY MOODY Y STINK EL HUESO DE LOS DESEO,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01111,EXP-1.1,Otros Gastos RRHH,file_audit,KYLIE JEAN REINA DE LA TECNOLOGIA,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
