gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00308,EXP-10.1,Mantencion Sala,client_product_rule,SERVICIO MANTENCION HORAS HOMBRE,3600094,COLUN,,Client-confirmed product-to-category mapping.,
RG-00309,EXP-10.1,Mantencion Sala,client_product_rule,MOVILIZACION MANTENCION ESTANQUES,3600095,COLUN,,Client-confirmed product-to-category mapping.,
RG-00625,EXP-10.1,Mantencion Sala,direct_client_example,VIAJE TECNICO,,GEA Farm Technologies Osorno Ltda.,MAITEN,Client-confirmed row-level example.,
RG-00626,EXP-10.1,Mantencion Sala,direct_client_example,HORA TECNICA AM,,GEA Farm Technologies Osorno Ltda.,MAITEN,Client-confirmed row-level example.,
SA-00133,EXP-10.1,Mantencion Sala,silver_audit,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high] Spare parts for milk tank maintenance from Colun; client hint confirms estanques->EXP-10.1. | client hint EXP-10.1 MOVILIZACION MANTENCION ESTANQUES from Colun; provider=Colun,
SA-00196,EXP-10.1,Mantencion Sala,silver_audit,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high] Spare parts for milk tank maintenance from Colun; client hint confirms estanques->EXP-10.1. | client hint EXP-10.1 MOVILIZACION MANTENCION ESTANQUES from Colun; provider=Colun,
SA-00234,EXP-10.1,Mantencion Sala,silver_audit,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high] Spare parts for milk tank maintenance from Colun; client hint confirms estanques->EXP-10.1. | client hint EXP-10.1 MOVILIZACION MANTENCION ESTANQUES from Colun; provider=Colun,
SA-00454,EXP-10.1,Mantencion Sala,file_audit,CHAPALETA BOMBA DE LECHE 1.1/1.5,,HGS DAIRY SOLUTIONS SPA,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-10.2->EXP-10.1] pump valve = shed hardware,
SA-00457,EXP-10.1,Mantencion Sala,file_audit,FILTRO LECHE JUMBO 100 UND 150 X 800 MM,,HGS DAIRY SOLUTIONS SPA,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-10.2->EXP-10.1] milk filter = shed hardware,
SA-00471,EXP-10.1,Mantencion Sala,file_audit,FILTRO LECHE JUMBO 100 UND 150 X 800 MM,,GEA Farm Technologies Osorno Ltda.,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-10.3->EXP-10.1] milk filter = shed hardware,
