gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00193,EXP-10.3,Detergentes e higenizantes,client_product_rule,CLORO ORGANICO 5 KG,7601630,COLUN,,Client-confirmed product-to-category mapping.,
RG-00219,EXP-10.3,Detergentes e higenizantes,client_product_rule,"DETERGENTE OMO MATIC X 13,7 KG",7613005,COLUN,,Client-confirmed product-to-category mapping.,
RG-00234,EXP-10.3,Detergentes e higenizantes,client_product_rule,DUPLALIM DESINF. X 5 LT.,7055760,COLUN,,Client-confirmed product-to-category mapping.,
RG-00238,EXP-10.3,Detergentes e higenizantes,client_product_rule,QUIX 10 LT.,7041386,COLUN,,Client-confirmed product-to-category mapping.,
RG-00248,EXP-10.3,Detergentes e higenizantes,client_product_rule,MISTRAL X 25 KG,7605616,COLUN,,Client-confirmed product-to-category mapping.,
RG-00465,EXP-10.3,Detergentes e higenizantes,client_product_rule,ESPUMA CLORADA DA X 20 LT,7607575,COLUN,,Client-confirmed product-to-category mapping.,
RG-00518,EXP-10.3,Detergentes e higenizantes,client_product_rule,QUIX 5 LT,7614383,COLUN,,Client-confirmed product-to-category mapping.,
RG-00524,EXP-10.3,Detergentes e higenizantes,client_product_rule,CLORO ORGANICO 10 KG,7601631,COLUN,,Client-confirmed product-to-category mapping.,
RG-00566,EXP-10.3,Detergentes e higenizantes,direct_client_example,SOLUTION 60 lts,,GEA Farm Technologies Osorno Ltda.,RAICES,Client-confirmed row-level example.,
RG-00567,EXP-10.3,Detergentes e higenizantes,direct_client_example,ZINICIN 70 kgs,,GEA Farm Technologies Osorno Ltda.,RAICES,Client-confirmed row-level example.,
SA-00452,EXP-10.3,Detergentes e higenizantes,file_audit,ORACID 60 L,,HGS DAIRY SOLUTIONS SPA,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-10.2->EXP-10.3] ORACID acid cleaner=detergent not teat-dip,
SA-00455,EXP-10.3,Detergentes e higenizantes,file_audit,TRI-PFAN 200 LTS,,HGS DAIRY SOLUTIONS SPA,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-10.2->EXP-10.3] TRI PFAN cleaner not teat-dip,
SA-00456,EXP-10.3,Detergentes e higenizantes,file_audit,ZINICIN 70 KGS.,,HGS DAIRY SOLUTIONS SPA,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-10.2->EXP-10.3] ZINICIN client rule RG-00567=10.3,
SA-00469,EXP-10.3,Detergentes e higenizantes,file_audit,TRI-PFAN 200 LTS,,GEA Farm Technologies Osorno Ltda.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00470,EXP-10.3,Detergentes e higenizantes,file_audit,ORACID 60 L,,GEA Farm Technologies Osorno Ltda.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00472,EXP-10.3,Detergentes e higenizantes,file_audit,PIOLA PERLON RETIRADOR (NEGRA)/ MT,,GEA Farm Technologies Osorno Ltda.,,[folder-audit] client filed under this category; item consistent with client description,
CF-00004,EXP-10.3,Detergentes e higenizantes,file_audit_corrected,SOLUTION 60 LTS,,HGS DAIRY SOLUTIONS SPA,,Matches client-confirmed RG-00566 'SOLUTION 60 lts' (GEA Farm Technologies) already gold as EXP-10.3 Detergentes e higenizantes. Corrected from conflicting EXP-10.2/EXP-10.4 folder placements.,
