gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00547,EXP-11.1,Electricidad Lecheria,direct_client_example,SERVICIO ELECTRICO SALA MAITEN,,COOP ELECTRICA PAILLACO LTDA,MAITEN,Client-confirmed row-level example.,
RG-00550,EXP-11.1,Electricidad Lecheria,direct_client_example,SERVICIO ELECTRICO SALA RAICES,,COOP RURAL ELECTRICA RIO BUENO LTDA,RAICES,Client-confirmed row-level example.,
RG-00601,EXP-11.1,Electricidad Lecheria,direct_client_example,SERVICIO ELECTRICO SALA YUTRECO,,CIA ELECTRICA OSORNO S A,YUTRECO,Client-confirmed row-level example.,
SA-00001,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge; 34320 KwH with demanda maxima industrial dairy scale | sibling 34320 KwH + demanda maxima + provider COOP RURAL ELECT,
SA-00003,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge on electricity bill from rural electricity coop; sibling shows 923 KwH | provider COOP RURAL ELECT RIO BUENO + client hint EXP-11.1,
SA-00010,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge on electricity bill; provider = dairy electricity cooperative | provider COOP RURAL ELECT RIO BUENO + sibling 720 KwH,
SA-00011,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge; 41220 KwH with demanda maxima clearly industrial dairy-scale consumption | sibling 41220 KwH + demanda maxima + provider COOP RURAL ELECT,
SA-00021,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge; 8640 KwH with demanda maxima consistent with dairy shed operation | sibling demanda maxima + KwH + provider COOP RURAL ELECT,
SA-00032,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge; 7860 KwH with demanda maxima consistent with dairy shed | sibling demanda maxima + KwH + provider COOP RURAL ELECT,
SA-00040,EXP-11.1,Electricidad Lecheria,silver_audit,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[high] Admin charge on electricity bill; rural coop electricity provider | provider COOP RURAL ELECT + sibling 456 KwH electricity consumed,
