gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00120,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL ULTRA (DISTRIBUCION),7602487,COLUN,,Client-confirmed product-to-category mapping.,
RG-00627,EXP-11.3,Petroleo,direct_client_example,PETROLEO DIESEL,,FEROSOR AGRICOLA S.A.,YUTRECO,Client-confirmed row-level example.,
SA-00633,EXP-11.3,Petroleo,file_audit,PETROLEO DIESEL ULTRA,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,,[folder-audit] client filed under this category; item consistent with client description,
SA-00634,EXP-11.3,Petroleo,file_audit,Petroleo - COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00782,EXP-11.3,Petroleo,silver_audit,Diesel,Diesel,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,,[silver+ollama agree +claude review] matches client description,
SA-00783,EXP-11.3,Petroleo,silver_audit,Petroleo Diesel G-B,IE Base: 102.9720 - IE Variable: 56.6209,INVERSIONES Y ASESORIA BARCA SPA 3103944,,[silver+ollama agree +claude review] matches client description,
SA-00854,EXP-11.3,Petroleo,silver_audit,DIESEL B,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.,,ollama classify + claude audit vs description,
SA-00912,EXP-11.3,Petroleo,silver_audit,BIDON 20 LTS DIESEL,BIDON 20 LTS DIESEL,ADMINISTRADORA DE VENTAS AL DETALLE LTDA,,ollama classify + claude audit vs description,
SA-00978,EXP-11.3,Petroleo,silver_audit,Aramco ProForce Diesel A,"Aramco ProForce Diesel A@@Fecha 12/12/2025 Base 1.50 UTM/m3; 104,313; Variable 0 UTM/m3; 32,587",Esmax Distribucion SpA,,ollama classify + claude audit vs description,
SA-00979,EXP-11.3,Petroleo,silver_audit,PETROLEO DIESEL 2-D-COMBUSTIBLES(K)-DIESEL,,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,,ollama classify + claude audit vs description,
SA-00980,EXP-11.3,Petroleo,silver_audit,EST. DIESEL PORTATIL CERT. 420 L,EST. DIESEL PORTATIL CERT. 420 L,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
RG-01088,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL ULTRA,7070050,COOP. AGRICOLA Y LECHERA LA UNION,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01089,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL ULTRA (DISTRIBUCION),7602487,COOP. AGRICOLA Y LECHERA LA UNION,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01090,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL G-B,,INVERSIONES ENEX S.A.,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01091,EXP-11.3,Petroleo,client_product_rule,DIESEL,,SOC. TRANP. STEUER HOLMGREN Y COMPAÑIA L,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01092,EXP-11.3,Petroleo,client_product_rule,DIESEL,,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01093,EXP-11.3,Petroleo,client_product_rule,DIESEL,,CONERCIAL Y SERVICIOS J Y M  LTDA,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01094,EXP-11.3,Petroleo,client_product_rule,DIESEL,,PATRICIO SANTIAGO CAREY BRIONES,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
RG-01095,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL G-B,,SOC DE INVER LAGO RANCO SPA,,"Client fuel-list (newest list, Combustible tab); diesel/petroleo -> EXP-11.3.",
