gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00583,EXP-11.4,Bencina,direct_client_example,GASOLINA 93,,COLUN,TINEO,Client-confirmed row-level example.,
SA-00859,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 404.5740 - IE Variable: -37.2478,INVERSIONES ENEX S.A.,,ollama classify + claude audit vs description,
SA-00862,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 403.7640 - IE Variable: 6.4468,PILAUCO VIEJO SPA,,ollama classify + claude audit vs description,
SA-00871,EXP-11.4,Bencina,silver_audit,GASOLINA 95,Retira: ANTILLANCA SPA{Impuesto base combustible: 13728{Impuesto variable combustible: 249,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00873,EXP-11.4,Bencina,silver_audit,GASOLINA 95,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,,ollama classify + claude audit vs description,
SA-00881,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 408.2040 - IE Variable: 38.5821,INVERSIONES Y ASESORIA BARCA SPA 3103944,,ollama classify + claude audit vs description,
SA-00893,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 409.8360 - IE Variable: 13.3197,COMER DE COMBUSTIBLES M&D LTD,,ollama classify + claude audit vs description,
SA-00894,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 409.8360 - IE Variable: -30.1025,DISTRIBUIDORA ENTRETECHO SPA,,ollama classify + claude audit vs description,
SA-00901,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 411.8880 - IE Variable: 15.1712,COMERCIAL SUR ENERGY SPA,,ollama classify + claude audit vs description,
SA-00943,EXP-11.4,Bencina,silver_audit,BIDON GASOLINA 20 LT,BIDON GASOLINA 20 LT,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,,ollama classify + claude audit vs description,
SA-00958,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 415.5900 - IE Variable: 17.4132,SOC. COMERC. EDOW LTDA. 3101597,,ollama classify + claude audit vs description,
SA-00970,EXP-11.4,Bencina,silver_audit,Gasolina 95 octanos sin plomo,IE Base: 417.2520 - IE Variable: 0.0000,INVERSIONES ENEX S.A.,,ollama classify + claude audit vs description,
SA-00975,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 417.2520 - IE Variable: 35.2995,SOC DE INVERSIONES EL OLIVO SPA,,ollama classify + claude audit vs description,
SA-00977,EXP-11.4,Bencina,silver_audit,Aramco Gasolina 93,"Aramco Gasolina 93@@Fecha 12/12/2025 Base 6.00 UTM/m3; 417,252; Variable 1 UTM/m3; 35,119",Esmax Distribucion SpA,,ollama classify + claude audit vs description,
SA-00984,EXP-11.4,Bencina,silver_audit,Gasolina 93 octanos sin plomo,IE Base: 418.5060 - IE Variable: 35.9706,COMERCIAL RIO BUENO SPA,,ollama classify + claude audit vs description,
SA-00986,EXP-11.4,Bencina,silver_audit,V-POWER Gasolina 97 octanos sp,IE Base: 418.5060 - IE Variable: 68.1328,INVERSIONES ENEX S.A.,,ollama classify + claude audit vs description,
SA-00995,EXP-11.4,Bencina,silver_audit,Aramco Gasolina 93,,Estaciones de Serv. Paola Uslar Molina E.I.R.L.,,ollama classify + claude audit vs description,
RG-01036,EXP-11.4,Bencina,file_audit,GASOLINA 93,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,,"Folder audit (newest_example_folders); folder ""BENCINA"" matches taxonomy for EXP-11.4.",
