gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00608,EXP-11.5,Gas,direct_client_example,GAS 45 kg,,JULIA IGNACIA FUENTES FLORES,MAITEN,Client-confirmed row-level example.,
SA-00299,EXP-11.5,Gas,silver_audit,GAS 15KG GASCO,GAS 15KG GASCO,ELCIRA CABEZA MENENDEZ,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00300,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00301,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00302,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00303,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00304,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00305,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00306,EXP-11.5,Gas,silver_audit,"Gas, 45 kilos",,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00307,EXP-11.5,Gas,silver_audit,Galón de Gas 45 kgs.,,JULIA IGNACIA FUENTES FLORES,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00308,EXP-11.5,Gas,silver_audit,CARGA GAS 15 KG CLASIC,,RICARDO GERMAN OSWALD BUCHNER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00309,EXP-11.5,Gas,silver_audit,CARGA GAS 15 KG,,RICARDO GERMAN OSWALD BUCHNER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00310,EXP-11.5,Gas,silver_audit,CARGA GAS 15 KG,,RICARDO GERMAN OSWALD BUCHNER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00311,EXP-11.5,Gas,silver_audit,CARGA GAS 15 KG,,RICARDO GERMAN OSWALD BUCHNER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00312,EXP-11.5,Gas,silver_audit,CARGA GAS 45 KG,,RICARDO GERMAN OSWALD BUCHNER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00313,EXP-11.5,Gas,silver_audit,BALON GAS 450 GR PROVIDUS+ CUN,,SODIMAC S.A.,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00314,EXP-11.5,Gas,silver_audit,CARTUCHO DE GAS DESECHABLE 190 GR NOORWICK -@,CARTUCHO DE GAS DESECHABLE 190 GR NOORWICK -@,DORIS IVONNE CASTILLO KANTER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00315,EXP-11.5,Gas,silver_audit,BALON GAS DESECHABLE 190 GR PROVIDUS -@,BALON GAS DESECHABLE 190 GR PROVIDUS -@,DORIS IVONNE CASTILLO KANTER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00316,EXP-11.5,Gas,silver_audit,BALON GAS DESECHABLE 190 GR PROVIDUS -@,BALON GAS DESECHABLE 190 GR PROVIDUS -@,DORIS IVONNE CASTILLO KANTER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00317,EXP-11.5,Gas,silver_audit,"CARTUCHO GAS BUTANO-PROPANO 227 G ""OFERTA""",,COMERCIAL CLIMENT SPA,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00318,EXP-11.5,Gas,silver_audit,FLEXIBLE GAS 1 2X1 2 SERCOGAS 1METRO CER -@,FLEXIBLE GAS 1 2X1 2 SERCOGAS 1METRO CER -@,DORIS IVONNE CASTILLO KANTER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00319,EXP-11.5,Gas,silver_audit,FLEXIBLE GAS STRETTO HI HI 1/2 X 3/8 1.0 MT,FLEXIBLE GAS STRETTO HI HI 1/2 X 3/8 1.0 MT,COMERCIAL HARCHA SPA,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00320,EXP-11.5,Gas,silver_audit,BALON GAS 230GRS C VALV PROVIDUS -@,BALON GAS 230GRS C VALV PROVIDUS -@,DORIS IVONNE CASTILLO KANTER,,[high/keyword-audit] item matches EXP-11.5 signature,
SA-00632,EXP-11.5,Gas,file_audit,Gas - ANTILLANCA SPA,,ANTILLANCA SPA,,[folder-audit] client filed under this category; item consistent with client description,
