gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00568,EXP-12.1,Analisis Suelo y forraje,direct_client_example,MUES.SUELO FDO. PELLECO,,JAVIER ARIEL SILVA VERA,PELLECO,Client-confirmed row-level example.,
SA-00044,EXP-12.1,Analisis Suelo y forraje,silver_audit,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high] NIRS forage/silage analysis with sibling muestreo forraje; rule: NIRS->EXP-12.1 | rule: NIRS -> analysis category EXP-12.1; sibling: MUESTREO FORRAJE,
SA-00077,EXP-12.1,Analisis Suelo y forraje,silver_audit,MUESTREO DE SUELOS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high] Soil sampling with sibling analisis suelo+azufre = soil lab testing | siblings: ANALISIS SIRD-S BASICO SUELO + AZUFRE; client hint EXP-12.1,
SA-00140,EXP-12.1,Analisis Suelo y forraje,silver_audit,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high] NIRS forage/silage analysis with sibling muestreo forraje; rule: NIRS->EXP-12.1 | rule: NIRS -> analysis category EXP-12.1; sibling: MUESTREO FORRAJE,
SA-00321,EXP-12.1,Analisis Suelo y forraje,silver_audit,MUESTREO FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-12.1 signature,
SA-00322,EXP-12.1,Analisis Suelo y forraje,silver_audit,MUESTREO FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-12.1 signature,
SA-00323,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muestreo forraje Maiten,,JAVIER ARIEL SILVA VERA,,[high/keyword-audit] item matches EXP-12.1 signature,
SA-00324,EXP-12.1,Analisis Suelo y forraje,silver_audit,ANALISIS SIRD-S BASICO SUELO + AZUFRE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-12.1 signature,
SA-00377,EXP-12.1,Analisis Suelo y forraje,silver_audit,ANALISIS COMPLETO TEJIDO VEGETAL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-12.1 signature,
SA-00492,EXP-12.1,Analisis Suelo y forraje,file_audit,Analisis Suelo y forraje - ANTILLANCA SPA,,ANTILLANCA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00493,EXP-12.1,Analisis Suelo y forraje,file_audit,Analisis Suelo y forraje - ROCK RIVER LABORATORY LIMITADA,,ROCK RIVER LABORATORY LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00701,EXP-12.1,Analisis Suelo y forraje,file_audit,muest.Suelo Fdo.Pelleco,,JAVIER ARIEL SILVA VERA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00809,EXP-12.1,Analisis Suelo y forraje,silver_audit,Analisis Nirs,Bolos de Ballica - Yutreco x 4 bolo y parva de ballica - Maiten x 9 Bramadero 10 Convenio Javier Silva,ROCK RIVER LABORATORY LIMITADA,,[silver+ollama agree +claude review] matches client description,
SA-00810,EXP-12.1,Analisis Suelo y forraje,silver_audit,REVERSA ANALISIS COOPERADO,REVERSA ANALISIS COOPERADO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[silver+ollama agree +claude review] matches client description,
SA-00843,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muestreo forraj.el Maiten,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00844,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muestras forra. Bramadero,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00845,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muestra Forra.Yutreco,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00922,EXP-12.1,Analisis Suelo y forraje,silver_audit,Must Suelo el Maiten,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00923,EXP-12.1,Analisis Suelo y forraje,silver_audit,Must Suelo Bramadero,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00924,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muest Suelo Tineo,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00925,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muest Suelo Yutreco,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00926,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muest Suelo Raices,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00938,EXP-12.1,Analisis Suelo y forraje,silver_audit,Análisis ChilePackage,Fundo el Maiten 56 muestras Fundo Bramadero 22 muestras Fundo Yutreco 42 muestras Fundo El Tineo 18 muestras Fundo Raices 15 muestras,ROCK RIVER LABORATORY LIMITADA,,ollama classify + claude audit vs description,
SA-00959,EXP-12.1,Analisis Suelo y forraje,silver_audit,PLANILLA NUMERO 73697 - ANALISIS : COOP-FECAS-SEDIMENTACION,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00960,EXP-12.1,Analisis Suelo y forraje,silver_audit,PLANILLA NUMERO 73698 - ANALISIS : COOP-FECAS-PARASITOS PUL,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00987,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muestra forraje Chapilcah,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00988,EXP-12.1,Analisis Suelo y forraje,silver_audit,Muestra Forraje Yutreco,,JAVIER ARIEL SILVA VERA,,ollama classify + claude audit vs description,
SA-00993,EXP-12.1,Analisis Suelo y forraje,silver_audit,PLANILLA NUMERO 76449 - ANALISIS : COOP-FECAS-SEDIMENTACION,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00994,EXP-12.1,Analisis Suelo y forraje,silver_audit,PLANILLA NUMERO 76450 - ANALISIS : COOP-FECAS-SEDIMENTACION,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
