gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00173,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 75033 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00262,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 73697 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00263,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 73698 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00403,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71815 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00404,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 72162 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00405,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 72163 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00406,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 72183 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00415,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71334 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00416,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71335 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00417,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71336 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00418,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71339 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00419,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71617 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00420,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71694 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00421,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71726 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00437,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 70927 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00438,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71035 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
RG-00439,EXP-12.2,Analisis Animales,client_product_rule,PLANILLA NÚMERO 71080 - ANÁLISIS : COOP,3600326,COLUN,,Client-confirmed product-to-category mapping.,
