gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00159,EXP-13.1,Mantencion Maquinaria,client_product_rule,A.MOBIL HD 80-90 X 19 LT,7070416,COLUN,,Client-confirmed product-to-category mapping.,
RG-00221,EXP-13.1,Mantencion Maquinaria,client_product_rule,ADBLUE BIDON 10 LTS.,7071560,COLUN,,Client-confirmed product-to-category mapping.,
RG-00226,EXP-13.1,Mantencion Maquinaria,client_product_rule,ACEITE 2T STHIL X 5 LTS,7602271,COLUN,,Client-confirmed product-to-category mapping.,
RG-00272,EXP-13.1,Mantencion Maquinaria,client_product_rule,LUBRICANTE CP 40 X 400 ML,7009156,COLUN,,Client-confirmed product-to-category mapping.,
RG-00290,EXP-13.1,Mantencion Maquinaria,client_product_rule,ACEITE 2T STIHL X 250 CC,7602216,COLUN,,Client-confirmed product-to-category mapping.,
RG-00338,EXP-13.1,Mantencion Maquinaria,client_product_rule,A.MOBIL HD 80-90 X 4 LT,7070580,COLUN,,Client-confirmed product-to-category mapping.,
RG-00394,EXP-13.1,Mantencion Maquinaria,client_product_rule,BAT. YOKO NX120-7 L90AMP. 12 VOLT KOREA,7601895,COLUN,,Client-confirmed product-to-category mapping.,
RG-00395,EXP-13.1,Mantencion Maquinaria,client_product_rule,"A. SPIRAX S4 TXM X 18,9 L (958955)",7604371,COLUN,,Client-confirmed product-to-category mapping.,
RG-00431,EXP-13.1,Mantencion Maquinaria,client_product_rule,A. RIMULA R4 X 15W40 X 20 L (959430),7011576,COLUN,,Client-confirmed product-to-category mapping.,
RG-00432,EXP-13.1,Mantencion Maquinaria,client_product_rule,"A. TELLUS S2 MX 68 X 18,9 L (964630)",7604163,COLUN,,Client-confirmed product-to-category mapping.,
RG-00436,EXP-13.1,Mantencion Maquinaria,client_product_rule,A.MOBIL NUTO 68 X 19LTS,7070530,COLUN,,Client-confirmed product-to-category mapping.,
RG-00457,EXP-13.1,Mantencion Maquinaria,client_product_rule,ADBLUE GRANEL X L,7605414,COLUN,,Client-confirmed product-to-category mapping.,
RG-00483,EXP-13.1,Mantencion Maquinaria,client_product_rule,ANTICONG.PERMAZONE X19LT,7076040,COLUN,,Client-confirmed product-to-category mapping.,
RG-00499,EXP-13.1,Mantencion Maquinaria,client_product_rule,BAT. YOKO 31-930 100AMP 12VOLT C/H KOREA,7604423,COLUN,,Client-confirmed product-to-category mapping.,
RG-00500,EXP-13.1,Mantencion Maquinaria,client_product_rule,BATERIA ENERCEL HYUNDAI CMF 105 D 31L,7605963,COLUN,,Client-confirmed product-to-category mapping.,
RG-00504,EXP-13.1,Mantencion Maquinaria,client_product_rule,A. GADUS S2 V220 2 X 18 KG (958644),7009725,COLUN,,Client-confirmed product-to-category mapping.,
RG-00508,EXP-13.1,Mantencion Maquinaria,client_product_rule,CAMARA 14.9/13 X 24 EX-DIAMOND,7059978,COLUN,,Client-confirmed product-to-category mapping.,
RG-00520,EXP-13.1,Mantencion Maquinaria,client_product_rule,CAMARAS 18/400 X 15.5 TR16,7602816,COLUN,,Client-confirmed product-to-category mapping.,
RG-00526,EXP-13.1,Mantencion Maquinaria,direct_client_example,SERVICIO CONTRATO MANTENCION SEPTIEMBRE EQUIPO 1P06105EER6300230,,SALINAS Y FABRES S.A.,YUTRECO,Client-confirmed row-level example.,
RG-00602,EXP-13.1,Mantencion Maquinaria,direct_client_example,SERVICIO DE MANTENCION SERVICIO MANTENIMIENTO PREVENTIVO 1BM6115JCRD601743,,SALINAS Y FABRES S.A.,MAITEN,Client-confirmed row-level example.,
SA-00007,EXP-13.1,Mantencion Maquinaria,silver_audit,MANTENCION Y REPARACION,SE ADJUNTA DETALLE,JOHN MARCELO CARRILLO SOLDAN,,[high] Maintenance and repair service; giro explicitly states maquinaria e implementos agricolas. | taxonomy desc EXP-13.1; provider giro=mantencion maquinaria e implementos agricolas,
SA-00067,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA JOSE Q,MANO DE OBRA JOSE Q,LIDIA ANGELICA SANHUEZA FUENTES,,[high] Labour on invoice with Stihl engine parts and greasing; all machinery maintenance context. | taxonomy desc EXP-13.1; siblings=Stihl engine parts+engrace; giro=maquinarias servicio tecnico,
SA-00092,EXP-13.1,Mantencion Maquinaria,silver_audit,ACEITE DE CADENA LTS,ACEITE DE CADENA LTS,LIDIA ANGELICA SANHUEZA FUENTES,,[high] Chain oil on invoice with Stihl chainsaw/brushcutter parts; rule: aceite/repuestos -> EXP-13.1. | rule: aceite/lubricante/repuestos=EXP-13.1; siblings=Stihl engine parts,
SA-00102,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,,[high] GILTRAP technical service labor; sibling 'Trabajo maestranza' confirms machinery repair context. | taxonomy EXP-13.1 + sibling maestranza/workshop + Gallagher giro,
SA-00146,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA MARCELO,MANO DE OBRA MARCELO,LIDIA ANGELICA SANHUEZA FUENTES,,[high] Labor for chainsaw repair; siblings are Stihl MS210/MS170 chainsaw parts | siblings: MEMB REG CARB MS210; BUJIA STIHL; FILTRO MEZCLA chainsaw parts,
SA-00154,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,,"[high] Gallagher tech service; siblings: platemeter gear, potentiometer, battery — electronic equipment maintenance. | taxonomy EXP-13.1 + sibling electronic farm equipment parts",
SA-00159,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,,"[high] Gallagher tech service; siblings: aceite, ejes maestranza, masa arreador — dairy shed machinery repair. | taxonomy EXP-13.1 + sibling dairy machinery parts (arreador)",
SA-00160,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,,"[high] Gallagher machinery dealer; siblings include correa, rodamiento, reten — machine repair parts. | taxonomy EXP-13.1 + sibling machine parts + provider giro maquinarias",
SA-00176,EXP-13.1,Mantencion Maquinaria,silver_audit,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,LIDIA ANGELICA SANHUEZA FUENTES,,[high] Mulching blade for MTD mower is a machinery spare part. | taxonomy EXP-13.1 repuestos maquinaria; provider COMPRAVENTA MAQUINARIAS,
SA-00182,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,,[high] Gallagher tech labor; sibling Platemeter Gear-Electronic confirms farm equipment repair context. | taxonomy EXP-13.1 + sibling platemeter parts + Gallagher giro maquinarias,
SA-00184,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,,"[high] Gallagher machinery; siblings: rod int/ext masa, reten masa RF — rotary platform parts. | taxonomy EXP-13.1 + sibling machine parts + Gallagher giro",
SA-00190,EXP-13.1,Mantencion Maquinaria,silver_audit,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,,"[high] Gallagher farm machinery dealer; siblings are machine spare parts (correas, rodamientos, retenes). | taxonomy EXP-13.1 + sibling machine parts + provider giro maquinarias",
