gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00528,EXP-13.2,Mantencion Motos,direct_client_example,MANTENCION MOTO HONDA TRX 420,,MULTIMOTOS OSORNO SPA,TINEO,Client-confirmed row-level example.,
SA-00600,EXP-13.2,Mantencion Motos,file_audit,REPARACION MOTO HONDA,"TRX 420, SEGUN OT 1047",MULTIMOTOS OSORNO SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00601,EXP-13.2,Mantencion Motos,file_audit,MANTENCION MOTO HONDA,"TRX 250, SEGUN OT 1053",MULTIMOTOS OSORNO SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00602,EXP-13.2,Mantencion Motos,file_audit,MANTENCION Y REPARACION,"MOTO HONDA TRX 420, SEGUN OT 1049",MULTIMOTOS OSORNO SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00689,EXP-13.2,Mantencion Motos,file_audit,MANTENCION MOTO,"HONDA TRX 420, TINEO, SEGUN OT 580",MULTIMOTOS OSORNO SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00849,EXP-13.2,Mantencion Motos,silver_audit,mantencion trx 520,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00850,EXP-13.2,Mantencion Motos,silver_audit,aceite motul,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00851,EXP-13.2,Mantencion Motos,silver_audit,filtro de aceite,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00852,EXP-13.2,Mantencion Motos,silver_audit,aceite corona,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00890,EXP-13.2,Mantencion Motos,silver_audit,FUELLES HOMOCINETICAS,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00891,EXP-13.2,Mantencion Motos,silver_audit,BATERIA,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00892,EXP-13.2,Mantencion Motos,silver_audit,MANO DE OBRA CAMBIO FUELL,MOTO HONDA TRX 420 N6,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00899,EXP-13.2,Mantencion Motos,silver_audit,FUELLE HOMOCINETICA,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00900,EXP-13.2,Mantencion Motos,silver_audit,REPARACION ARRANQUE,HONDA N6 TRX 250,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00914,EXP-13.2,Mantencion Motos,silver_audit,NUEVO NEUM. R12 MOTO,,VULCANIZACIÓN NONTUELÁ SPA,,ollama classify + claude audit vs description,
SA-00917,EXP-13.2,Mantencion Motos,silver_audit,PIOLA FRENO DE PIE1,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00918,EXP-13.2,Mantencion Motos,silver_audit,HOROMETRO,,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00941,EXP-13.2,Mantencion Motos,silver_audit,MANTENION Y REPARACION,"MANTENCION MOTOS RAICES SEGUN OT N° 496, 497-",MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00956,EXP-13.2,Mantencion Motos,silver_audit,MANTENCION Y RAPARACION,MOTO HONDA TRX 420 N°7 SEGUN OT 577,MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00974,EXP-13.2,Mantencion Motos,silver_audit,MANTENCION MOTO HONDA TRX,"420, SEGUN OT 661",MULTIMOTOS OSORNO SPA,,ollama classify + claude audit vs description,
SA-00981,EXP-13.2,Mantencion Motos,silver_audit,REPARACIÓN NEUMÁTICO R12,MOTO,VULCANIZACIÓN NONTUELÁ SPA,,ollama classify + claude audit vs description,
