gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00574,EXP-13.3,Mantencion Vehiculos,direct_client_example,BLUEMAX,,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,YUTRECO,Client-confirmed row-level example.,
RG-00575,EXP-13.3,Mantencion Vehiculos,direct_client_example,MARCA FORD MODELO RANGER XLT PATENTE TJXS63,,DIFOR CHILE S.A.,MAITEN,Client-confirmed row-level example.,
RG-00576,EXP-13.3,Mantencion Vehiculos,direct_client_example,MARCA FORD MODELO RANGER XLT PATENTE TJXS63,,DIFOR CHILE S.A.,TINEO,Client-confirmed row-level example.,
RG-00577,EXP-13.3,Mantencion Vehiculos,direct_client_example,MARCA FORD MODELO RANGER XLT PATENTE TJXS63,,DIFOR CHILE S.A.,BRAMADERO,Client-confirmed row-level example.,
SA-00164,EXP-13.3,Mantencion Vehiculos,silver_audit,GRABADO DE PATENTE,GRABADO DE PATENTE,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,,"[high] License plate engraving is mandatory vehicle security service; fits vehicle maintenance category. | taxonomy desc EXP-13.3 (permisos, mantenciones vehiculos); grabado patente=vehicle regulatory",
SA-00221,EXP-13.3,Mantencion Vehiculos,silver_audit,GRABADO DE PATENTE,GRABADO DE PATENTE,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,,"[high] License plate engraving is mandatory vehicle security service; fits vehicle maintenance category. | taxonomy desc EXP-13.3 (permisos, mantenciones vehiculos); grabado patente=vehicle regulatory",
SA-00603,EXP-13.3,Mantencion Vehiculos,file_audit,NEUM.265/70 R17 FALKEN -____,____,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00604,EXP-13.3,Mantencion Vehiculos,file_audit,Reparar tapa trasera,Camioneta Maxus,SERVIMEC SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00605,EXP-13.3,Mantencion Vehiculos,file_audit,S-MD40 CUARTA MANTENCION,A@S-MD40 CUARTA MANTENCION,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00606,EXP-13.3,Mantencion Vehiculos,file_audit,"SCO-MO REVISAR RUIDO EN LAS PUERTAS Y GOMAS, AL","A@SCO-MO REVISAR RUIDO EN LAS PUERTAS Y GOMAS, AL",DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00607,EXP-13.3,Mantencion Vehiculos,file_audit,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00608,EXP-13.3,Mantencion Vehiculos,file_audit,MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,AUTO2@MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00609,EXP-13.3,Mantencion Vehiculos,file_audit,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00610,EXP-13.3,Mantencion Vehiculos,file_audit,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00611,EXP-13.3,Mantencion Vehiculos,file_audit,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00612,EXP-13.3,Mantencion Vehiculos,file_audit,- Revision Tecnica Automovil particular camioneta GFTR73,,REVISIONES LOS LAGOS LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00613,EXP-13.3,Mantencion Vehiculos,file_audit,S-MD10 PRIMERA MANTENCION,A@S-MD10 PRIMERA MANTENCION,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00614,EXP-13.3,Mantencion Vehiculos,file_audit,"SCO-MO REVISAR RUIDO TIPO ZUMBIDO, AL TRANSITAR","A@SCO-MO REVISAR RUIDO TIPO ZUMBIDO, AL TRANSITAR",DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00615,EXP-13.3,Mantencion Vehiculos,file_audit,SCO-MO EN DESACELERACION LA CAMIONETA VA ZUMBA,A@SCO-MO EN DESACELERACION LA CAMIONETA VA ZUMBA,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00616,EXP-13.3,Mantencion Vehiculos,file_audit,SCO-MO PORFAVOR QUE EL WSP DEJE ESCUCHAR LOS A,A@SCO-MO PORFAVOR QUE EL WSP DEJE ESCUCHAR LOS A,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00617,EXP-13.3,Mantencion Vehiculos,file_audit,"SCO-MO LAVADO, MANTENCION 110.000KMS","A@SCO-MO LAVADO, MANTENCION 110.000KMS",DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00618,EXP-13.3,Mantencion Vehiculos,file_audit,cambio filtro aire,cambio filtro petroleo cambio filtro aceite cambio filtro polen cambio correa cambio frenos traseros alineacion balanceo cambio perno rueda ford ranger psss88,SERVIMEC SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00619,EXP-13.3,Mantencion Vehiculos,file_audit,- Revision Tecnica Automovil particular camioneta TJXC63,,REVISIONES LOS LAGOS LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00620,EXP-13.3,Mantencion Vehiculos,file_audit,- Revision Tecnica Automovil particular camioneta PSSS88,,REVISIONES LOS LAGOS LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00621,EXP-13.3,Mantencion Vehiculos,file_audit,Cambio manguera turbo,Camioneta.,SERVIMEC SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00622,EXP-13.3,Mantencion Vehiculos,file_audit,- Revision Tecnica Automovil particular camioneta TBFK28,,REVISIONES LOS LAGOS LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00690,EXP-13.3,Mantencion Vehiculos,file_audit,S-MD50 QUINTA MANTENCION,A@S-MD50 QUINTA MANTENCION,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,
