gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00607,EXP-14.1,Mantencion Caminos,direct_client_example,HORAS RETRO,,GUARDA SPA,TINEO,Client-confirmed row-level example.,
SA-00567,EXP-14.1,Mantencion Caminos,file_audit,Estabilizado Bajo 2,Reportes relacionados -20837 - 20840. Patente TTGC-74. Pelleco,ANA MARIA VERGARA URIBE,,[folder-audit] client filed under this category; item consistent with client description,
SA-00568,EXP-14.1,Mantencion Caminos,file_audit,Mantencion Caminos - TRANSPORTES PINILLA SPA,,TRANSPORTES PINILLA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00569,EXP-14.1,Mantencion Caminos,file_audit,Mantencion Caminos - PROMAQ SERVICIOS SPA,,PROMAQ SERVICIOS SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00570,EXP-14.1,Mantencion Caminos,file_audit,Mantencion Caminos - FACTURA ELECTRÓNICA GEO PARTNER SPA,,FACTURA ELECTRÓNICA GEO PARTNER SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00571,EXP-14.1,Mantencion Caminos,file_audit,ARRIENDO CAMION,44 VUELTAS x $20.000.-,JUAN ALBERTO MIRANDA REYES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00572,EXP-14.1,Mantencion Caminos,file_audit,ARRIENDO EXCAVADORA,"3,9 HRS. x $50.000.-",JUAN ALBERTO MIRANDA REYES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00573,EXP-14.1,Mantencion Caminos,file_audit,ARRIENDO MAQUINARIA,EXCAVADORA CHAPILCAHUIN,GEO PARTNER SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00846,EXP-14.1,Mantencion Caminos,silver_audit,CORTE DE LIMPIEZA,,AGRÍCOLA J-S-E LIMITADA,,ollama classify + claude audit vs description,
SA-00877,EXP-14.1,Mantencion Caminos,silver_audit,CAMION TOLVA,RETIRANDO ESCOMBROS,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00878,EXP-14.1,Mantencion Caminos,silver_audit,ARRIENDO PARRILLA,,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00879,EXP-14.1,Mantencion Caminos,silver_audit,CUBOS DE ARENA,PARRILLADO ( 681 CUBX 16 X 42 ),TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00907,EXP-14.1,Mantencion Caminos,silver_audit,Reparación camino vecinal,Con material integral y maquinaria.,TRANSPORTES G & G SPA,,ollama classify + claude audit vs description,
SA-00915,EXP-14.1,Mantencion Caminos,silver_audit,TRASLADO DE MATERIAL,DE FUNDO EL TINEO A FUNDO EL MAITEN 606 M3 X180=109.080 X 42 KM,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00916,EXP-14.1,Mantencion Caminos,silver_audit,TRABAJOS DE EXCAVADORA,CAMA BAJA,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00928,EXP-14.1,Mantencion Caminos,silver_audit,TRASLADO DE RODILLO DESDE,FUTRONO HASTA FUNDO EL MAITEN 08/07/2025,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00929,EXP-14.1,Mantencion Caminos,silver_audit,HORAS RODILLO,,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00930,EXP-14.1,Mantencion Caminos,silver_audit,HORAS EXCAVADORA,-DESCUENTO PETROLEO DE $231.189 MAS IVA,TRANSPORTES PINILLA SPA,,ollama classify + claude audit vs description,
SA-00931,EXP-14.1,Mantencion Caminos,silver_audit,VENTA MATERIAL,MAICILLO,GEO PARTNER SPA,,ollama classify + claude audit vs description,
SA-00932,EXP-14.1,Mantencion Caminos,silver_audit,ARRIENDO DE RETRO EXCAVADORA,,SOC COMERCIAL NAHUM CORREA LTDA,,ollama classify + claude audit vs description,
