gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00076,EXP-14.2,Mantencion Cercos,client_product_rule,CORDON BUNGY ROLLO 50M - GAL,23000447,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00077,EXP-14.2,Mantencion Cercos,client_product_rule,"ALAMBRE SUBTE. AGRI-FENCE 2,5 MM 50 MT",23000554,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00131,EXP-14.2,Mantencion Cercos,client_product_rule,CORDON BUNGY ROLLO 50 MT (G89106),7606335,COLUN,,Client-confirmed product-to-category mapping.,
RG-00133,EXP-14.2,Mantencion Cercos,client_product_rule,CABLE POLY BLA 6SS 500M (G62007),7606133,COLUN,,Client-confirmed product-to-category mapping.,
RG-00135,EXP-14.2,Mantencion Cercos,client_product_rule,CLAVOS TERRANO 1 1/2 !¡,7056294,COLUN,,Client-confirmed product-to-category mapping.,
RG-00136,EXP-14.2,Mantencion Cercos,client_product_rule,CLAVOS 2 1/2 X 11,7004936,COLUN,,Client-confirmed product-to-category mapping.,
RG-00137,EXP-14.2,Mantencion Cercos,client_product_rule,AISLA. ESQUINERO TIPO S1031B,7055140,COLUN,,Client-confirmed product-to-category mapping.,
RG-00140,EXP-14.2,Mantencion Cercos,client_product_rule,ALAMBRE GALV. # 14 POR KILOS,7003972,COLUN,,Client-confirmed product-to-category mapping.,
RG-00147,EXP-14.2,Mantencion Cercos,client_product_rule,ALAMBRE PUAS MOTTO GANADERO X 500 MTS.,7051110,COLUN,,Client-confirmed product-to-category mapping.,
RG-00148,EXP-14.2,Mantencion Cercos,client_product_rule,GRAPAS 11/4 X 10 X 1 KG,7601066,COLUN,,Client-confirmed product-to-category mapping.,
RG-00154,EXP-14.2,Mantencion Cercos,client_product_rule,AISLADOR W NEGRO X 25 UN (G67304),7606081,COLUN,,Client-confirmed product-to-category mapping.,
RG-00155,EXP-14.2,Mantencion Cercos,client_product_rule,TENSOR C/AISLADOR (G74313),7606206,COLUN,,Client-confirmed product-to-category mapping.,
RG-00156,EXP-14.2,Mantencion Cercos,client_product_rule,CLAVOS 4 X 8 X 1 KG,7601064,COLUN,,Client-confirmed product-to-category mapping.,
RG-00157,EXP-14.2,Mantencion Cercos,client_product_rule,MANIJA SOFT TOUCH CUERDA (G69703),7605926,COLUN,,Client-confirmed product-to-category mapping.,
RG-00158,EXP-14.2,Mantencion Cercos,client_product_rule,"CLAVO TERRANO 1 1/2"" X 1 KG",7611933,COLUN,,Client-confirmed product-to-category mapping.,
