gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00195,EXP-14.3,Mantencion Agua y Purines,client_product_rule,BEBEDERO CIRCULAR 150 LTS WENCO,7606250,COLUN,,Client-confirmed product-to-category mapping.,
RG-00196,EXP-14.3,Mantencion Agua y Purines,client_product_rule,VALV FLOT MAX-FLO LARGO 1 -3/4 (217210),7605288,COLUN,,Client-confirmed product-to-category mapping.,
RG-00198,EXP-14.3,Mantencion Agua y Purines,client_product_rule,BEBEDERO / COMEDERO PLAST. RECT. C/TAPON,7601053,COLUN,,Client-confirmed product-to-category mapping.,
RG-00205,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"CAÑERIA NEGRA PN4 1""",7004723,COLUN,,Client-confirmed product-to-category mapping.,
RG-00208,EXP-14.3,Mantencion Agua y Purines,client_product_rule,COPLA COMPRESION 32MM PN16 ARANGÜL,7609661,COLUN,,Client-confirmed product-to-category mapping.,
RG-00369,EXP-14.3,Mantencion Agua y Purines,client_product_rule,BEBEDERO PLASTICO AUTOMATICO,7600713,COLUN,,Client-confirmed product-to-category mapping.,
RG-00410,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"CAÑERIA NEGRA PN4 3/4""",7004715,COLUN,,Client-confirmed product-to-category mapping.,
RG-00424,EXP-14.3,Mantencion Agua y Purines,client_product_rule,HANSEN REP VARILLA CORTA 202MM SUPER-FLO,7613310,COLUN,,Client-confirmed product-to-category mapping.,
RG-00462,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"MANGUERA STAR GARDEN 3/4"" 5 BAR",7605006,COLUN,,Client-confirmed product-to-category mapping.,
RG-00473,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"MANGUERA STAR GARDEN 1/2"" 5 BAR",7605005,COLUN,,Client-confirmed product-to-category mapping.,
RG-00478,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"CAÑERIA NEGRA PN4 1/2""",7004707,COLUN,,Client-confirmed product-to-category mapping.,
RG-00479,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"CAÑERIA NEGRA PN4 1 1/2""",7004740,COLUN,,Client-confirmed product-to-category mapping.,
RG-00488,EXP-14.3,Mantencion Agua y Purines,client_product_rule,TAPA BEBEDERO AUSTRALPLASTICS,7609114,COLUN,,Client-confirmed product-to-category mapping.,
RG-00509,EXP-14.3,Mantencion Agua y Purines,client_product_rule,VALV FLOT MAX-FLO CORTO 1 -3/4 (217209),7605299,COLUN,,Client-confirmed product-to-category mapping.,
RG-00510,EXP-14.3,Mantencion Agua y Purines,client_product_rule,BEBEDERO PLASTICO DE 1000 LT.,7600786,COLUN,,Client-confirmed product-to-category mapping.,
RG-00521,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",7609663,COLUN,,Client-confirmed product-to-category mapping.,
RG-00522,EXP-14.3,Mantencion Agua y Purines,client_product_rule,"TUBERIA HDPE 90MM 3"" PN6 DIN 5,4MM",7614593,COLUN,,Client-confirmed product-to-category mapping.,
RG-00616,EXP-14.3,Mantencion Agua y Purines,direct_client_example,SERVICIO TECNICO LIMPIEZA DE POZO,,SONDAJE PERFOMAQ S.A.,YUTRECO,Client-confirmed row-level example.,
SA-00185,EXP-14.3,Mantencion Agua y Purines,silver_audit,"TERMINAL HE PLANSA 1/2 "" - HOFFENS","TERMINAL HE PLANSA 1/2 "" - HOFFENS",COMERCIAL HARCHA SPA,,"[high] Plumbing fittings (terminal, tee, union, abrazadera, manguera) — water network maintenance parts. | taxonomy EXP-14.3 mangueras fittings; sibling abrazadera tee union manguera",
SA-00241,EXP-14.3,Mantencion Agua y Purines,silver_audit,COPLA 32 MM HDPE,,TODO CONSTRUCCION SUR SPA,,[high] HDPE coupling and terminal fittings = water pipe maintenance parts; EXP-14.3 covers fittings. | taxonomy EXP-14.3 mangueras fittings; sibling TERMINAL HI 32MM HDPE pipe,
SA-00594,EXP-14.3,Mantencion Agua y Purines,file_audit,"CAERIA NEGRA PN4 2""","CAERIA NEGRA PN4 2""",COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00595,EXP-14.3,Mantencion Agua y Purines,file_audit,"CAERIA NEGRA PN4 3/4""","CAERIA NEGRA PN4 3/4""",COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
CF-00002,EXP-14.3,Mantencion Agua y Purines,file_audit_corrected,"CAERIA NEGRA PN4 1""","CAERIA NEGRA PN4 1""",COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,Black HDPE water pipe; taxonomy EXP-14.3 explicitly covers water supply pipes/fittings. Corrected from conflicting EXP-2.6/EXP-4.1 folder placements.,
RG-01048,EXP-14.3,Mantencion Agua y Purines,file_audit,SERVICIO TÃCNICO,"LIMPIEZA DE POZO 6"" ACERO FUNDO YUTRECO, SECTOR MULPULMO - OSORNO (POZO NÂ°2759) Forma de Pago: CRÃDITO 30 DÃAS",SONDAJES PERFOMAQ SA,,"Folder audit (newest_example_folders); folder ""MANTENCION AGUA Y PURINES"" matches taxonomy for EXP-14.3.",
