gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00594,EXP-14.4,Mantencion Instalaciones,direct_client_example,INSTALACION ELECTRICA BODEGA - INSTALACION BOMBA TRITURADORA,,ALBERTO JESUS LARA GUZMAN,MAITEN,Client-confirmed row-level example.,
SA-00057,EXP-14.4,Mantencion Instalaciones,silver_audit,RETIRO ALIMENTO,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,[high] Feed removal from silo before cleaning; same invoice as lavado silo interior; facility maintenance. | taxonomy desc EXP-14.4; sibling=LAVADO SILO INTERIOR+CAMION; provider giro=lecherias silos,
SA-00064,EXP-14.4,Mantencion Instalaciones,silver_audit,ROSCO,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,[high] Rosco used in silo cleaning job; siblings lavado silo = maintenance of farm installation | siblings: LAVADO SILO INTERIOR + PINTURA CONO Y ANILLO; silo = installation,
SA-00084,EXP-14.4,Mantencion Instalaciones,silver_audit,Raspado y bruñido,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,[high] Raspado y bruñido with sibling Limpieza silo + Pintura cono y anillo = silo maintenance | siblings: Limpieza silo 33 T; Pintura cono y anillo; EXP-14.4,
SA-00094,EXP-14.4,Mantencion Instalaciones,silver_audit,MANO DE OBRA,CONSTRUCCION SALA ENFRIADORES,ALEJANDRO RICARDO CARRASCO AGUILAR,,[high] Labour for building cooling room; construction of farm installation fits EXP-14.4. | taxonomy desc EXP-14.4 (casas galpones construccion); dsc_item=construccion sala enfriadores,
SA-00114,EXP-14.4,Mantencion Instalaciones,silver_audit,CAMION,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,"[high] Truck for silo interior washing service; siblings=lavado silo, traslado equipo; facility maintenance. | taxonomy desc EXP-14.4; sibling=LAVADO SILO INTERIOR; provider giro=lecheria silos",
SA-00117,EXP-14.4,Mantencion Instalaciones,silver_audit,TRASLADO EQUIPO,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,[high] Equipment transport as part of silo cleaning operation; follows silo maintenance category | siblings: LAVADO SILO INTERIOR; all lines = silo maintenance job,
SA-00135,EXP-14.4,Mantencion Instalaciones,silver_audit,HORA SERVICIO TECNICO,,ERWIN RAMIRO AGUILEF PINUER,,[high] Electrical and plumbing service; siblings show electrical/gasfiteria materials; building maintenance not machinery. | taxonomy EXP-14.4 desc (casas/galpones); giro=electrical+plumbing installation,
SA-00216,EXP-14.4,Mantencion Instalaciones,silver_audit,GENERADOR TRIFASICO,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,"[high] Generator used in silo cleaning job; siblings lavado silo + pintura = installation maintenance | siblings: LAVADO SILO INTERIOR, PINTURA; silo is farm installation",
SA-00226,EXP-14.4,Mantencion Instalaciones,silver_audit,LAVADO SILO INTERIOR,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,,[high] Lavado silo interior = silo cleaning/maintenance; silo is farm installation not dairy shed | siblings: CAMION ROSCO GENERADOR; silo not dairy shed; EXP-14.4,
SA-00238,EXP-14.4,Mantencion Instalaciones,silver_audit,HULE AFRANELADO DELGADO 1.40 ANCHO,HULE AFRANELADO DELGADO 1.40 ANCHO,COMERCIAL HARCHA SPA,,"[high] Siblings: shower set, sink, cabinetry, cooktop — house/building renovation materials, not office supplies. | taxonomy EXP-14.4 casas materiales; sibling juego ducha lavaplato mueble",
SA-00239,EXP-14.4,Mantencion Instalaciones,silver_audit,INSTALACION DE LAVADORA,EN SALA DE ORDEÑA,SERVICIOS DE MANTENCIÓN DOMICILIARIA NONTUELA SPA,,[high] Explicit installation of washing machine in sala de ordena (milking parlor) | dsc_item: EN SALA DE ORDEÑA; EXP-10.1 covers shed maintenance | [sweep2 relabel EXP-10.1->EXP-14.4] washer install = installations (file-tier at 14.4),
SA-00580,EXP-14.4,Mantencion Instalaciones,file_audit,Mantencion Instalaciones - K VIMAR SPA,,K VIMAR SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00581,EXP-14.4,Mantencion Instalaciones,file_audit,Mantencion Instalaciones - A&C ELECTRICIDAD LIMITADA,,A&C ELECTRICIDAD LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00582,EXP-14.4,Mantencion Instalaciones,file_audit,REPARACIN BAO,CASA BRAMADERO,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00583,EXP-14.4,Mantencion Instalaciones,file_audit,Mantencion Instalaciones - ANTILLANCA SPA,,ANTILLANCA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00584,EXP-14.4,Mantencion Instalaciones,file_audit,ESM.AGUA SATIN BLANCO 1X5GL,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00585,EXP-14.4,Mantencion Instalaciones,file_audit,RODILLO CHIPORRO NATURAL HELA 18CM,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00586,EXP-14.4,Mantencion Instalaciones,file_audit,"BROCHAS CERDA NATURAL 3""",,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00587,EXP-14.4,Mantencion Instalaciones,file_audit,SELLADOR ACRILICO 300ML,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00588,EXP-14.4,Mantencion Instalaciones,file_audit,ESM.AGUA SATIN BLANCO 1GL,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00589,EXP-14.4,Mantencion Instalaciones,file_audit,COLOR PREP. FLEXCRYL S/MUESTRA 1GL,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00590,EXP-14.4,Mantencion Instalaciones,file_audit,NEGRO,,PINTURAS BARENDS SpA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00591,EXP-14.4,Mantencion Instalaciones,file_audit,INSTALACION DE LAVADORA,EN SALA DE ORDEA,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00592,EXP-14.4,Mantencion Instalaciones,file_audit,INSTALACIN DE,FOSA SPTICA Y CMARA EN LECHERA.,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00593,EXP-14.4,Mantencion Instalaciones,file_audit,Trabajos elctricos fundo,Maitn,ALBERTO JESUS LARA GUZMAN,,[folder-audit] client filed under this category; item consistent with client description,
SA-00716,EXP-14.4,Mantencion Instalaciones,file_audit,INSTALACION,ELETRICA BODEGA,ALBERTO JESUS LARA GUZMAN,,[folder-audit] client filed under this category; item consistent with client description,
