gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00485,EXP-15.3,Fletes,client_product_rule,FLETE,3600241,COLUN,,Client-confirmed product-to-category mapping.,
RG-00546,EXP-15.3,Fletes,direct_client_example,FLETE DE FDO YUTRECO A FERIA,,EDGARDO EDMUNDO MANCILLA CARRION,YUTRECO,Client-confirmed row-level example.,
SA-00060,EXP-15.3,Fletes,silver_audit,Flete de insumos de Colun,a Futrono El Maitén,JUAN ANGEL ANIBAL VERGARA OBANDO,,[high] Freight of Colun farm inputs from origin to farm; transport company giro confirms flete. | taxonomy EXP-15.3 + client product hint FLETE COLUN + transport giro,
SA-00443,EXP-15.3,Fletes,file_audit,Fletes - ANTILLANCA SPA,,ANTILLANCA SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00444,EXP-15.3,Fletes,file_audit,Fletes - SOCIEDAD DE TRANSPORTES MANCILLA NEUMANN LIMITADA,,SOCIEDAD DE TRANSPORTES MANCILLA NEUMANN LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00445,EXP-15.3,Fletes,file_audit,Fletes - SERVICIOS FABIAN ROLDAN SPA,,SERVICIOS FABIAN ROLDAN SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00699,EXP-15.3,Fletes,file_audit,Flete de Fdo. Yutreco a,Feria 26.09,EDGARDO EDMUNDO MANCILLA CARRION,,[folder-audit] client filed under this category; item consistent with client description,
SA-00704,EXP-15.3,Fletes,file_audit,Flete,Traslado de bolos de silo desde el sector las Quemas hasta el fundo el Maiten,"SERVICIOS, COMERCIAL, AGRICOLA Y FORESTAL MORALES OPITZ SPA",,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-4.2->EXP-15.3] client rule RG-00485 FLETE=15.3,
SA-00793,EXP-15.3,Fletes,silver_audit,Flete 15 vacas de Raices,A feria tattersal Rio bueno.,HECTOR RAUL MANCILLA LOPEZ,,[silver+ollama agree +claude review] matches client description,
SA-00794,EXP-15.3,Fletes,silver_audit,Flete de terneras,de Tineo al Maitén,JUAN ANGEL ANIBAL VERGARA OBANDO,,[silver+ollama agree +claude review] matches client description,
SA-00795,EXP-15.3,Fletes,silver_audit,Traslado de vacas desde,El Maitén a Feria Paillaco,JUAN ANGEL ANIBAL VERGARA OBANDO,,[silver+ollama agree +claude review] matches client description,
SA-00796,EXP-15.3,Fletes,silver_audit,traslado,traslado de terneros desde fundo raíces ubicado en rio bueno hacia fundo bramadero,ANDRES ALONSO PRIETO SEGUEL,,[silver+ollama agree +claude review] matches client description,
SA-00797,EXP-15.3,Fletes,silver_audit,Flete 2 vacas fdo feria.,,HECTOR RAUL MANCILLA LOPEZ,,[silver+ollama agree +claude review] matches client description,
SA-00798,EXP-15.3,Fletes,silver_audit,Flete 32 vacas fdo Raices,A feria Tattersall Rio bueno.,HECTOR RAUL MANCILLA LOPEZ,,[silver+ollama agree +claude review] matches client description,
SA-00801,EXP-15.3,Fletes,silver_audit,VIAJES BOLOS,DESDE FDO BRAMADERO HASTA YUTRECO GUIAS 1449 1450,SERGIO FABIAN RODRIGUEZ DELGADO,,[silver+ollama agree +claude review] matches client description,
SA-00802,EXP-15.3,Fletes,silver_audit,Traslado de bolos de silo,Desde bramadero a yutreco segun numero de guia 1459,MARCELO ALEJANDRO GUZMAN CATALAN,,[silver+ollama agree +claude review] matches client description,
SA-00803,EXP-15.3,Fletes,silver_audit,VIAJE CON 39 BOLOS DESDE,BRAMADERO HASTA FDO YUTRECO,SERGIO FABIAN RODRIGUEZ DELGADO,,[silver+ollama agree +claude review] matches client description,
