gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00527,EXP-15.5,Servicios Agricolas,direct_client_example,FERTILIZACION UREA 50 kg,,SERVICIOS AGRICOLAS SCHUCK SPA,YUTRECO,Client-confirmed row-level example.,
SA-00037,EXP-15.5,Servicios Agricolas,silver_audit,OCTUBRE,SERVICIO DE CARRO PURINERO CORRESPONDIENTE A ( 36 CARROS X 11.000 LT),AGRÍCOLA RIBERAS DEL SAUCE SPA,,[high] Slurry cart service; purines explicitly listed under EXP-15.5 servicios agricolas. | taxonomy EXP-15.5 'purines'; dsc_item 'CARRO PURINERO',
SA-00089,EXP-15.5,Servicios Agricolas,silver_audit,TRASLADO DE ABONO,2 VUELTAS - TINEO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,"[high] Traslado de abono = manure transport service; agricultural contracting; EXP-5.1 is feed not manure | siblings: SMART BLUE fertilizer, CULTIVO; EXP-15.5 includes purines service",
SA-00151,EXP-15.5,Servicios Agricolas,silver_audit,YUTRECO PURINES,10 febrero 2026 46 carradas 11.000 lts lluvia y problema Motobomba,SERVICIOS AGRICOLAS CORPAL SPA,,[high] Slurry transport service (purines); purines explicitly listed under EXP-15.5. | taxonomy EXP-15.5 'purines'; nmb_item 'YUTRECO PURINES'; dsc_item slurry carts,
SA-00220,EXP-15.5,Servicios Agricolas,silver_audit,servicio de purines,diciembre 2025,SILVOAGROPECUARIO YERKO VERA CAMPOS EMPRESA INDIVIDUAL DE RESPONSABILI,,[high] Slurry/manure spreading service; taxonomy EXP-15.5 explicitly lists purines; model top1 EXP-14.1 incorrect. | taxonomy EXP-15.5 purines; giro cultivos agricolas provider,
SA-00235,EXP-15.5,Servicios Agricolas,silver_audit,RIEGO DE PURINES,APLICACION DE PURINES EN PRADERA 21 CARRADAS 231.000 LTS,SERVICIOS AGRICOLAS CORPAL SPA,,"[high] Manure irrigation service (riego purines on pasture); taxonomy EXP-15.5 explicitly lists purines. | taxonomy desc EXP-15.5 (purines, fertilizaciones, fumigaciones); sibling=fertilizacion urea",
SA-00449,EXP-15.5,Servicios Agricolas,file_audit,RIEGO PURINES YUTRECO,RIEGO purines 11.03.2026 42 carradas de 11.000 lts lluvia y problema motobomba. Total 739.200 se aplica descuento por servicio anterior monto 224.100 total 515.100,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00450,EXP-15.5,Servicios Agricolas,file_audit,RIEGO PURINES RAICES,Purines raices 29 carradas de 11.000 lts,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00848,EXP-15.5,Servicios Agricolas,silver_audit,DICIEMBRE LAS RAICES,SERVICIO DE CARO PURINERO CORRESPONDIENTE A (19 CARROS X 10.000 LT Y 11 CARROS X 10.400),AGRÍCOLA RIBERAS DEL SAUCE SPA,,ollama classify + claude audit vs description,
SA-00876,EXP-15.5,Servicios Agricolas,silver_audit,INCORPORADOR,,AGRÍCOLA J-S-E LIMITADA,,ollama classify + claude audit vs description,
SA-00906,EXP-15.5,Servicios Agricolas,silver_audit,FERTILIZACION TINEO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00963,EXP-15.5,Servicios Agricolas,silver_audit,Asesoria Huerto Tineo,,HSV SPA,,ollama classify + claude audit vs description,
SA-00982,EXP-15.5,Servicios Agricolas,silver_audit,PURINES MAITEN,42 carradas de 11.000 lts total 462.000lts valor lts 1.9 pesos,SERVICIOS AGRICOLAS CORPAL SPA,,ollama classify + claude audit vs description,
SA-00989,EXP-15.5,Servicios Agricolas,silver_audit,Apoyo Huerto Tineo Feb,,HSV SPA,,ollama classify + claude audit vs description,
