gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00040,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#42,11000355,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00041,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#43,11000356,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00043,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL GRUESO LARGO-XL 50U 209080,11001011,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00044,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-L 100UN 204631,11001016,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00045,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-M 100UN 204632,11001017,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00046,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-XL 100U 204634,11001019,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00052,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA ORDENO VERDE,11001274,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00056,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA S,11002577,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00078,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#38,25001457,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00079,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#44,25001463,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00080,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 37-38 (-40 C),25001464,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00081,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 39-40 (-40 C),25001465,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00082,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 41 (-40 C),25001466,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00083,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 42 (-40 C),25001467,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00084,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 43 (-40 C),25001468,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00085,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 44-45 (-40 C),25001469,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00086,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA XXL,25001470,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00087,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,FILTRO (PAR) 3M # 6003 VAP.ORGANIC/GASES,25001473,COOPRINSEM,,Client-confirmed product-to-category mapping.,
