gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00139,EXP-16.2,Otros Gastos Campo,client_product_rule,TERMOMETRO DIGITAL PARA SUELOS SHOOF,7603873,COLUN,,Client-confirmed product-to-category mapping.,
RG-00153,EXP-16.2,Otros Gastos Campo,client_product_rule,SCHNELL ROSTLOSER LIQ 1612,7074233,COLUN,,Client-confirmed product-to-category mapping.,
RG-00190,EXP-16.2,Otros Gastos Campo,client_product_rule,BIDON CERT. AMARILLO DIESEL 20 L,7602640,COLUN,,Client-confirmed product-to-category mapping.,
RG-00192,EXP-16.2,Otros Gastos Campo,client_product_rule,PISTOLA TRUPER PIN-5X,7054917,COLUN,,Client-confirmed product-to-category mapping.,
RG-00220,EXP-16.2,Otros Gastos Campo,client_product_rule,DESODORANTE PINOS BLACK ICE,7075078,COLUN,,Client-confirmed product-to-category mapping.,
RG-00223,EXP-16.2,Otros Gastos Campo,client_product_rule,MULTIHERRAMIENTA HANDYONE,7614368,COLUN,,Client-confirmed product-to-category mapping.,
RG-00256,EXP-16.2,Otros Gastos Campo,client_product_rule,NYLON 3.0 MM 15 MTS (DESBROZADORA)NYLON,7608727,COLUN,,Client-confirmed product-to-category mapping.,
RG-00300,EXP-16.2,Otros Gastos Campo,client_product_rule,GAS BUTANO 190 GR,7602643,COLUN,,Client-confirmed product-to-category mapping.,
RG-00301,EXP-16.2,Otros Gastos Campo,client_product_rule,RECARGA GAS BUTANO 300 ML 216059,7607620,COLUN,,Client-confirmed product-to-category mapping.,
RG-00315,EXP-16.2,Otros Gastos Campo,client_product_rule,TRAMPA PEGAJOSA 48 RB,7602388,COLUN,,Client-confirmed product-to-category mapping.,
RG-00316,EXP-16.2,Otros Gastos Campo,client_product_rule,"LIMA MOTOSIERRA 3/16""",7611944,COLUN,,Client-confirmed product-to-category mapping.,
RG-00322,EXP-16.2,Otros Gastos Campo,client_product_rule,"LIMAS PLANAS 10"" SANDVIK CON MANGO",7006270,COLUN,,Client-confirmed product-to-category mapping.,
RG-00343,EXP-16.2,Otros Gastos Campo,client_product_rule,REPELENTE RATON M. SCHUTZ SPRAY 1515,7602702,COLUN,,Client-confirmed product-to-category mapping.,
RG-00357,EXP-16.2,Otros Gastos Campo,client_product_rule,CORTAPLUMA JACKNIFE,7614362,COLUN,,Client-confirmed product-to-category mapping.,
RG-00359,EXP-16.2,Otros Gastos Campo,client_product_rule,CANDADOS # 360,7035831,COLUN,,Client-confirmed product-to-category mapping.,
RG-00434,EXP-16.2,Otros Gastos Campo,client_product_rule,TERMOMETRO PLASTICO PARA SUELOS SHOOF,7603838,COLUN,,Client-confirmed product-to-category mapping.,
