gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00005,EXP-2.2,Medicamentos Mastitis,client_product_rule,"COBACTAN 100 CC CEFQUINOMA 2,5%",10000155,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00006,EXP-2.2,Medicamentos Mastitis,client_product_rule,COBACTAN LC CAJA 15 JERINGAS LACTAN,10000157,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00019,EXP-2.2,Medicamentos Mastitis,client_product_rule,PATHOZONE CAJA 10 JERINGAS LACTAN,10000635,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00109,EXP-2.2,Medicamentos Mastitis,client_product_rule,PM CMT REACTIVO 1 LT.,43001521,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00141,EXP-2.2,Medicamentos Mastitis,client_product_rule,PATHOZONE X 10 JER,7613741,COLUN,,Client-confirmed product-to-category mapping.,
RG-00241,EXP-2.2,Medicamentos Mastitis,client_product_rule,COBACTAN LC X 15 JER,7613739,COLUN,,Client-confirmed product-to-category mapping.,
RG-00278,EXP-2.2,Medicamentos Mastitis,client_product_rule,SPECTRAMAST LC X 12 JER,7613742,COLUN,,Client-confirmed product-to-category mapping.,
RG-00303,EXP-2.2,Medicamentos Mastitis,client_product_rule,ECO CMT CHECK 1 KL.,7057959,COLUN,,Client-confirmed product-to-category mapping.,
RG-00319,EXP-2.2,Medicamentos Mastitis,client_product_rule,MASTIPLAN LC X 20 JER,7613740,COLUN,,Client-confirmed product-to-category mapping.,
RG-00460,EXP-2.2,Medicamentos Mastitis,client_product_rule,MAMYSIN - S X 20 JER,7604878,COLUN,,Client-confirmed product-to-category mapping.,
RG-00630,EXP-2.2,Medicamentos Mastitis,direct_client_example,PATHOZONE,,COLUN,MAITEN,Client-confirmed row-level example.,
SA-00422,EXP-2.2,Medicamentos Mastitis,file_audit,PENCIVET X CAJA -____,____,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00423,EXP-2.2,Medicamentos Mastitis,file_audit,DIGESTIVO BILIFAR 120 GRS. -____,____,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00424,EXP-2.2,Medicamentos Mastitis,file_audit,MASTIPLAN X 20 JERINGAS -____,____,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00425,EXP-2.2,Medicamentos Mastitis,file_audit,PINTURA SPRAY FIL ROJO -_ROJO___,_ROJO___,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00426,EXP-2.2,Medicamentos Mastitis,file_audit,PINTURA SPRAY FIL VERDE -_VERDE___,_VERDE___,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00427,EXP-2.2,Medicamentos Mastitis,file_audit,GUANTES SHOOF LARGO (L) NITRI.AZUL CAJA 100 UN -____,____,FEROSOR AGRICOLA S.A.,,[folder-audit] client filed under this category; item consistent with client description,
RG-01043,EXP-2.2,Medicamentos Mastitis,file_audit,PATHOZONE X 10 JER,PATHOZONE X 10 JER,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder audit (newest_example_folders). Polluted multi-category invoice filed in [EXP-14.2,EXP-16.1,EXP-2.2,EXP-2.5,EXP-2.6,EXP-7.0,EXP-8.1]; assigned EXP-2.2 by item semantics vs taxonomy.",
