gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00025,EXP-2.3,Vacunas,client_product_rule,VACUNA CATTLEMASTER GOLD 25 DOSIS,10000950,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00026,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC 9P 50 DOSIS,10000953,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00027,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC-8 GOLD 50 DOSIS,10000956,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00028,EXP-2.3,Vacunas,client_product_rule,VACUNA FORTRESS 50 DS BORGPETERSENIL HAR,10000969,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00029,EXP-2.3,Vacunas,client_product_rule,VACUNA VISION-8 100 ML. (50 DOSIS),10001000,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00033,EXP-2.3,Vacunas,client_product_rule,VACUNA LEPTOFERM 5 50 DOSIS,10001558,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00034,EXP-2.3,Vacunas,client_product_rule,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,10001598,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00149,EXP-2.3,Vacunas,client_product_rule,VACUNA FORTRESS X 50 DOSIS,7600834,COLUN,,Client-confirmed product-to-category mapping.,
RG-00202,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC 8 GOLD X 50 DOS.,7603781,COLUN,,Client-confirmed product-to-category mapping.,
RG-00423,EXP-2.3,Vacunas,client_product_rule,VACUNA LEPTOFERM 5 X 50 DOSIS,7610430,COLUN,,Client-confirmed product-to-category mapping.,
RG-00425,EXP-2.3,Vacunas,client_product_rule,VACUNA VISION 8 X 50 DOSIS,7602116,COLUN,,Client-confirmed product-to-category mapping.,
RG-00464,EXP-2.3,Vacunas,client_product_rule,VACUNA BRUCELLA ABORTUS CEPA RB-51,7058050,COLUN,,Client-confirmed product-to-category mapping.,
RG-00476,EXP-2.3,Vacunas,client_product_rule,VACUNA CATTLEMASTER GOLD FP5L5 X 25 DS,7610914,COLUN,,Client-confirmed product-to-category mapping.,
RG-00635,EXP-2.3,Vacunas,direct_client_example,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,RAICES,Client-confirmed row-level example.,
RG-00636,EXP-2.3,Vacunas,direct_client_example,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,YUTRECO,Client-confirmed row-level example.,
RG-00637,EXP-2.3,Vacunas,direct_client_example,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,MAITEN,Client-confirmed row-level example.,
RG-00638,EXP-2.3,Vacunas,direct_client_example,VACUNA CATTLEMASTER GOLD 25 DOSIS,,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,BRAMADERO,Client-confirmed row-level example.,
SA-00441,EXP-2.3,Vacunas,file_audit,VACUNA CLOSTRIBAC 8 GOLD X 50 DS,,COOPERATIVA AGRICOLA LECHERA STGO.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00442,EXP-2.3,Vacunas,file_audit,VACUNA CATTLEMASTER GOLD X 25 DS.,,COOPERATIVA AGRICOLA LECHERA STGO.,,[folder-audit] client filed under this category; item consistent with client description,
RG-01053,EXP-2.3,Vacunas,file_audit,VACUNA CATTLEMASTER GOLD 25 DOSIS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,"Folder audit (newest_example_folders); folder ""VACUNAS"" matches taxonomy for EXP-2.3.",
RG-01054,EXP-2.3,Vacunas,file_audit,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,"Folder audit (newest_example_folders); folder ""VACUNAS"" matches taxonomy for EXP-2.3.",
RG-01130,EXP-2.3,Vacunas,file_audit_corrected,VACUNA BRUCELLA ABORTUS CEPA RB-51,VACUNA BRUCELLA ABORTUS CEPA RB-51,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,Folder re-audit: item misfiled in folder(s) ['EXP-8.2']; corrected to EXP-2.3 by product/taxonomy semantics.,
