gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00132,EXP-2.4,Sales Minerales,client_product_rule,SALFORT PASTOREO X 25 KG,7605684,COLUN,,Client-confirmed product-to-category mapping.,
RG-00151,EXP-2.4,Sales Minerales,client_product_rule,COLUBLOCK SUPERCRIANZA COX X 18 KG,7611084,COLUN,,Client-confirmed product-to-category mapping.,
RG-00253,EXP-2.4,Sales Minerales,client_product_rule,BILIFAR X 120 G,7602954,COLUN,,Client-confirmed product-to-category mapping.,
RG-00293,EXP-2.4,Sales Minerales,client_product_rule,HIDRATANTE - ENERGIZANTE TERNEROS X 55 G,7603978,COLUN,,Client-confirmed product-to-category mapping.,
RG-00295,EXP-2.4,Sales Minerales,client_product_rule,SALFORT PREPARTO ANIONICA X 25 KG,7605683,COLUN,,Client-confirmed product-to-category mapping.,
RG-00341,EXP-2.4,Sales Minerales,client_product_rule,REHSAL - VET X 25 SOB,7029432,COLUN,,Client-confirmed product-to-category mapping.,
RG-00348,EXP-2.4,Sales Minerales,client_product_rule,OXIDO DE MAGNESIO X 25 KG,7614415,COLUN,,Client-confirmed product-to-category mapping.,
RG-00354,EXP-2.4,Sales Minerales,client_product_rule,SULFATO DE MAGNESIO X 25 KG.,7601551,COLUN,,Client-confirmed product-to-category mapping.,
RG-00407,EXP-2.4,Sales Minerales,client_product_rule,SALFORT ALTA BIOTINA X 25 KG,7605687,COLUN,,Client-confirmed product-to-category mapping.,
RG-00579,EXP-2.4,Sales Minerales,direct_client_example,BILIFAR * 120 grs,,COLUN,MAITEN,Client-confirmed row-level example.,
SA-00405,EXP-2.4,Sales Minerales,file_audit,Mipro Pastoreo Skyline,//FUNDO BRAMADEROS,SANO - NUTRICION ANIMAL MODERNA SPA,,[folder-audit] client filed under this category; item consistent with client description,
CF-00006,EXP-2.4,Sales Minerales,file_audit_corrected,SALFORT PASTOREO X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,Matches client-confirmed COLUN product-rule pattern (RG-00132/00295/00407 'SALFORT...' -> EXP-2.4 Sales Minerales). Corrected from conflicting EXP-5.2/EXP-14.3 folder placements.,
RG-01055,EXP-2.4,Sales Minerales,file_audit,VITAMIN+ TERNERO X 10 BOLOS,VITAMIN+ TERNERO X 10 BOLOS,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder audit (newest_example_folders); folder ""SALES MINERALES"" matches taxonomy for EXP-2.4.",
RG-01124,EXP-2.4,Sales Minerales,file_audit_corrected,BILIFAR X 120 G,BILIFAR X 120 G,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder re-audit: item misfiled in folder(s) ['EXP-14.2', 'EXP-16.1', 'EXP-2.4', 'EXP-2.6']; corrected to EXP-2.5 by product/taxonomy semantics. [Aligned to client_product_rule: BILIFAR -> EXP-2.4.]",
