gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00002,EXP-2.5,Otros Medicamentos,client_product_rule,CALFODEX 500 CC.,10000114,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00003,EXP-2.5,Otros Medicamentos,client_product_rule,CALFOMA PLUS 500 CC.,10000116,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00004,EXP-2.5,Otros Medicamentos,client_product_rule,CARDIOTONICO (VIVEFORT) CAJA 3X10 CC.,10000128,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00007,EXP-2.5,Otros Medicamentos,client_product_rule,COFORTA 100 CC.,10000159,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00008,EXP-2.5,Otros Medicamentos,client_product_rule,COLIMIC 50 CC. (ESPASMOLITICO),10000161,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00009,EXP-2.5,Otros Medicamentos,client_product_rule,REPIDERMA SPRAY 250 CC,10000175,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00010,EXP-2.5,Otros Medicamentos,client_product_rule,"CORTEXONA 50 CC. (DEXAMETASONA 0,2%)",10000185,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00012,EXP-2.5,Otros Medicamentos,client_product_rule,LIQUAMICINA LA FCO. 100 CC.,10000516,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00013,EXP-2.5,Otros Medicamentos,client_product_rule,LIQUAMICINA LA FCO. 250 CC.,10000517,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00014,EXP-2.5,Otros Medicamentos,client_product_rule,MAGNEKAL 100 CC. (CLORURO DE MG),10000531,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00015,EXP-2.5,Otros Medicamentos,client_product_rule,MOSKIMIC FORTE POUR ON 1 LITRO,10000571,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00016,EXP-2.5,Otros Medicamentos,client_product_rule,MOSKIMIC FORTE POUR ON 3 LITRO,10000572,COOPRINSEM,,Client-confirmed product-to-category mapping.,
