gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00001,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALCOHOL 95° LITRO,10000026,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00011,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,FORMALINA 37 % CON 12% MEOH 22 KILOS,10000377,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00023,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,SUERO GLUCOSADO 5% 500 CC (DEXTROSA 5%),10000855,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00035,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 18 G x 1,11000046,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00036,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALLFLEX MAXI(H)-BOTON(M) ESTAMPADO,11000085,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00037,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALLFLEX MAXI(H)-BOTON(M) S/EST AMARILLO,11000086,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00038,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BANDA MARCADORA ADHESIVA 50MMx10M ROJO,11000229,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00039,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BANDA PATA O COLA 10 MTS ROJA 204273,11000244,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00042,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,CORTA PEZUNAS D-ACCION ECONOMI 203641,11000726,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00047,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,INYECTORAS CALCIO DESECHABLE,11001109,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00048,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 3 CC.,11001172,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00049,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 5 CC.,11001173,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00050,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 10 CC.,11001174,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00051,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,LAZOS OBSTETRICOS,11001211,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00053,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINTURA FIL C/APLICADOR LT AZUL 213868,11001459,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00054,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,TIJERA CORTADORA COLAS 205606,11002094,COOPRINSEM,,Client-confirmed product-to-category mapping.,
