gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00017,EXP-3.1,Inseminacion Artificial,client_product_rule,NOVORMON 5.000 UI (25 CC.),10000595,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00032,EXP-3.1,Inseminacion Artificial,client_product_rule,CIPIOSYN 50 CC (CIPIONATO ESTRADIOL),10001184,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00102,EXP-3.1,Inseminacion Artificial,client_product_rule,HORM. CIDR BOVINO APLICADOR,30000579,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00138,EXP-3.1,Inseminacion Artificial,client_product_rule,CIDR BOVINOS X 10 DISP,7613751,COLUN,,Client-confirmed product-to-category mapping.,
RG-00184,EXP-3.1,Inseminacion Artificial,client_product_rule,CONCEPTAL-FACTOR LIBERA.HORMONAL X 50ML,7601830,COLUN,,Client-confirmed product-to-category mapping.,
RG-00186,EXP-3.1,Inseminacion Artificial,client_product_rule,LUTALYSE X 100 ML,7027979,COLUN,,Client-confirmed product-to-category mapping.,
RG-00187,EXP-3.1,Inseminacion Artificial,client_product_rule,NOVORMON 5000,7601368,COLUN,,Client-confirmed product-to-category mapping.,
RG-00191,EXP-3.1,Inseminacion Artificial,client_product_rule,"BENZOATO DE ESTRADIOL 0,1% X 50 ML",7601366,COLUN,,Client-confirmed product-to-category mapping.,
RG-00217,EXP-3.1,Inseminacion Artificial,client_product_rule,METRICURE X 12 JER,7613750,COLUN,,Client-confirmed product-to-category mapping.,
RG-00617,EXP-3.1,Inseminacion Artificial,direct_client_example,SEMEN BOVINO LECHE CONVENCIONAL EMERALD,,ABS CHILE LIMITADA,MAITEN,Client-confirmed row-level example.,
RG-00618,EXP-3.1,Inseminacion Artificial,direct_client_example,IMPLEMENTOS PARA INSEMINACION INYECTOR CLASICO,,ABS CHILE LIMITADA,MAITEN,Client-confirmed row-level example.,
SA-00524,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion Gloves AI ABS Red,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00525,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional STAMINA,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00526,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional CENTURION,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00527,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional MEKE,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00528,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion TOALLANOVA,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00529,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion Sheath Blue IW IMV,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00530,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Carne Convencional SHRIMPTONS HILL,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00531,EXP-3.1,Inseminacion Artificial,file_audit,Nitrogeno liquido,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00532,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional COMMANDO,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00533,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional PYRAMID,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00534,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion VASELINAX1LITRO,,ABS CHILE LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,
RG-01125,EXP-3.1,Inseminacion Artificial,file_audit_corrected,CONCEPTAL-FACTOR LIBERA.HORMONAL X 50ML,CONCEPTAL X 50ML,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,Folder re-audit: item misfiled in folder(s) ['EXP-2.5']; corrected to EXP-3.1 by product/taxonomy semantics.,
