gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00126,EXP-4.2,Bolos Silo,client_product_rule,PARCHE SILO BOLO,7604183,COLUN,,Client-confirmed product-to-category mapping.,
RG-00189,EXP-4.2,Bolos Silo,client_product_rule,SILOSOLVE MC X 100 G,7605618,COLUN,,Client-confirmed product-to-category mapping.,
RG-00559,EXP-4.2,Bolos Silo,direct_client_example,TRASLADO DE BOLOS,,SERGIO FABIAN RODRIGUEZ DELGADO,YUTRECO,Client-confirmed row-level example.,
RG-00642,EXP-4.2,Bolos Silo,direct_client_example,FLETE TRASLADO DE BOLOS DE SILO,,"SERVICIOS, COMERCIAL, AGRICOLA Y FORESTAL MORALES OPITZ SPA",MAITEN,Client-confirmed row-level example.,
RG-00643,EXP-4.2,Bolos Silo,direct_client_example,CONFECCION BOLOS PRADERA,,SERVICIOS AGRICOLA CORPAL SPA,,Client-confirmed row-level example.,
SA-00500,EXP-4.2,Bolos Silo,file_audit,BOLOS SILO YUTRECO,Bolos silo 50 bolos en 18 ha potreros 3.2.39.25: 3 bolos x Ha,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00501,EXP-4.2,Bolos Silo,file_audit,Aplicacin de lodo,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00503,EXP-4.2,Bolos Silo,file_audit,Conf.. bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00504,EXP-4.2,Bolos Silo,file_audit,Diferencia bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00505,EXP-4.2,Bolos Silo,file_audit,BOLOS PELLECO EMPASTADA,Bolos sector pelleco 73 bolos silo,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00506,EXP-4.2,Bolos Silo,file_audit,BOLOS CHAPILCAHUIN,"Bolos silo chapilcahuin frente bolos en arriendo 16 bolos 2 bolos por ha total 7 ha, cobro por ha 16 reales 42 ficticios.",SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00507,EXP-4.2,Bolos Silo,file_audit,BOLOS SILO RAICES F2,Bolos silo f2 22 bolos en 6 ha total,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00508,EXP-4.2,Bolos Silo,file_audit,CONFECCION BOLOS,"111 bolos en 26ha 4 bolos por ha, faltantes 104. : 111x 18.500: 2.053.500 mas 104x 12.000 1.248.000 Total 3.301.500 : 126.981 x ha",SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00509,EXP-4.2,Bolos Silo,file_audit,Confeccin de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00511,EXP-4.2,Bolos Silo,file_audit,CARGA DE BOLOS PELLECO,Carga de bolos con frontal sector pelleco con petroleo incluido 72 bolos,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00512,EXP-4.2,Bolos Silo,file_audit,TRASLADO BOLOS,Traslado bolos camion y carro con petroleo incluido,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00513,EXP-4.2,Bolos Silo,file_audit,DESCARGA BOLOS YUTRECO,Desgarga bolos con tractor sector yutreco con petroleo incluido,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00703,EXP-4.2,Bolos Silo,file_audit,CONFECCIN BOLOS PRADERA,CONFECCIN bolos 196 totales,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00765,EXP-4.2,Bolos Silo,silver_audit,PARCHE SILO BOLO,PARCHE SILO BOLO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[silver+ollama agree +claude review] matches client description | [sweep2 relabel EXP-5.4->EXP-4.2] client rule RG-00126=4.2,
SA-00799,EXP-4.2,Bolos Silo,silver_audit,TRASLADO DE BOLOS,BRAMADERO AL MAITEN,SERVICIOS VITAP SPA,,[silver+ollama agree +claude review] matches client description | [sweep2 relabel EXP-15.3->EXP-4.2] client rule RG-00559=4.2,
SA-00841,EXP-4.2,Bolos Silo,silver_audit,CONFECCIÓN BOLOS PRADERA,CONFECCIÓN bolos 196 totales,SERVICIOS AGRICOLAS CORPAL SPA,,silver top1/ollama-verify + claude review; matches client description | [sweep2 relabel EXP-4.3->EXP-4.2] client rule RG-00643=4.2,
RG-01056,EXP-4.2,Bolos Silo,file_audit,Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES,,"Folder audit (newest_example_folders); folder ""BOLOS SILO"" matches taxonomy for EXP-4.2.",
RG-01057,EXP-4.2,Bolos Silo,file_audit,Bolos demaihue,,HECTOR ADRIAN VALENZUELA PAREDES,,"Folder audit (newest_example_folders); folder ""BOLOS SILO"" matches taxonomy for EXP-4.2.",
RG-01058,EXP-4.2,Bolos Silo,file_audit,Bolos maitÃ©n,,HECTOR ADRIAN VALENZUELA PAREDES,,"Folder audit (newest_example_folders); folder ""BOLOS SILO"" matches taxonomy for EXP-4.2.",
RG-01059,EXP-4.2,Bolos Silo,file_audit,Conf. Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES,,"Folder audit (newest_example_folders); folder ""BOLOS SILO"" matches taxonomy for EXP-4.2.",
RG-01060,EXP-4.2,Bolos Silo,file_audit,CONFECCIÃN BOLOS PRADERA,CONFECCIÃN bolos 196 totales,SERVICIOS AGRICOLAS CORPAL SPA,,"Folder audit (newest_example_folders); folder ""BOLOS SILO"" matches taxonomy for EXP-4.2.",
RG-01061,EXP-4.2,Bolos Silo,file_audit,ConfecciÃ³n de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,,"Folder audit (newest_example_folders); folder ""BOLOS SILO"" matches taxonomy for EXP-4.2.",
RG-01081,EXP-4.2,Bolos Silo,client_product_rule,FILM EST. PLASTYVERG  1500 x 750 x 25,27000071,COOPRINSEM,,"Client product-list (newest list, Productos tab): SUBCUENTA ""BOLOS SILO"" -> EXP-4.2.",
