gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00644,EXP-4.3,Bolos Heno,direct_client_example,BOLOS PAJA PLASTIFICADOS,,SERVICIOS AGRICOLA CORPAL SPA,YUTRECO,Client-confirmed row-level example.,
SA-00517,EXP-4.3,Bolos Heno,file_audit,BOLOS SILO CHAPILCAHUIN,20 bolos silo empastadas arriendo,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00518,EXP-4.3,Bolos Heno,file_audit,BOLOS PASTO SECO PELLECO,392 bolos pasto seco,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00519,EXP-4.3,Bolos Heno,file_audit,BOLOS PASTO SECO RAICES,BOLOS RAICES ARRIENDO 225,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00520,EXP-4.3,Bolos Heno,file_audit,Aplicacin de cal,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00521,EXP-4.3,Bolos Heno,file_audit,Bolos de heno,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00522,EXP-4.3,Bolos Heno,file_audit,Bolos de heno con nailo,,HECTOR ADRIAN VALENZUELA PAREDES,,[folder-audit] client filed under this category; item consistent with client description,
SA-00705,EXP-4.3,Bolos Heno,file_audit,BOLOS PAJA PLASTIFICADO,88 bolos de paja confeccin malla y cinta,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00706,EXP-4.3,Bolos Heno,file_audit,TRASLADO BOLOS CORTE ALTO,Distancia 112km viaje dos vueltas camin con carro,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00806,EXP-4.3,Bolos Heno,silver_audit,BOLOS YUTRECO,P1 P38 P33 P32 P40 P31 P23 P10 42 Ha y 208 bolos serian 5 bolos por Ha mas 3 bolos x Ha serian 126 bolos: 208x18.500 : 3.848.000 mas 126x12.000: 1.512.000 total: 5.360.000: valor Ha 127.619.,SERVICIOS AGRICOLAS CORPAL SPA,,[silver+ollama agree +claude review] matches client description,
SA-00807,EXP-4.3,Bolos Heno,silver_audit,BOLOS RAICES,"Confeccion arriendo 18ha 63bolosy sala A2 5Ha 19 bolos total 82 bolos en 23 Ha 3.5 bolos x ha 4.5x23: 103.5bolos , 82x 18.500: 1.517.000 mas 103.5x12.000: 1.242.000 total 2.759.000",SERVICIOS AGRICOLAS CORPAL SPA,,[silver+ollama agree +claude review] matches client description,
SA-00836,EXP-4.3,Bolos Heno,silver_audit,KILOS PAJA DE TRIGO,CANTIDAD: 39 MAXIFARDOS ACOPLADO: JF-2403,AGRICOLA LAS LOMAS LIMITADA,,silver top1/ollama-verify + claude review; matches client description,
SA-00837,EXP-4.3,Bolos Heno,silver_audit,Bolos Paja de Trigo,"Según Guía Despacho 573, 574, 575,579, 580",SERVICIOS AGRICOLAS OSORNO SPA,,silver top1/ollama-verify + claude review; matches client description,
SA-00840,EXP-4.3,Bolos Heno,silver_audit,FILM PARA BOLO WINPACK 750MM X 1500MT BLANCO,ROLLO 1500 MT|,Tattersall AgroInsumos S.A.,,silver top1/ollama-verify + claude review; matches client description,
SA-00842,EXP-4.3,Bolos Heno,silver_audit,CONFECCION BOLOS PELLECO,,AGRÍCOLA J-S-E LIMITADA,,silver top1/ollama-verify + claude review; matches client description,
RG-01064,EXP-4.3,Bolos Heno,file_audit,Bolos pasto seco,,HECTOR ADRIAN VALENZUELA PAREDES,,"Folder audit (newest_example_folders); folder ""BOLOS HENO"" matches taxonomy for EXP-4.3.",
