gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00122,EXP-5.3,Concentrado Otros Animales,client_product_rule,MAIZ HOJUELA COLUN X 25 KG,7607738,COLUN,,Client-confirmed product-to-category mapping.,
RG-00123,EXP-5.3,Concentrado Otros Animales,client_product_rule,COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),7612709,COLUN,,Client-confirmed product-to-category mapping.,
RG-00124,EXP-5.3,Concentrado Otros Animales,client_product_rule,PERRO FIT FORMULA ADULTO X 20 KG,7603663,COLUN,,Client-confirmed product-to-category mapping.,
RG-00374,EXP-5.3,Concentrado Otros Animales,client_product_rule,FIT FORMULA GATO ADULTO X 10 KG,7609331,COLUN,,Client-confirmed product-to-category mapping.,
RG-00477,EXP-5.3,Concentrado Otros Animales,client_product_rule,PERRO FIT FORMULA CACHORRO X 10 KG,7603664,COLUN,,Client-confirmed product-to-category mapping.,
RG-00516,EXP-5.3,Concentrado Otros Animales,client_product_rule,PERRO BAVARO WORK 26 (ADULTO) 18 KG,7610155,COLUN,,Client-confirmed product-to-category mapping.,
RG-00651,EXP-5.3,Concentrado Otros Animales,direct_client_example,PERRO FIT FORMULA ADULTO X 20 KG,,COLUN,RAICES,Client-confirmed row-level example.,
RG-00652,EXP-5.3,Concentrado Otros Animales,direct_client_example,COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),,COLUN,MAITEN,Client-confirmed row-level example.,
RG-00653,EXP-5.3,Concentrado Otros Animales,direct_client_example,MAIZ HOJUELA COLUN X 25 KG,,COLUN,MAITEN,Client-confirmed row-level example.,
SA-00480,EXP-5.3,Concentrado Otros Animales,file_audit,COLMILLO BLANCO X 20KG (ADULTO&amp;CACHORRO),COLMILLO BLANCO X 20KG (ADULTO&amp;CACHORRO),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00481,EXP-5.3,Concentrado Otros Animales,file_audit,TOALLA PAPEL INTERFOLIADA,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00482,EXP-5.3,Concentrado Otros Animales,file_audit,MAIZ HOJUELA COLUN X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00483,EXP-5.3,Concentrado Otros Animales,file_audit,PERRO FIT FORMULA ADULTO X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00911,EXP-5.3,Concentrado Otros Animales,silver_audit,PF SALERO P/NOVILLOS C/CUBIERTA -____,____,FEROSOR AGRICOLA S.A.,,ollama classify + claude audit vs description,
RG-01067,EXP-5.3,Concentrado Otros Animales,file_audit,COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder audit (newest_example_folders); folder ""CONCENTRADO OTROS ANIMALES"" matches taxonomy for EXP-5.3.",
RG-01068,EXP-5.3,Concentrado Otros Animales,file_audit,MAIZ HOJUELA COLUN X 25 KG,MAIZ HOJUELA COLUN X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder audit (newest_example_folders); folder ""CONCENTRADO OTROS ANIMALES"" matches taxonomy for EXP-5.3.",
RG-01069,EXP-5.3,Concentrado Otros Animales,file_audit,PERRO FIT FORMULA ADULTO X 20 KG,PERRO FIT FORMULA ADULTO X 20 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder audit (newest_example_folders); folder ""CONCENTRADO OTROS ANIMALES"" matches taxonomy for EXP-5.3.",
