gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00235,EXP-6.2,Nitrogeno,client_product_rule,UREA GRANULADA FUNDO,7600523,COLUN,,Client-confirmed product-to-category mapping.,
RG-00258,EXP-6.2,Nitrogeno,client_product_rule,SMARTBLUE FUNDO,7613930,COLUN,,Client-confirmed product-to-category mapping.,
RG-00314,EXP-6.2,Nitrogeno,client_product_rule,CAN 27 FUNDO,7601377,COLUN,,Client-confirmed product-to-category mapping.,
RG-00481,EXP-6.2,Nitrogeno,client_product_rule,UREA ADHERO FUNDO,7608529,COLUN,,Client-confirmed product-to-category mapping.,
RG-00494,EXP-6.2,Nitrogeno,client_product_rule,UREA GRANULADA X 25 KG,7609389,COLUN,,Client-confirmed product-to-category mapping.,
RG-00604,EXP-6.2,Nitrogeno,direct_client_example,UREA GRANULADA FUNDO,,COLUN,MAITEN,Client-confirmed row-level example.,
RG-00605,EXP-6.2,Nitrogeno,direct_client_example,UREA GRANULADA FUNDO,,COLUN,RAICES,Client-confirmed row-level example.,
RG-00606,EXP-6.2,Nitrogeno,direct_client_example,UREA GRANULADA FUNDO,,COLUN,YUTRECO,Client-confirmed row-level example.,
SA-00402,EXP-6.2,Nitrogeno,file_audit,SMARTBLUE X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00403,EXP-6.2,Nitrogeno,file_audit,SMARTBLUE X 25 KG,SMARTBLUE X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00808,EXP-6.2,Nitrogeno,silver_audit,SMART BLUE MAXI PF CNA (SF3)-FERTILIZANTES(B)-UREA,,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,,[silver+ollama agree +claude review] matches client description,
SA-00898,EXP-6.2,Nitrogeno,silver_audit,APLICACION FERTILIZANTE,YUTRECO UREA 192 HA mas 43 HA aplicación Urea,SERVICIOS AGRICOLAS CORPAL SPA,,ollama classify + claude audit vs description,
SA-00935,EXP-6.2,Nitrogeno,silver_audit,FERT. SMART-BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00952,EXP-6.2,Nitrogeno,silver_audit,SMART BLUE - MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00971,EXP-6.2,Nitrogeno,silver_audit,UREA - BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00972,EXP-6.2,Nitrogeno,silver_audit,UREA Y SMARTS BLUE -,BRAMADERO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00973,EXP-6.2,Nitrogeno,silver_audit,UREA - TINEO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
RG-01072,EXP-6.2,Nitrogeno,file_audit,UREA GRANULADA FUNDO,UREA GRANULADA FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Folder audit (newest_example_folders); folder ""NITROGENO"" matches taxonomy for EXP-6.2.",
