gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00257,EXP-6.3,Cal,client_product_rule,CAL IM MINERALS FUNDO,7607706,COLUN,,Client-confirmed product-to-category mapping.,
SA-00298,EXP-6.3,Cal,silver_audit,Ton Aplicación Cal,Ton Aplicación Cal,Servicios Bergström Limitada,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00356,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00357,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00358,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00359,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00360,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00361,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00362,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00363,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00364,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00365,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00366,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00367,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00368,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00369,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00370,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00371,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00372,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00373,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00374,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00375,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
SA-00376,EXP-6.3,Cal,silver_audit,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,,[high/keyword-audit] item matches EXP-6.3 signature,
