gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00283,EXP-6.5,Otros Fertilizantes,client_product_rule,VITRAMAG FUNDO,7059498,COLUN,,Client-confirmed product-to-category mapping.,
RG-00480,EXP-6.5,Otros Fertilizantes,client_product_rule,MURIATO DE POTASIO 60% FUNDO,7602289,COLUN,,Client-confirmed product-to-category mapping.,
SA-00773,EXP-6.5,Otros Fertilizantes,silver_audit,PELLECO FERTILIZANTE,RIEGO FERTILIZANTE VITRAMAG 150 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,,[silver+ollama agree +claude review] matches client description,
SA-00774,EXP-6.5,Otros Fertilizantes,silver_audit,VITRAMAG - TINEO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,[silver+ollama agree +claude review] matches client description,
SA-00775,EXP-6.5,Otros Fertilizantes,silver_audit,YUTRECO,APLICACION FERTILIZANTE VITRAMAC 200 HA,SERVICIOS AGRICOLAS CORPAL SPA,,[silver+ollama agree +claude review] matches client description,
SA-00776,EXP-6.5,Otros Fertilizantes,silver_audit,HUMUS 10 KG OR,HUMUS 10 KG OR,Mallas Protekta Limitada,,[silver+ollama agree +claude review] matches client description,
SA-00777,EXP-6.5,Otros Fertilizantes,silver_audit,SMART VITRAMAG CAN 27 -,BRAMADERO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,[silver+ollama agree +claude review] matches client description,
SA-00778,EXP-6.5,Otros Fertilizantes,silver_audit,COMPOST BIO FERT 25KG,COMPOST BIO FERT 25KG,Mallas Protekta Limitada,,[silver+ollama agree +claude review] matches client description,
SA-00839,EXP-6.5,Otros Fertilizantes,silver_audit,YUTRECO FERTILIZANTE,RIEGO FERTILIZANTE UREA S-MART BLUE 50 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,,silver top1/ollama-verify + claude review; matches client description,
SA-00875,EXP-6.5,Otros Fertilizantes,silver_audit,FERTILIZACION MULPULMO,,AGRÍCOLA J-S-E LIMITADA,,ollama classify + claude audit vs description,
SA-00880,EXP-6.5,Otros Fertilizantes,silver_audit,Aplicación Compost,,SAN BLAS FERTILIZACION SPA,,ollama classify + claude audit vs description,
SA-00905,EXP-6.5,Otros Fertilizantes,silver_audit,FERTILIZACION BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00954,EXP-6.5,Otros Fertilizantes,silver_audit,VITRAMAG-BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00955,EXP-6.5,Otros Fertilizantes,silver_audit,TRAS.FERTILIZANT VITRAMAG,DESDE MAITEN A TINEO,LUIS ANTONIO TORRES JARAMILLO,,ollama classify + claude audit vs description,
SA-00964,EXP-6.5,Otros Fertilizantes,silver_audit,CHAPILCAHUIN FERTILIZANTE,APLICACION DE FERTILIZANTE TRIPLE 97 HA,SERVICIOS AGRICOLAS CORPAL SPA,,ollama classify + claude audit vs description,
