gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00633,EXP-7.0,AGROQUIMICOS,direct_client_example,PRESIDE 80 WP * 300 grs,,COLUN,MAITEN,Client-confirmed row-level example.,
SA-00597,EXP-7.0,AGROQUIMICOS,file_audit,TORDON 101 X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00598,EXP-7.0,AGROQUIMICOS,file_audit,STARANE XTRA X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00599,EXP-7.0,AGROQUIMICOS,file_audit,RANGO FULL X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,,[folder-audit] client filed under this category; item consistent with client description,
SA-00720,EXP-7.0,AGROQUIMICOS,file_audit,PRESIDE 80 WP X 300 GRS.,PRESIDE 80 WP,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[folder-audit] client filed under this category; item consistent with client description,
SA-00788,EXP-7.0,AGROQUIMICOS,silver_audit,GLADIADOR 450 WP X 250 GR,GLADIADOR 450 WP X 250 GR,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[silver+ollama agree +claude review] matches client description,
SA-00789,EXP-7.0,AGROQUIMICOS,silver_audit,"GARLON 4 3,79 L",,COAGRA S.A.,,[silver+ollama agree +claude review] matches client description,
SA-00790,EXP-7.0,AGROQUIMICOS,silver_audit,CAIMAN 70 WG ( 1 KG.),,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[silver+ollama agree +claude review] matches client description,
SA-00791,EXP-7.0,AGROQUIMICOS,silver_audit,SULFATO COBRE 25 KG. -____,____,FEROSOR AGRICOLA S.A.,,[silver+ollama agree +claude review] matches client description,
SA-00792,EXP-7.0,AGROQUIMICOS,silver_audit,"LONTREL 3A 3,79 L",,COAGRA S.A.,,[silver+ollama agree +claude review] matches client description,
SA-00847,EXP-7.0,AGROQUIMICOS,silver_audit,FUMIGACIÓN CON RUEDAS,HORTALICERAS,AGRICOLA E INVERSIONES LOS COIHUES SPA,,ollama classify + claude audit vs description,
SA-00853,EXP-7.0,AGROQUIMICOS,silver_audit,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 HT6415; 21/01/2025 HT6440.",H2 ASESORIAS Y SERVICIOS SPA,,ollama classify + claude audit vs description,
SA-00858,EXP-7.0,AGROQUIMICOS,silver_audit,SULFATO COBRE 1 KG. -____,____,FEROSOR AGRICOLA S.A.,,ollama classify + claude audit vs description,
SA-00860,EXP-7.0,AGROQUIMICOS,silver_audit,ENGEO 247 SC X 1LT,ENGEO 247 SC,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00861,EXP-7.0,AGROQUIMICOS,silver_audit,Aplicación con dron agrícola 13 ha de Rutabaga,,SOC AGRICOLA GANADERA Y FORESTAL SANTA FE LTDA,,ollama classify + claude audit vs description,
SA-00863,EXP-7.0,AGROQUIMICOS,silver_audit,PIRIMOR,BOLSA 1 KG|,Tattersall AgroInsumos S.A.,,ollama classify + claude audit vs description,
SA-00864,EXP-7.0,AGROQUIMICOS,silver_audit,ROUNDUP CONTROLMAX (15 KG) BY,,MARTINEZ Y VALDIVIESO S.A,,ollama classify + claude audit vs description,
SA-00865,EXP-7.0,AGROQUIMICOS,silver_audit,ESTERON TEN-TEN (9.46 LTS) DW,,MARTINEZ Y VALDIVIESO S.A,,ollama classify + claude audit vs description,
SA-00866,EXP-7.0,AGROQUIMICOS,silver_audit,DASH HC (1 LT) BF,,MARTINEZ Y VALDIVIESO S.A,,ollama classify + claude audit vs description,
SA-00870,EXP-7.0,AGROQUIMICOS,silver_audit,SILWET X 1 LT,SILWET TX 100,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00885,EXP-7.0,AGROQUIMICOS,silver_audit,MAITEN FUMIGACION R VAG.,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00887,EXP-7.0,AGROQUIMICOS,silver_audit,BRAMADERO FUMIGACION RAP,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00897,EXP-7.0,AGROQUIMICOS,silver_audit,VENCEWEED 100 E X 1 LT.,VENCEWEED EXTRA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00903,EXP-7.0,AGROQUIMICOS,silver_audit,FUMIGACION MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00904,EXP-7.0,AGROQUIMICOS,silver_audit,FUMIGACION BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00913,EXP-7.0,AGROQUIMICOS,silver_audit,KARATE 1 LT.,KARATE CON TECNOLOGÍA ZEON,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,ollama classify + claude audit vs description,
SA-00921,EXP-7.0,AGROQUIMICOS,silver_audit,SILWET (1 LT) UPL,,MARTINEZ Y VALDIVIESO S.A,,ollama classify + claude audit vs description,
SA-00934,EXP-7.0,AGROQUIMICOS,silver_audit,STARANE XTRA EC (5 LT) DW,,MARTINEZ Y VALDIVIESO S.A,,ollama classify + claude audit vs description,
SA-00936,EXP-7.0,AGROQUIMICOS,silver_audit,FUMIGACION TINEO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,ollama classify + claude audit vs description,
SA-00937,EXP-7.0,AGROQUIMICOS,silver_audit,aplicac.dron,,SERVICIOS AGRICOLAS SCHUCK SPA,,ollama classify + claude audit vs description,
SA-00942,EXP-7.0,AGROQUIMICOS,silver_audit,DESINSECTACION,DESINSECTACION INTERIOR CASA TRABAJADOR CON EQUIPO ULV NEBULIZADOR EN FRIO.,H2 ASESORIAS Y SERVICIOS SPA,,ollama classify + claude audit vs description,
SA-00944,EXP-7.0,AGROQUIMICOS,silver_audit,TORDON 101 (4 LT) DW,,MARTINEZ Y VALDIVIESO S.A,,ollama classify + claude audit vs description,
SA-00949,EXP-7.0,AGROQUIMICOS,silver_audit,TORDON 101 4 L,,COAGRA S.A.,,ollama classify + claude audit vs description,
SA-00950,EXP-7.0,AGROQUIMICOS,silver_audit,STARANE XTRA 5 L,,COAGRA S.A.,,ollama classify + claude audit vs description,
