gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00310,EXP-8.1,Pradera Perenne,client_product_rule,SEMILLA TREBOL BLANCO RURU X 4 KG,7613577,COLUN,,Client-confirmed product-to-category mapping.,
RG-00311,EXP-8.1,Pradera Perenne,client_product_rule,SEMILLA TREBOL BLANCO KOTUKU X 4 KG,7609002,COLUN,,Client-confirmed product-to-category mapping.,
RG-00634,EXP-8.1,Pradera Perenne,direct_client_example,SEMILLA BALLICA COLUN 4*5*25 kg,,COLUN,MAITEN,Client-confirmed row-level example.,
SA-00121,EXP-8.1,Pradera Perenne,silver_audit,SIEMBRA VEGA 1- MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,[high] Pasture seeding in vega area; sibling quema vega and siembra sala confirm perennial pasture establishment. | taxonomy EXP-8.1 siembra pradera; sibling quema vega siembra sala MAITEN,
SA-00325,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA DE TREBOL BLCO KOTUKU AGRI 4 KG,,COAGRA S.A.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00338,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00339,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00340,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00341,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00342,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00343,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00344,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00345,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00346,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00347,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA TAMA CTE DES X 25 KG,SEMILLA BALLICA TAMA CTE DES,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
SA-00348,EXP-8.1,Pradera Perenne,silver_audit,SEMILLA BALLICA TAMA CTE DES X 25 KG,SEMILLA BALLICA TAMA CTE DES,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,[high/keyword-audit] item matches EXP-8.1 signature,
