gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00074,EXP-8.4,Otros Cultivos,client_product_rule,SEMILLA ARVEJA PERFECT FREEZER ( 1 KG.,22000183,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00075,EXP-8.4,Otros Cultivos,client_product_rule,SEM.AVENA URANO CERT.,22000374,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00252,EXP-8.4,Otros Cultivos,client_product_rule,SEMILLA PASTO PRADO MZ MNQHUE PLS X 5 KG,7601451,COLUN,,Client-confirmed product-to-category mapping.,
RG-00578,EXP-8.4,Otros Cultivos,direct_client_example,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,BRAMADERO,Client-confirmed row-level example.,
SA-00212,EXP-8.4,Otros Cultivos,silver_audit,SIEMBRA RAP - BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,[high] Rapeseed sowing (siembra raps); taxonomy EXP-8.4 explicitly lists raps; siblings=cultivation+herbicides. | taxonomy desc EXP-8.4 (raps semilla serv agricola); item=siembra rap,
SA-00233,EXP-8.4,Otros Cultivos,silver_audit,SIEMBRA - MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,[high] Sibling SIEMBRA RAP confirms rapeseed crop; EXP-8.4 examples include raps explicitly | sibling SIEMBRA RAP; taxonomy EXP-8.4 cites raps,
SA-00378,EXP-8.4,Otros Cultivos,silver_audit,RAPS TORDON 21K -,BRAMADERO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,[high/keyword-audit] item matches EXP-8.4 signature,
SA-00499,EXP-8.4,Otros Cultivos,file_audit,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[folder-audit] client filed under this category; item consistent with client description | [sweep2 relabel EXP-8.2->EXP-8.4] raps seed client rule RG-00578/659=8.4,
SA-00831,EXP-8.4,Otros Cultivos,silver_audit,Siembra Papas Maiten,,HSV SPA,,silver top1/ollama-verify + claude review; matches client description,
SA-00951,EXP-8.4,Otros Cultivos,silver_audit,SEM. RAPS FORR. PILLAR IMP.CTE. DES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,ollama classify + claude audit vs description,
RG-00659,EXP-8.4,Otros Cultivos,client_product_rule,SEM.RAPS FORR.SPITFIRE DES.     CTE,22000536,COOPRINSEM,,Client-confirmed product-to-category mapping.,
RG-00660,EXP-8.4,Otros Cultivos,client_product_rule,SEM. RAPS FORR. PILLAR IMP.CTE. DES,22000793,COOPRINSEM,,Client-confirmed product-to-category mapping.,
SR-00003,EXP-8.4,Otros Cultivos,client_service_rule,SIEMBRA OTROS CULTIVOS,SIEMBRA OTROS CULTIVOS,,,Client-provided standardized service description for future invoice descriptions (servicios sheet).,
SR-00007,EXP-8.4,Otros Cultivos,client_service_rule,PREPARACION SUELO OTROS CULTIVOS,PREPARACION SUELO OTROS CULTIVOS,,,Client-provided standardized service description for future invoice descriptions (servicios sheet).,
