gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag
RG-00533,EXP-9.2,Otros Gastos Riego,direct_client_example,"HI PLANZA 1/2 """,,RICARDO FRANCISCO WULFF MULLER,RAICES,Client-confirmed row-level example.,
RG-00534,EXP-9.2,Otros Gastos Riego,direct_client_example,"HI PLANZA 1""",,RICARDO FRANCISCO WULFF MULLER,RAICES,Client-confirmed row-level example.,
RG-00535,EXP-9.2,Otros Gastos Riego,direct_client_example,ABRASADERAS MET,,RICARDO FRANCISCO WULFF MULLER,RAICES,Client-confirmed row-level example.,
SA-00045,EXP-9.2,Otros Gastos Riego,silver_audit,K-L NIPLE ADAPTADOR ASPERSOR NELSON,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,"[high] Nelson sprinkler adapter niple; siblings are irrigation system components | siblings: Nelson R2000 sprinkler, tubes, fittings, pressure regulator",
SA-00168,EXP-9.2,Otros Gastos Riego,silver_audit,K-L NIPLE ADAPTADOR ASPERSOR NELSON,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,"[high] Nelson sprinkler adapter niple; siblings confirm irrigation system parts | siblings: Nelson R2000, tubes, elbows, pressure regulator EXP-9.2",
SA-00170,EXP-9.2,Otros Gastos Riego,silver_audit,.,Servicios revision y puesta en marcha fertiriego y cambio reloj horario,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high] Fertiriego inspection and commissioning service; EXP-9.2 = irrigation maintenance; not electricity. | taxonomy EXP-9.2 mantencion riego; dsc fertiriego revision puesta en marcha,
SA-00199,EXP-9.2,Otros Gastos Riego,silver_audit,K-L NIPLE ADAPTADOR ASPERSOR NELSON,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high] Nelson sprinkler adapter niple = irrigation spare part | item name: K-L NIPLE ADAPTADOR ASPERSOR NELSON,
SA-00297,EXP-9.2,Otros Gastos Riego,silver_audit,mantencion,servicio de mantencion de riego,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00379,EXP-9.2,Otros Gastos Riego,silver_audit,DESCARGA DE MAXIS,,AGRÍCOLA J-S-E LIMITADA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00380,EXP-9.2,Otros Gastos Riego,silver_audit,.,"Servicios revision tableros electricos, reparaciones, puestas en marcha, mantencion bombas fertiriego, repuestos k-line fundo maiten,yutreco y raices",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-9.1 signature,
SA-00381,EXP-9.2,Otros Gastos Riego,silver_audit,.,"Servicio electricos, regulacion frecuencia vdf,cambio rele y reloj horario fertiriego fundo yutreco",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-9.1 signature,
SA-00382,EXP-9.2,Otros Gastos Riego,silver_audit,mantencion,servicio de matencion de riego K LINE / IRRIPOD mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00383,EXP-9.2,Otros Gastos Riego,silver_audit,servicio,servicio de mantencion de riego mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00384,EXP-9.2,Otros Gastos Riego,silver_audit,mantencion idrante riego,,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00385,EXP-9.2,Otros Gastos Riego,silver_audit,servicio,mantencion de riego irripod mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00386,EXP-9.2,Otros Gastos Riego,silver_audit,servicio,reparaciones lineas de riego,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00387,EXP-9.2,Otros Gastos Riego,silver_audit,Replanteo Vertices Riego Proy. Yutreco,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00388,EXP-9.2,Otros Gastos Riego,silver_audit,K-L ASPERSOR NELSON R2000 RED - RED,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00389,EXP-9.2,Otros Gastos Riego,silver_audit,Mantención motor del,riego,SANDRA PAULINA VALLADARES RIOS,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00390,EXP-9.2,Otros Gastos Riego,silver_audit,ASPERSOR PLASTICO C/ESTACA METALICA X3APB (116008) ED,,COMERCIAL CLIMENT SPA,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00391,EXP-9.2,Otros Gastos Riego,silver_audit,ASPERSOR METALICO 1 2 - EDR 116022 -@,ASPERSOR METALICO 1 2 - EDR 116022 -@,DORIS IVONNE CASTILLO KANTER,,[high/keyword-audit] item matches EXP-9.2 signature,
SA-00392,EXP-9.2,Otros Gastos Riego,silver_audit,K-L ASPERSOR NELSON R2000 RED - RED,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,[high/keyword-audit] item matches EXP-9.2 signature,
