check,key,gold_id,category_code,leaf,source,item_text,description,provider
A_item_text,ARRIENDO OCTUBRE 25,RG-00560,ADM-1.3,Arriendo Oficina,direct_client_example,ARRIENDO OCTUBRE 25,,ADDVISE SPA
A_item_text,ARRIENDO OCTUBRE 25,RG-00561,ADM-1.3,Arriendo Oficina,direct_client_example,ARRIENDO OCTUBRE 25,,ADDVISE SPA
A_item_text,ARRIENDO OCTUBRE 25,RG-00562,ADM-1.3,Arriendo Oficina,direct_client_example,ARRIENDO OCTUBRE 25,,ADDVISE SPA
A_item_text,ARRIENDO OCTUBRE 25,RG-00563,ADM-1.3,Arriendo Oficina,direct_client_example,ARRIENDO OCTUBRE 25,,ADDVISE SPA
A_item_text,ARRIENDO OCTUBRE 25,RG-00564,ADM-1.3,Arriendo Oficina,direct_client_example,ARRIENDO OCTUBRE 25,,ADDVISE SPA
A_item_text,ARRIENDO OCTUBRE 25,SP-00400,EXP-15.5,Servicios Agricolas,silver_audit_v2,Arriendo Octubre 25,,ADDVISE SPA
A_item_text,BOLOS BRAMADERO,RG-01056,EXP-4.2,Bolos Silo,file_audit,Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,BOLOS BRAMADERO,SP-00441,EXP-15.3,Fletes,silver_audit_v2,Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,BOLOS DE PAJA,SA-00833,EXP-5.4,Bolos,silver_audit,BOLOS DE PAJA,Según guía de despacho N° 2145 48 Bolos equivalentes a 8.770 kg.,SOC COMERCIAL AGRO-TRUST LTDA
A_item_text,BOLOS DE PAJA,SP-00437,EXP-4.2,Bolos Silo,silver_audit_v2,BOLOS DE PAJA,Según guía de despacho N° 2145 48 Bolos equivalentes a 8.770 kg.,SOC COMERCIAL AGRO-TRUST LTDA
A_item_text,BOLOS PAJA DE TRIGO,SA-00837,EXP-4.3,Bolos Heno,silver_audit,Bolos Paja de Trigo,"Según Guía Despacho 573, 574, 575,579, 580",SERVICIOS AGRICOLAS OSORNO SPA
A_item_text,BOLOS PAJA DE TRIGO,SP-00436,EXP-5.3,Concentrado Otros Animales,silver_audit_v2,Bolos Paja de Trigo,"Según Guía Despacho 573, 574, 575,579, 580",SERVICIOS AGRICOLAS OSORNO SPA
A_item_text,BOLOS SILO CHAPILCAHUIN,SA-00517,EXP-4.3,Bolos Heno,file_audit,BOLOS SILO CHAPILCAHUIN,20 bolos silo empastadas arriendo,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,BOLOS SILO CHAPILCAHUIN,SP-00434,EXP-4.2,Bolos Silo,silver_audit_v2,BOLOS SILO CHAPILCAHUIN,20 bolos silo empastadas arriendo,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,BOLOS SILO RAICES F2,SA-00507,EXP-4.2,Bolos Silo,file_audit,BOLOS SILO RAICES F2,Bolos silo f2 22 bolos en 6 ha total,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,BOLOS SILO RAICES F2,SP-00435,EXP-5.4,Bolos,silver_audit_v2,BOLOS SILO RAICES F2,Bolos silo f2 22 bolos en 6 ha total,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,CHAPILCAHUIN FERTILIZANTE,SA-00964,EXP-6.5,Otros Fertilizantes,silver_audit,CHAPILCAHUIN FERTILIZANTE,APLICACION DE FERTILIZANTE TRIPLE 97 HA,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,CHAPILCAHUIN FERTILIZANTE,SP-00457,EXP-7.0,AGROQUIMICOS,silver_audit_v2,CHAPILCAHUIN FERTILIZANTE,APLICACION DE FERTILIZANTE TRIPLE 97 HA,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,CHAPILCAHUIN FERTILIZANTE,SP-00458,EXP-7.0,AGROQUIMICOS,silver_audit_v2,CHAPILCAHUIN FERTILIZANTE,APLICACION UREA SMART BLUE 100 HA,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,CONF BOLOS BRAMADERO,RG-01059,EXP-4.2,Bolos Silo,file_audit,Conf. Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,CONF BOLOS BRAMADERO,SP-00438,EXP-5.4,Bolos,silver_audit_v2,Conf. Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,CONF BOLOS TINEO,SA-00503,EXP-4.2,Bolos Silo,file_audit,Conf.. bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,CONF BOLOS TINEO,SP-00439,EXP-15.3,Fletes,silver_audit_v2,Conf.. bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,CONFECCION BOLOS PRADERA,RG-00643,EXP-4.2,Bolos Silo,direct_client_example,CONFECCION BOLOS PRADERA,,SERVICIOS AGRICOLA CORPAL SPA
A_item_text,CONFECCION BOLOS PRADERA,SA-00841,EXP-4.2,Bolos Silo,silver_audit,CONFECCIÓN BOLOS PRADERA,CONFECCIÓN bolos 196 totales,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,CONFECCION BOLOS PRADERA,SP-00419,EXP-4.3,Bolos Heno,silver_audit_v2,CONFECCIÓN BOLOS PRADERA,CONFECCIÓN bolos 196 totales,SERVICIOS AGRICOLAS CORPAL SPA
A_item_text,CONTROL DE ROEDORES,SA-00853,EXP-7.0,AGROQUIMICOS,silver_audit,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 HT6415; 21/01/2025 HT6440.",H2 ASESORIAS Y SERVICIOS SPA
A_item_text,CONTROL DE ROEDORES,SP-00242,EXP-16.2,Otros Gastos Campo,silver_audit_v2,CONTROL DE ROEDORES,"INICIO DE CONTROL DE ROEDORES PREDIO TINEO, VISITA REALIZADA EN NOVIEMBRE 2025.",H2 ASESORIAS Y SERVICIOS SPA
A_item_text,DETALLE,SA-00652,ADM-1.4,Movilizacion,file_audit,DETALLE,GASOLINA NU 1203| 81.390|L,COPEC S.A.
A_item_text,DETALLE,SP-00177,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 20.000|L,COPEC S.A.
A_item_text,DETALLE,SP-00211,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 20.100|L,COPEC S.A.
A_item_text,DETALLE,SP-00213,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 65.646|L,COPEC S.A.
