gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,split
RG-00001,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALCOHOL 95° LITRO,10000026,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00002,EXP-2.5,Otros Medicamentos,client_product_rule,CALFODEX 500 CC.,10000114,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00003,EXP-2.5,Otros Medicamentos,client_product_rule,CALFOMA PLUS 500 CC.,10000116,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00004,EXP-2.5,Otros Medicamentos,client_product_rule,CARDIOTONICO (VIVEFORT) CAJA 3X10 CC.,10000128,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00005,EXP-2.2,Medicamentos Mastitis,client_product_rule,"COBACTAN 100 CC CEFQUINOMA 2,5%",10000155,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00006,EXP-2.2,Medicamentos Mastitis,client_product_rule,COBACTAN LC CAJA 15 JERINGAS LACTAN,10000157,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00007,EXP-2.5,Otros Medicamentos,client_product_rule,COFORTA 100 CC.,10000159,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00008,EXP-2.5,Otros Medicamentos,client_product_rule,COLIMIC 50 CC. (ESPASMOLITICO),10000161,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00009,EXP-2.5,Otros Medicamentos,client_product_rule,REPIDERMA SPRAY 250 CC,10000175,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00010,EXP-2.5,Otros Medicamentos,client_product_rule,"CORTEXONA 50 CC. (DEXAMETASONA 0,2%)",10000185,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00011,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,FORMALINA 37 % CON 12% MEOH 22 KILOS,10000377,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00012,EXP-2.5,Otros Medicamentos,client_product_rule,LIQUAMICINA LA FCO. 100 CC.,10000516,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00013,EXP-2.5,Otros Medicamentos,client_product_rule,LIQUAMICINA LA FCO. 250 CC.,10000517,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00014,EXP-2.5,Otros Medicamentos,client_product_rule,MAGNEKAL 100 CC. (CLORURO DE MG),10000531,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00015,EXP-2.5,Otros Medicamentos,client_product_rule,MOSKIMIC FORTE POUR ON 1 LITRO,10000571,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00016,EXP-2.5,Otros Medicamentos,client_product_rule,MOSKIMIC FORTE POUR ON 3 LITRO,10000572,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00017,EXP-3.1,Inseminacion Artificial,client_product_rule,NOVORMON 5.000 UI (25 CC.),10000595,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00018,EXP-2.1,Terapias Secado,client_product_rule,ORBENIN E.D.C CAJA 36 JER SECADO,10000601,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00019,EXP-2.2,Medicamentos Mastitis,client_product_rule,PATHOZONE CAJA 10 JERINGAS LACTAN,10000635,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00020,EXP-2.5,Otros Medicamentos,client_product_rule,PEDEROL 2% 250 CC.,10000637,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00021,EXP-2.5,Otros Medicamentos,client_product_rule,PENCIVET 1 FCO. 6.000.000 U.I.,10000641,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00022,EXP-2.5,Otros Medicamentos,client_product_rule,RIMADYL INYECTABLE 50 CC.,10000720,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00023,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,SUERO GLUCOSADO 5% 500 CC (DEXTROSA 5%),10000855,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00024,EXP-2.5,Otros Medicamentos,client_product_rule,TERIL 5 LTS.,10000892,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00025,EXP-2.3,Vacunas,client_product_rule,VACUNA CATTLEMASTER GOLD 25 DOSIS,10000950,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00026,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC 9P 50 DOSIS,10000953,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
