row_id,item_text,description,provider,giro,source,source_file,folio,siblings
1,Limpieza de foso,,DERIVA SPA,ACTIVIDADES DE PAISAJISMO Y MATENCION DE AREAS VERDES,COMPRAS,DTE_033_000000000019_778635070.xml,19,
3,Reparación casa Maitén,,MAGDIEL AMALEC MONTECINOS SAN MARTIN,CONSTRUCCION EN OBRAS MENORES USO RESIDENCIAL,COMPRAS,DTE_033_000000000041_13160971K.xml,41,
4,Reparación y mantencion,casa Maitén,MAGDIEL AMALEC MONTECINOS SAN MARTIN,CONSTRUCCION EN OBRAS MENORES USO RESIDENCIAL,COMPRAS,DTE_033_000000000042_13160971K.xml,42,Reparación y mantencion casa Maitén
5,Flete mudanza 27/12/2024,,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000066_165563778.xml,66,"Flete Colun 30/12/2024; Traslado toro de Bramadero a El Maitén, 02/01/2025"
6,Flete Colun 30/12/2024,,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000066_165563778.xml,66,"Flete mudanza 27/12/2024; Traslado toro de Bramadero a El Maitén, 02/01/2025"
7,Traslado toro,"de Bramadero a El Maitén, 02/01/2025",JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000066_165563778.xml,66,"Flete mudanza 27/12/2024; Flete Colun 30/12/2024; Traslado toro de Bramadero a El Maitén, 02/01/2025"
8,Traslado de terneras,de El Maitén a Bramadero,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000068_165563778.xml,68,Traslado de terneras de El Maitén a Bramadero
9,Flete desde Colun,Paillaco a El Maitén,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000069_165563778.xml,69,Flete desde Colun Paillaco a El Maitén
10,excavadora JCB,modificar anclajes para excavadora JCB a universal.,CAMILO EDUARDO CABEZA FERNANDEZ,SERVICIO DE MANTENCION DE MAQUINARIA Y VEHICULOS - CONSTRUCCION,COMPRAS,DTE_033_000000000072_191750799.xml,72,"excavadora JCB modificar anclajes para excavadora JCB a universal.; reparacion carro giltrap reforzar chasis en ambos lados aplicando soldadura,"
11,reparacion carro giltrap,"reforzar chasis en ambos lados aplicando soldadura,",CAMILO EDUARDO CABEZA FERNANDEZ,SERVICIO DE MANTENCION DE MAQUINARIA Y VEHICULOS - CONSTRUCCION,COMPRAS,DTE_033_000000000072_191750799.xml,72,"excavadora JCB modificar anclajes para excavadora JCB a universal.; reparacion carro giltrap reforzar chasis en ambos lados aplicando soldadura,"
14,Muestreo forraj.el Maiten,,JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,COMPRAS,DTE_033_000000000106_98208089.xml,106,Muestras forra. Bramadero; Muestra Forra.Yutreco
15,Muestras forra. Bramadero,,JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,COMPRAS,DTE_033_000000000106_98208089.xml,106,Muestreo forraj.el Maiten; Muestra Forra.Yutreco
16,Muestra Forra.Yutreco,,JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,COMPRAS,DTE_033_000000000106_98208089.xml,106,Muestreo forraj.el Maiten; Muestras forra. Bramadero
17,INSTALACION ELECTRICA,BODEGA,ALBERTO JESUS LARA GUZMAN,SERVICIOS TECNICOS ELECTRICOS - OBRAS MENORES EN CONSTRUCCION,COMPRAS,DTE_033_000000000121_165413962.xml,121,INSTALACION ELECTRICA BODEGA
19,Dias moto potrero poncho,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000175_76868328K.xml,175,Días galpon; Ayuda en Moro chico; Desbrosar cerco maiten 3; Rep Cerco Potrero Maiten; cerco nuevo 1hebra
20,Días galpon,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000175_76868328K.xml,175,Dias moto potrero poncho; Ayuda en Moro chico; Desbrosar cerco maiten 3; Rep Cerco Potrero Maiten; cerco nuevo 1hebra
21,Ayuda en Moro chico,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000175_76868328K.xml,175,Dias moto potrero poncho; Días galpon; Desbrosar cerco maiten 3; Rep Cerco Potrero Maiten; cerco nuevo 1hebra
22,Desbrosar cerco maiten 3,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000175_76868328K.xml,175,Dias moto potrero poncho; Días galpon; Ayuda en Moro chico; Rep Cerco Potrero Maiten; cerco nuevo 1hebra
23,Rep Cerco Potrero Maiten,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000175_76868328K.xml,175,Dias moto potrero poncho; Días galpon; Ayuda en Moro chico; Desbrosar cerco maiten 3; cerco nuevo 1hebra
24,cerco nuevo 1hebra,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000175_76868328K.xml,175,Dias moto potrero poncho; Días galpon; Ayuda en Moro chico; Desbrosar cerco maiten 3; Rep Cerco Potrero Maiten
27,Azada de estribo BIMA 8 cm,Deshierbe,Bima Chile Spa,"FABRICACIÓN DE HERRAMIENTAS AGROPECUARIAS, PRODUCCIÓN DE HORTALIZAS, IMPORTACIÓN",COMPRAS,DTE_033_000000000258_776754889.xml,258,Azada de estribo BIMA 8 cm Deshierbe; Kit Azadas de Alambre Deshierbe; Sistema intercambiable NEVERSINK Deshierbe; Kit Azadas Colineales Deshierbe
28,Kit Azadas de Alambre,Deshierbe,Bima Chile Spa,"FABRICACIÓN DE HERRAMIENTAS AGROPECUARIAS, PRODUCCIÓN DE HORTALIZAS, IMPORTACIÓN",COMPRAS,DTE_033_000000000258_776754889.xml,258,Azada de estribo BIMA 8 cm Deshierbe; Kit Azadas de Alambre Deshierbe; Sistema intercambiable NEVERSINK Deshierbe; Kit Azadas Colineales Deshierbe
29,Sistema intercambiable NEVERSINK,Deshierbe,Bima Chile Spa,"FABRICACIÓN DE HERRAMIENTAS AGROPECUARIAS, PRODUCCIÓN DE HORTALIZAS, IMPORTACIÓN",COMPRAS,DTE_033_000000000258_776754889.xml,258,Azada de estribo BIMA 8 cm Deshierbe; Kit Azadas de Alambre Deshierbe; Sistema intercambiable NEVERSINK Deshierbe; Kit Azadas Colineales Deshierbe
30,Kit Azadas Colineales,Deshierbe,Bima Chile Spa,"FABRICACIÓN DE HERRAMIENTAS AGROPECUARIAS, PRODUCCIÓN DE HORTALIZAS, IMPORTACIÓN",COMPRAS,DTE_033_000000000258_776754889.xml,258,Azada de estribo BIMA 8 cm Deshierbe; Kit Azadas de Alambre Deshierbe; Sistema intercambiable NEVERSINK Deshierbe; Kit Azadas Colineales Deshierbe
36,CORTE DE LIMPIEZA,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000309_769874577.xml,309,
39,FERTILIZACION,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000311_769874577.xml,311,MOVIMIENTOS DE BOLOS
41,FUMIGACIÓN CON RUEDAS,HORTALICERAS,AGRICOLA E INVERSIONES LOS COIHUES SPA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000333_776183377.xml,333,FUMIGACIÓN CON RUEDAS HORTALICERAS
43,Traje porta cuchillos y v,modelo PRO,CUIDATUVACA SPA,CRIA DE GANADO BOVINO PARA LA PRODUCCION LECHERA,COMPRAS,DTE_033_000000000377_776387495.xml,377,Traje porta cuchillos y v modelo PRO
45,Kit empaque,,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit rodillos; Kit Carbones; Inyectores (4); Mano de Obra Bomba; Sacar e instalar; Kit Anillos
46,Kit rodillos,,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit empaque; Kit Carbones; Inyectores (4); Mano de Obra Bomba; Sacar e instalar; Kit Anillos
47,Kit Carbones,,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit empaque; Kit rodillos; Inyectores (4); Mano de Obra Bomba; Sacar e instalar; Kit Anillos
