category_code,leaf,silver_total_raw,silver_unique,audited,remaining,gold_now
ING-0.1,VENTA DE LECHE,95,52,52,0,1
ING-0.2,VENTA DE VACAS,57,24,24,0,3
ING-0.3,VENTA VAQUILLAS,0,0,0,0,0
ING-0.4,VENTA TERNEROS,0,0,0,0,0
ING-0.5,VENTA DE OTROS ANIMALES,12,7,7,0,0
ING-0.6,VENTA LEÑA,0,0,0,0,0
EXP-1.1,Otros Gastos RRHH,18,16,16,0,5
EXP-2.1,Terapias Secado,10,6,6,0,5
EXP-2.2,Medicamentos Mastitis,0,0,0,0,22
EXP-2.3,Vacunas,0,0,0,0,19
EXP-2.4,Sales Minerales,0,0,0,0,12
EXP-2.5,Otros Medicamentos,3,3,0,3,88
EXP-2.6,Otros Gastos Salud Animal,20,11,0,11,123
EXP-3.1,Inseminacion Artificial,13,3,0,3,22
EXP-4.1,Parva Silo,20,9,9,0,7
EXP-4.2,Bolos Silo,22,14,0,14,21
EXP-4.3,Bolos Heno,52,37,37,0,18
EXP-5.1,Concentrado Vacas,16,7,7,0,5
EXP-5.2,Concentrado Crianza,1,1,1,0,12
EXP-5.3,Concentrado Otros Animales,0,0,0,0,13
EXP-5.4,Bolos,70,42,42,0,11
EXP-5.5,Sustituto Lacteo,2,2,2,0,4
EXP-6.1,Fosforo,9,5,5,0,4
EXP-6.2,Nitrogeno,33,4,4,0,12
EXP-6.3,Cal,49,13,2,11,23
EXP-6.4,Guano,7,2,2,0,2
EXP-6.5,Otros Fertilizantes,21,18,18,0,9
EXP-7.0,AGROQUIMICOS,6,5,5,0,11
EXP-8.1,Pradera Perenne,93,19,14,5,28
EXP-8.2,Pradera Rotacion Corta,1,1,1,0,2
EXP-8.3,Repoblamiento,1,1,1,0,5
EXP-8.4,Otros Cultivos,44,22,22,0,8
EXP-9.1,Energia Electrica Riego,116,14,14,0,10
EXP-9.2,Otros Gastos Riego,76,50,18,32,36
EXP-10.1,Mantencion Sala,160,62,18,44,26
EXP-10.2,Diping,4,1,1,0,8
EXP-10.3,Detergentes e higenizantes,1,1,0,1,16
EXP-10.4,Otros Gastos Lecheria,20,16,16,0,15
EXP-11.1,Electricidad Lecheria,472,47,5,42,73
EXP-11.2,Electricidad Casas e Instalaciones,115,104,104,0,6
EXP-11.3,Petroleo,17,12,12,0,6
EXP-11.4,Bencina,103,80,80,0,1
EXP-11.5,Gas,34,24,13,11,24
EXP-12.1,Analisis Suelo y forraje,19,15,15,0,14
EXP-12.2,Analisis Animales,54,23,7,16,63
EXP-13.1,Mantencion Maquinaria,474,166,8,158,45
EXP-13.2,Mantencion Motos,1,1,1,0,5
EXP-13.3,Mantencion Vehiculos,2,2,0,2,27
EXP-14.1,Mantencion Caminos,311,189,189,0,8
EXP-14.2,Mantencion Cercos,40,32,3,29,61
EXP-14.3,Mantencion Agua y Purines,26,23,0,23,23
EXP-14.4,Mantencion Instalaciones,73,46,7,39,26
EXP-15.1,Servicios Agronomicos,9,6,6,0,5
EXP-15.2,Servicios Veterinarios,12,11,11,0,7
EXP-15.3,Fletes,93,49,25,24,18
EXP-15.4,Arriendo Maquinaria y Vehiculos,40,24,24,0,13
EXP-15.5,Servicios Agricolas,70,26,26,0,8
EXP-16.1,Ropa y Herramientas de Trabajo,47,31,0,31,137
EXP-16.2,Otros Gastos Campo,59,38,3,35,27
ADM-1.1,Remuneraciones Administracion,59,19,19,0,0
ADM-1.2,Comunicaciones e Internet,14,1,0,1,16
ADM-1.3,Arriendo Oficina,43,28,28,0,7
ADM-1.4,Movilizacion,13,2,1,1,22
ADM-1.5,Colacion y Alojamiento,7,4,4,0,15
ADM-1.6,Utiles y gastos de oficina.,17,16,14,2,27
ADM-1.7,Otros Gastos Administracion,114,40,24,16,110
ADM-1.8,Asesoria Contable,9,9,9,0,16
ADM-1.9,Asesoria Legal,22,5,5,0,1
ADM-1.10,Otros Servicios y Asesorias,37,21,18,3,22
ADM-2.1,Seguros Vehiculos,85,61,35,26,17
ADM-2.2,Seguros Trabajadores,65,15,2,13,29
ADM-2.3,Seguros Otros,66,34,34,0,10
