row_id,retrieval_cat,code,confidence,reason,item_text,provider
1,,,0.0,Not clearly related to any category,Limpieza de foso,DERIVA SPA
3,,EXP-14.4,0.8,House maintenance repair work,Reparación casa Maitén,MAGDIEL AMALEC MONTECINOS SAN MARTIN
4,,EXP-14.4,0.8,House maintenance repair work,Reparación y mantencion,MAGDIEL AMALEC MONTECINOS SAN MARTIN
5,,EXP-15.3,0.8,Freight for moving and animal transport,Flete mudanza 27/12/2024,JUAN ANGEL ANIBAL VERGARA OBANDO
6,,EXP-15.3,0.8,Freight for moving and animal transport,Flete Colun 30/12/2024,JUAN ANGEL ANIBAL VERGARA OBANDO
7,,EXP-15.3,0.95,Traslado de toro fits freight category,Traslado toro,JUAN ANGEL ANIBAL VERGARA OBANDO
8,,EXP-15.3,0.95,Traslado de terneras fits freight category,Traslado de terneras,JUAN ANGEL ANIBAL VERGARA OBANDO
9,,EXP-15.3,0.95,Flete desde Colun fits freight category,Flete desde Colun,JUAN ANGEL ANIBAL VERGARA OBANDO
10,,EXP-13.1,0.9,Mantencion de maquinaria fits maintenance category,excavadora JCB,CAMILO EDUARDO CABEZA FERNANDEZ
11,,EXP-13.1,0.9,Reparacion de carro fits maintenance category,reparacion carro giltrap,CAMILO EDUARDO CABEZA FERNANDEZ
14,,EXP-12.1,0.9,sampling forage for analysis,Muestreo forraj.el Maiten,JAVIER ARIEL SILVA VERA
15,,EXP-12.1,0.9,sampling forage for analysis,Muestras forra. Bramadero,JAVIER ARIEL SILVA VERA
16,,EXP-12.1,0.9,sampling forage for analysis,Muestra Forra.Yutreco,JAVIER ARIEL SILVA VERA
17,,EXP-10.4,0.8,installation for warehouse electricity,INSTALACION ELECTRICA,ALBERTO JESUS LARA GUZMAN
19,,EXP-14.2,0.7,fence maintenance and repair,Dias moto potrero poncho,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.
20,,,0.0,"No clear category match, possibly general farm labor or maintenance",Días galpon,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.
21,,,0.0,"No clear category match, possibly general farm labor or maintenance",Ayuda en Moro chico,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.
22,,EXP-14.2,0.8,Fence maintenance related to 'Desbrosar cerco',Desbrosar cerco maiten 3,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.
23,,EXP-14.2,0.8,Fence repair related to 'Rep Cerco',Rep Cerco Potrero Maiten,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.
24,,EXP-14.2,0.8,New fence installation related to 'cerco nuevo',cerco nuevo 1hebra,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.
27,,EXP-14.2,0.95,Tools for fence maintenance,Azada de estribo BIMA 8 cm,Bima Chile Spa
28,,EXP-14.2,0.95,Tools for fence maintenance,Kit Azadas de Alambre,Bima Chile Spa
29,,EXP-14.2,0.95,Tools for fence maintenance,Sistema intercambiable NEVERSINK,Bima Chile Spa
30,,EXP-14.2,0.95,Tools for fence maintenance,Kit Azadas Colineales,Bima Chile Spa
36,,EXP-14.1,0.85,Road maintenance service,CORTE DE LIMPIEZA,AGRÍCOLA J-S-E LIMITADA
39,,EXP-7.0,0.8,FERTILIZACION related to agrochemicals and fertilization services,FERTILIZACION,AGRÍCOLA J-S-E LIMITADA
41,,EXP-7.0,0.8,FUMIGACIÓN CON RUEDAS related to agrochemicals and pest control,FUMIGACIÓN CON RUEDAS,AGRICOLA E INVERSIONES LOS COIHUES SPA
43,,,0.0,Not clearly related to any category,Traje porta cuchillos y v,CUIDATUVACA SPA
45,,EXP-13.1,0.6,Kit empaque related to machine maintenance and repairs,Kit empaque,HECTOR PATRICIO RIVERA BURGOS
46,,EXP-13.1,0.6,Kit rodillos related to machine maintenance and repairs,Kit rodillos,HECTOR PATRICIO RIVERA BURGOS
47,,EXP-13.1,0.95,Kit Carbones related to machinery maintenance,Kit Carbones,HECTOR PATRICIO RIVERA BURGOS
48,,EXP-13.1,0.95,Inyectores (4) related to machinery maintenance,Inyectores (4),HECTOR PATRICIO RIVERA BURGOS
49,,EXP-13.1,0.95,Mano de Obra Bomba related to machinery maintenance,Mano de Obra Bomba,HECTOR PATRICIO RIVERA BURGOS
50,,EXP-13.1,0.95,Sacar e instalar related to machinery maintenance,Sacar e instalar,HECTOR PATRICIO RIVERA BURGOS
51,,EXP-13.1,0.95,Kit Anillos related to machinery maintenance,Kit Anillos,HECTOR PATRICIO RIVERA BURGOS
52,,EXP-15.5,0.95,Servicio de caro purinero related to agricultural services,DICIEMBRE LAS RAICES,AGRÍCOLA RIBERAS DEL SAUCE SPA
54,,EXP-4.2,0.9,Confección de bolos related to bale silage contractors,Confección de bolos,HECTOR ADRIAN VALENZUELA PAREDES
55,,EXP-4.2,0.9,Bolos related to bale silage contractors,Bolos,HECTOR ADRIAN VALENZUELA PAREDES
57,,EXP-15.3,0.95,VIAJE 36 VACAS related to animal freights,VIAJE 36 VACAS,RAFAEL ANDRES BERTIN DELGADO
58,,,0.0,Not classified as it does not fit any category,Botellón 20 litros,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.
59,,,0.0,No description or relevant category found,FUNDAS ASIENTO,COMERCIALIZADORA DE REPUESTOS ALEJANDRA XIMENA MUÑOZ BALTRA 
60,,EXP-13.1,0.8,Electrical installation for generator in offices,PRESUPUESTO N° 2287/2024,ROBERTO RENÉ RODRIGUEZ ARANCIBIA MONTAJES ELECTRICOS E INDUS
61,,,0.0,No description or relevant category found,Consumo,CUADRIL SPA
62,,EXP-13.2,0.8,Maintenance of motorcycle with oil and filters,mantencion trx 520,MULTIMOTOS OSORNO SPA
63,,EXP-13.2,0.8,Motorcycle oil and filter maintenance,aceite motul,MULTIMOTOS OSORNO SPA
64,,EXP-13.2,0.9,filter and oil related to motorcycle maintenance,filtro de aceite,MULTIMOTOS OSORNO SPA
65,,EXP-13.2,0.9,oil and motorcycle maintenance,aceite corona,MULTIMOTOS OSORNO SPA
66,,,0.0,unidentifiable code or description,SEGUN OT 103,MULTIMOTOS OSORNO SPA
67,,,0.0,unidentifiable code or description,SEGUN OT 104,MULTIMOTOS OSORNO SPA
68,,,0.0,unidentifiable code or description,SEGUN OT 107,MULTIMOTOS OSORNO SPA
69,,,0.0,No description or clear category,SEGUN OT 108,MULTIMOTOS OSORNO SPA
70,,,0.0,No description or clear category,SEGUN OT 106,MULTIMOTOS OSORNO SPA
71,,,0.0,No description or clear category,SEGUN OT 82,MULTIMOTOS OSORNO SPA
73,,EXP-7.0,0.9,Rodent control is part of pest management,CONTROL DE ROEDORES,H2 ASESORIAS Y SERVICIOS SPA
79,,EXP-13.1,0.7,Motor repair is maintenance,Revisión motor,CARLOS JOAQUIN CAMPOS GONZALEZ
80,,,0.0,No clear category match,huinchas 11/2x4.20,VENTAS DE REPUESTOS DAVID BASTIAS CHAMORRO E.I.R.L.
83,,ADM-1.7,0.8,Arriendo enero 25 likely refers to rental expense,Arriendo enero 25,ADDVISE SPA
84,,EXP-13.1,0.9,Bujia NGK is a spark plug used in machinery maintenance,STIHL BUJIA NGK BPMR7A,INVERSIONES DEL RANCO LIMITADA
85,,EXP-13.1,0.9,Lima is a file used in machinery maintenance,LIMA 5 5 MM 7 32,INVERSIONES DEL RANCO LIMITADA
86,,EXP-13.1,0.8,Mano de obra refers to labor for machinery maintenance,MANO DE OBRA PEDRO,INVERSIONES DEL RANCO LIMITADA
87,,,0.0,"No matches any category, likely unrelated to dairy farm operations",BOBINA MS360 MS390,INVERSIONES DEL RANCO LIMITADA
88,,,0.0,"No matches any category, likely unrelated to dairy farm operations",RESORTE BUJIA MS 192T 250 390,INVERSIONES DEL RANCO LIMITADA
89,,,0.0,"No matches any category, likely unrelated to dairy farm operations",MATERIALES,INVERSIONES DEL RANCO LIMITADA
90,,EXP-9.2,0.8,Related to irrigation maintenance and spare parts,Abrazadera Cremallera 16-25mm,COMERCIALIZADORA RIEGO BUENO LIMITADA
91,,EXP-9.2,0.8,Related to irrigation maintenance and spare parts,Terminal Compresión 40mm HE,COMERCIALIZADORA RIEGO BUENO LIMITADA
92,,EXP-9.2,0.9,related to irrigation maintenance and parts,Terminal Compresión 40mm HI,COMERCIALIZADORA RIEGO BUENO LIMITADA
96,,,0.0,not a valid invoice line,Comentarios:,AUTOMOTRIZ TECNOCID LIMITADA
97,,EXP-14.1,0.8,related to road and infrastructure maintenance,TAPA TORNILLO PVC HIDR HE 34,TODO CONSTRUCCION SUR SPA
98,,EXP-14.1,0.8,related to road and infrastructure maintenance,TAPA GORRO PVC HIDR HI 25X34,TODO CONSTRUCCION SUR SPA
100,,EXP-9.2,0.9,related to irrigation maintenance and parts,TERMINAL HI 32 MM HDPE,TODO CONSTRUCCION SUR SPA
101,,EXP-14.4,0.9,Maintenance of fire extinguishers falls under building maintenance,MANTENCION EXTINTOR PQS,EXTINT0RES ALFA VALDIVIA SPA
104,,EXP-14.4,0.9,Maintenance of fire extinguishers falls under building maintenance,MANTENCION EXTINTOR CO2,EXTINT0RES ALFA VALDIVIA SPA
106,,EXP-14.4,0.9,Maintenance of fire extinguishers falls under building maintenance,RECARGA EXTINTOR PQS,EXTINT0RES ALFA VALDIVIA SPA
108,,EXP-14.4,0.9,Maintenance of fire extinguishers falls under building maintenance,EXTINTOR CERTIFICADO PQS,EXTINT0RES ALFA VALDIVIA SPA
109,,EXP-13.1,0.8,Pump maintenance falls under machinery maintenance,BOMBA ROVATTI F33K100&#47;3H,ENTRE RIEGOS DEL SUR SPA
110,,,0.0,No description or item indicates a category,ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA,ENTRE RIEGOS DEL SUR SPA
111,,EXP-13.1,0.8,Item relates to machinery parts and installation,GOMA ACOPLAMIENTO VALVOLINE MOTOBOMBA,ENTRE RIEGOS DEL SUR SPA
112,,EXP-13.1,0.8,Item relates to machinery parts and installation,EMPAQUETADURA PLANA 100MM 4&quot; BRIDA&#47;FLANGE,ENTRE RIEGOS DEL SUR SPA
113,,EXP-13.1,0.8,Item relates to machinery parts and installation,MANO DE OBRA RETIRO DE BOMBA VIEJA E,ENTRE RIEGOS DEL SUR SPA
114,,EXP-13.1,0.8,Item relates to machinery parts and installation,INSTALACION DE BOMBA ROVATTI NUEVA,ENTRE RIEGOS DEL SUR SPA
115,,EXP-10.4,0.9,Plastic fittings for dairy shed maintenance,Copla Compresión 40mm Irritec,SERVICIOS PUELCHE SPA
116,,EXP-10.4,0.9,Plastic fittings for dairy shed maintenance,Copla Compresión 50mm Arangül,SERVICIOS PUELCHE SPA
118,,EXP-10.1,0.8,Dairy shed maintenance products and filters,EFFECT 60 LTS.,GEA Farm Technologies Osorno Ltda.
124,,EXP-10.1,0.8,Dairy shed maintenance products,PIOLA PERLON 4MM DE ALTA RESISTENCIA,GEA Farm Technologies Osorno Ltda.
131,,EXP-10.1,0.8,Dairy shed maintenance sensors and services,SENSOR FLOTADOR CPL. U/F,GEA Farm Technologies Osorno Ltda.
136,,EXP-10.1,0.9,"Provider is GEA, which is related to shed maintenance.",TAPA FRONTAL METATRON S21,GEA Farm Technologies Osorno Ltda.
142,,EXP-3.1,0.8,Item is related to artificial insemination supplies.,Implementos para Inseminacion Sheaths Blue IMV,ABS CHILE LIMITADA
143,,EXP-13.1,0.7,Cuchilla is a part used in machinery maintenance.,CUCHILLA IZQUIERDA K6801410,COMERCIAL CERES SPA
144,,EXP-13.1,0.7,Cuchilla is a part used in machinery maintenance.,CUCHILLA DERECHA K6801420,COMERCIAL CERES SPA
150,,,0.0,Not clearly related to any category.,ESPUMA CLORADA 2.0 20 KG.,QUIMILAB HT S.A.
154,,EXP-11.3,0.95,"Diesel is classified under fuels and electric power, specifically diesel.",DIESEL B,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.
157,,,0.0,Not related to any category for a dairy farm.,CLORO PISCINA LIQUIDO BIDON 5 LTS QUIMICA UNIVERSAL -@,DORIS IVONNE CASTILLO KANTER
158,,,0.0,Not related to any category for a dairy farm.,CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@,DORIS IVONNE CASTILLO KANTER
159,,,0.0,Not related to any category for a dairy farm.,CLORO EN TABLETAS POTE 1KG CLASE 5 1 QUIMICA UNIVERSAL-@,DORIS IVONNE CASTILLO KANTER
160,,,0.0,Not related to any category for a dairy farm.,ALGUICIDA BIDON 5LTS -@,DORIS IVONNE CASTILLO KANTER
162,,,0.0,Not related to any dairy-farm category,SELLOTEC SILICONA ACETICA SC1000-S C FUNG TRANSP 300ML -@,DORIS IVONNE CASTILLO KANTER
163,,,0.0,Not related to any dairy-farm category,AQ-GOMA SELLO AQUAPLUV TIGRE -@,DORIS IVONNE CASTILLO KANTER
164,,,0.0,Not related to any dairy-farm category,BROCHA HELA 1 2 X4 C GRIS MANGO MADERA -@,DORIS IVONNE CASTILLO KANTER
165,,,0.0,Not related to any dairy-farm category,CERR250-CERRADURA POMO NEGRA DORMITORIO KUTZ -@,DORIS IVONNE CASTILLO KANTER
166,,,0.0,Not related to any dairy-farm category,SELLADOR SIKAFLEX-11FC NEGRO PURFORM 300 ML -@,DORIS IVONNE CASTILLO KANTER
167,,,0.0,"No matches any category, appears to be general hardware items.",GUARDAPOLVO RODON DE 2 PULGADAS ANCHO -@,DORIS IVONNE CASTILLO KANTER
