input_id,item,was,now,was_decision,now_decision,why,amount
783847701|1452|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2332712
783847701|1452|2,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2384389
783847701|1464|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2316659
783847701|1464|2,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2376237
783847701|1479|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2393615
783847701|1479|2,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2393615
783847701|1490|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2396384
783847701|1490|2,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2396384
783847701|1502|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2404731
783847701|1502|2,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2404731
783847701|1516|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2405969
783847701|1516|2,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2405969
783847701|1529|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2412255
783847701|1543|1,ARRIENDO FUNDO PELLECO,EXP-14.1,EXP-15.7,review_required,auto_accept,client 2026-08-17,2408983
97036000K|51964399|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,8314491
97036000K|52220425|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,1487644
97036000K|52357439|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,2399192
97036000K|52659387|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,608807
97036000K|52685845|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,2399192
97036000K|52973725|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,608807
97036000K|53049578|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,2399192
97036000K|53325198|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,608807
97036000K|53387058|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,2399192
97036000K|53670178|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,608807
97036000K|53722489|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,2399192
97036000K|53999128|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,608807
97036000K|54041614|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,2399192
97036000K|54348139|1,PAGO ARRIENDO OPERACION:,EXP-14.1,EXP-15.8,review_required,auto_accept,client 2026-08-17,608807
