input_id,item,was_code,was_decision,was_final_code,now_code,now_decision,now_final_code,why,amount
COMPRAS|81201000K|24168223|4,NECTAR ANDINA FRUT NARAN LIGHT PET 1.5LT,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,1345
COMPRAS|81201000K|25771159|12,NECTAR WATT S PINA LIGHT PET 1.5LT,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,1500
COMPRAS|815376005|41329900|15,JAMON PECHUGA COCIDA SOPRAVAL 200GR,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,2521
COMPRAS|815376005|41329900|9,MAGDALENA TRES LECHES PULMAHUE 300GR,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,1672
COMPRAS|815376005|42598882|3,MINITURRON AMBROSOLI 300 GR,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,2176
COMPRAS|815376005|42715690|7,"PAPAS FRITAS KRYZPO 130 GR, ORIGINAL",ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,1378
COMPRAS|815376005|43024983|2,"PAPAS FRITAS KRYZPO 130 GR, ORIGINAL",ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,1521
COMPRAS|815376005|43024983|9,"NECTAR ANDINA PET LIGHT 1.5 LT, DURAZNO",ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,1261
COMPRAS|815376005|43287292|11,NUEZ PARTIDA FRUTISA 200 GR,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,8890
COMPRAS|815376005|43287292|14,CLEMENTINA MALLA 1 KG,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,2672
COMPRAS|815376005|43287292|5,NARANJA MALLA 2 KG,ADM-1.6,auto_accept,ADM-1.6,EXP-1.1,auto_accept,EXP-1.1,client supermarket-food rule,2092
