input_id,plate,item,was,now,amount
COMPRAS|810941006|27783884|1,TBZL91,GASOLINA 93,EXP-11.4,ADM-1.4,97655.0
COMPRAS|810941006|27785510|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,23664.0
COMPRAS|810941006|27785847|1,SHZW36,GASOLINA 93,EXP-11.4,ADM-1.4,26324.0
COMPRAS|810941006|27785925|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,56421.0
COMPRAS|810941006|28124565|1,JSFK23,GASOLINA 93,EXP-11.4,ADM-1.4,54427.0
COMPRAS|810941006|28124895|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,70000.0
COMPRAS|810941006|28124912|1,PSSS88,GASOLINA 93,EXP-11.4,ADM-1.4,25000.0
COMPRAS|810941006|28124962|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,58334.0
COMPRAS|810941006|28125729|1,PSSS88,GASOLINA 93,EXP-11.4,ADM-1.4,23667.0
COMPRAS|810941006|28125976|1,PKSR82,GASOLINA 95,EXP-11.4,ADM-1.4,27683.0
COMPRAS|810941006|28309638|1,TYLD93,GASOLINA 93,EXP-11.4,ADM-1.4,49333.0
COMPRAS|810941006|28310284|2,TYLD93,GASOLINA 93,EXP-11.4,ADM-1.4,63919.0
COMPRAS|810941006|28354167|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,22757.0
COMPRAS|810941006|28354528|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,23374.0
COMPRAS|810941006|28368140|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,25579.0
COMPRAS|810941006|28355047|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,22532.0
COMPRAS|810941006|28355088|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,45689.0
COMPRAS|810941006|28355089|1,TJXC63,GASOLINA 95,EXP-11.4,ADM-1.4,21781.0
COMPRAS|810941006|28355538|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,23889.0
COMPRAS|810941006|28921670|1,PSSS88,GASOLINA 93,EXP-11.4,ADM-1.4,15203.0
COMPRAS|810941006|28922235|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,58129.0
COMPRAS|810941006|28355703|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,59055.0
COMPRAS|810941006|28355725|1,TYSZ10,GASOLINA 93,EXP-11.4,ADM-1.4,29527.0
COMPRAS|810941006|28355795|1,JTXC63,GASOLINA 93,EXP-11.4,ADM-1.4,15062.0
COMPRAS|810941006|28355895|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,45549.0
COMPRAS|810941006|28720938|1,TBZL91,GASOLINA 93,EXP-11.4,ADM-1.4,78986.0
COMPRAS|810941006|28922308|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,48574.0
COMPRAS|810941006|28922334|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,48532.0
COMPRAS|810941006|28922425|1,TJXC64,GASOLINA 93,EXP-11.4,ADM-1.4,38389.0
COMPRAS|810941006|29082387|1,TBZL91,GASOLINA 93,EXP-11.4,ADM-1.4,74396.0
COMPRAS|810941006|29163058|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,30592.0
COMPRAS|810941006|29163407|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,31272.0
COMPRAS|810941006|29163410|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,23454.0
COMPRAS|810941006|29163492|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,15812.0
COMPRAS|810941006|29307870|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,56289.0
COMPRAS|810941006|29308275|1,PKSR82,GASOLINA 93,EXP-11.4,ADM-1.4,40341.0
COMPRAS|810941006|29309175|1,PSSS88,GASOLINA 93,EXP-11.4,ADM-1.4,22016.0
COMPRAS|810941006|29309284|1,TJXC64,GASOLINA 93,EXP-11.4,ADM-1.4,47642.0
COMPRAS|810941006|29582622|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,21364.0
COMPRAS|810941006|29582626|1,TYSZ10,GASOLINA 93,EXP-11.4,ADM-1.4,28486.0
COMPRAS|810941006|29934329|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,19148.0
COMPRAS|810941006|29934363|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,19148.0
COMPRAS|810941006|29934382|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,19148.0
COMPRAS|810941006|29934399|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,19148.0
COMPRAS|810941006|29884363|1,TJXC64,GASOLINA 93,EXP-11.4,ADM-1.4,23424.0
COMPRAS|810941006|29934529|1,TBZL91,GASOLINA 93,EXP-11.4,ADM-1.4,59686.0
COMPRAS|810941006|29934913|1,TJXC63,GASOLINA 93,EXP-11.4,ADM-1.4,20345.0
