folio,rut,money_line,old_name,new_name,deleted_line,amount
551719,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD40 CUARTA MANTENCION,6,492130.0
553382,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD30 TERCERA MANTENCION,6,459698.0
558367,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD60 SEXTA MANTENCION,6,393242.0
561426,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD10 PRIMERA MANTENCION,6,337487.0
565825,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD30 TERCERA MANTENCION,6,401132.0
567514,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD50 QUINTA MANTENCION,6,477076.0
569101,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD10 PRIMERA MANTENCION,6,338417.0
571282,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD40 CUARTA MANTENCION,6,542878.0
572916,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD20 SEGUNDA MANTENCION,6,389471.0
575474,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD60 SEXTA MANTENCION,6,496339.0
580760,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD70 SERVICIO DE 70000 KM.,6,347433.0
582337,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD40 CUARTA MANTENCION,6,417921.0
587911,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD70 SERVICIO DE 70000 KM.,6,504288.0
592958,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD20 SEGUNDA MANTENCION,6,406321.0
597788,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD80 OCTAVA MANTENCION,6,531013.0
598671,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD50 QUINTA MANTENCION,6,401776.0
599067,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD20 SEGUNDA MANTENCION,6,413063.0
603661,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD30 TERCERA MANTENCION,6,358944.0
608452,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD30 TERCERA MANTENCION,6,513204.0
610482,969183005,1,Marca Modelo Patente Stock Km.Veh. Fec Recep,S-MD90 NOVENA MANTENCION,6,506147.0
