input_id,item,was_code,was_decision,was_source,now_code,now_decision,why,amount
COMPRAS|64165534|87715|1,REPARACION 01 MOTOR HIDRAULICO,EXP-13.2,auto_accept,model,EXP-13.1,review_required,a hydraulic motor is machinery; matched Mantencion Motos on MOTOR,53550
COMPRAS|64165534|89752|1,REP 01 MOTOR HIDRAULICO,EXP-13.2,review_required,model,EXP-13.1,review_required,a hydraulic motor is machinery; matched Mantencion Motos on MOTOR,69800
COMPRAS|66554732|204334|1,GUARDAPOLVO RODON DE 2 PULGADAS ANCHO -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",16640
COMPRAS|66554732|204334|12,AQ-SOPORTE CANAL AQUAPLUV TIGRE -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,2620
COMPRAS|66554732|204334|4,AQ-TEE BAJADA AQUAPLUV TIGRE -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,4168
COMPRAS|66554732|204334|5,TAUTO-FINA 2 TORNILLO AUTOPERF FINA CAJA 100 UN -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",3345
COMPRAS|66554732|204334|6,CLAVO DE 3 KG -@,EXP-7.0,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",1408
COMPRAS|66554732|204334|7,CLAVO DE 4 KG -@,EXP-7.0,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",1408
COMPRAS|66554732|206086|3,TVZC TORNILLO VOLCANITA ZINC 2 CJ 100UN -@,ADM-1.2,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",924
COMPRAS|66554732|207044|2,TAUTO-FINA 2 TORNILLO AUTOPERF FINA CAJA 100 UN -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",3345
COMPRAS|66554732|210058|3,VALVULA COMPACTA HI 1 -@,EXP-1.1,review_required,model,EXP-14.3,review_required,shut-off valve; belongs with the water and slurry line,1092
COMPRAS|66554732|210058|5,-NIPLE HE-HE 1 -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,269
COMPRAS|66554732|211314|2,PCO PERNO COCHE 5 16 X 1 -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",168
COMPRAS|66554732|211314|3,PCO PERNO COCHE 5 16 X 1 -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",168
COMPRAS|66554732|213510|3,LIMA MOTOSIERRA -@,EXP-13.2,auto_accept,model,EXP-16.2,review_required,chainsaw consumable; the product lookup already files LIMA MOTOSIERRA here,1933
COMPRAS|66554732|215286|1,FU-TUBERIA FUSION 20MM O PPR -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,2672
COMPRAS|66554732|215286|10,TVZC TORNILLO VOLCANITA ZINC 2 1 2 CJ 100UN -@,ADM-1.2,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",1412
COMPRAS|66554732|215286|11,LLAVE BOLA JARDIN 1 2 H-FULL MANILLA ROJA -@,EXP-1.1,review_required,model,EXP-14.3,review_required,shut-off valve; belongs with the water and slurry line,2261
COMPRAS|66554732|215286|12,FU-TERMINAL HE 1 2 X 20MM METALICO PEGAR PPR -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,1160
COMPRAS|66554732|215286|3,FU-CODO 20MM PPR -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,504
COMPRAS|66554732|215286|4,FU-TEE 20MM PPR -@,EXP-1.1,review_required,model,EXP-14.3,review_required,threaded/PPR plumbing fitting; belongs with the water and slurry line,268
COMPRAS|66554732|215286|6,TAUTO-FINA 2 TORNILLO AUTOPERF FINA CAJA 100 UN -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",3269
COMPRAS|66554732|216303|1,CEMENTO -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"cement is a building material, not a staff cost",38130
COMPRAS|66554732|216745|1,ESMALTE AL AGUA ACRYFOL BLANCO GALON ALGIFOL -@,EXP-1.1,review_required,model,EXP-14.4,review_required,paint and brush; parked here pending the client's ruling on where paint goes,180500
COMPRAS|66554732|216745|5,LIJA MADERA GRANO 100 -@,EXP-7.0,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",1850
COMPRAS|66554732|216899|4,TVZC TORNILLO VOLCANITA ZINC 1 5 8 CJ 100UN -@,ADM-1.2,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",798
COMPRAS|66554732|216899|5,GUARDAPOLVO RODON ESPECIAL 3 X 3 4 ESPESOR -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",25390
COMPRAS|66554732|216974|1,ESMALTE AL AGUA COPPER 960 TOQUE CREATIVO GALON PANOR -@,ADM-1.6,review_required,model,EXP-14.4,review_required,paint and brush; parked here pending the client's ruling on where paint goes,59496
COMPRAS|66554732|217579|1,CLAVO DE 4 KG -@,EXP-7.0,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",7040
COMPRAS|66554732|217579|2,CLAVO DE 3 KG -@,EXP-7.0,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",7040
COMPRAS|66554732|217579|3,CLAVO DE TECHO X BOLSA -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",6756
COMPRAS|66554732|217755|2,GUARDAPOLVO RODON ESPECIAL 3 X 3 4 ESPESOR -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",25390
COMPRAS|66554732|217755|3,TAUTO-FINA 1 1 2 TORNILLO AUTOPERF FINA CAJA 100 UN -@,ADM-1.6,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",5344
COMPRAS|66554732|218245|1,CEMENTO OFERTA ESPECIAL -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"cement is a building material, not a staff cost",32373
COMPRAS|66554732|218245|3,CLAVO DE TECHO X BOLSA -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",2252
COMPRAS|66554732|218245|4,KG SOLDADURA E6011 1 8 BOLSA KRAFTER -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",3092
COMPRAS|66554732|218389|4,BROCHA CONDECORA 3 -@,EXP-1.1,review_required,model,EXP-14.4,review_required,paint and brush; parked here pending the client's ruling on where paint goes,1218
COMPRAS|66554732|218817|5,TVZC TORNILLO VOLCANITA ZINC 2 1 2 CJ 100UN -@,ADM-1.2,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",2824
COMPRAS|66554732|218819|1,CEMENTO OFERTA ESPECIAL -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"cement is a building material, not a staff cost",28776
COMPRAS|66554732|219022|2,TAUTO-FINA 2 TORNILLO AUTOPERF FINA CAJA 100 UN -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",6538
COMPRAS|66554732|219022|3,SOPORTE POLICARBONATO TRANSPARENTE -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",30200
COMPRAS|66554732|219022|4,CLAVO DE TECHO X BOLSA -@,EXP-1.1,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",2252
COMPRAS|66554732|219022|5,CLAVO DE 4 KG -@,EXP-7.0,review_required,model,EXP-14.4,review_required,"nail, screw, weld rod or board; building material, not comms or agrochemicals",14080
