item,was_code,now_code,proof,amount
HDPE-TERMINAL HI COMPRESION 50MM X 1 1/2 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2429
HDPE-TERMINAL HE 40MMX1 1 4 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1765
HDPE-TERMINAL HI COMPRESION 50MM X 1 1/2 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2429
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1344
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",7392
HDPE-TERMINAL HE 50MM X 1 1 2 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",23530
HDPE-TERMINAL HE 63 X 2 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",30920
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",6720
HDPE-COPLA 20MM -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1965
HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",6592
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2772
HDPE-CODO 32MM - PN16 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",12102
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1344
HDPE-TERMINAL HI COMPRESION 25MM X 3/4 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",588
HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",824
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1848
HDPE-CODO 32MM - PN16 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",20170
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",3696
HDPE-CODO 32MM - PN16 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",15270
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",8690
HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",5688
HDPE-TERMINAL HE 63 X 2 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4523
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2126
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",869
