input_id,item,was_code,now_code,proof,amount
COMPRAS|66554732|205428|1,HDPE-COPLA COMPRESION 25MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,7560
COMPRAS|66554732|205428|2,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,4976
COMPRAS|66554732|213212|1,HDPE-COPLA COMPRESION 50MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,36810
COMPRAS|66554732|213510|3,LIMA MOTOSIERRA -@,EXP-16.2,EXP-16.2,"LIMA MOTOSIERRA 3/16""",1933
COMPRAS|66554732|217031|5,HDPE-COPLA COMPRESION 25MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,8320
COMPRAS|66554732|221773|1,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,18660
COMPRAS|66554732|223063|20,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,2488
COMPRAS|66554732|228160|1,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,27560
COMPRAS|66554732|230096|1,CLAVO TERRANO DE 1 1 2 KG -@,EXP-14.4,EXP-14.2,"CLAVO TERRANO 1 1/2"" X 1 KG",3672
COMPRAS|66554732|232383|2,HDPE-COPLA COMPRESION 50MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,25398
COMPRAS|66554732|234069|6,LIMA MOTOSIERRA S MANGO 7/32 -@,EXP-16.2,EXP-16.2,"LIMA MOTOSIERRA 3/16""",957
COMPRAS|66554732|235114|3,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,31690
COMPRAS|66554732|236187|5,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,19014
COMPRAS|66554732|238031|1,LIMA MOTOSIERRA S MANGO 7/32 -@,EXP-16.2,EXP-16.2,"LIMA MOTOSIERRA 3/16""",2871
COMPRAS|66554732|240549|7,HDPE-COPLA COMPRESION 25MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,4785
COMPRAS|66554732|241054|4,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,15845
COMPRAS|66554732|241054|5,HDPE-COPLA COMPRESION 25MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,9570
COMPRAS|66554732|241826|1,HDPE-COPLA COMPRESION 50MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,42330
COMPRAS|66554732|241826|5,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,31690
COMPRAS|66554732|243075|1,HDPE-COPLA COMPRESION 50MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,12699
COMPRAS|66554732|243075|2,HDPE-COPLA COMPRESION 63MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,11558
COMPRAS|66554732|243077|1,HDPE-COPLA COMPRESION 63MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,11558
COMPRAS|66554732|246300|7,LIMA MOTOSIERRA S MANGO 7/32 -@,EXP-16.2,EXP-16.2,"LIMA MOTOSIERRA 3/16""",957
COMPRAS|66554732|246300|8,HDPE-COPLA COMPRESION 50MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,4233
COMPRAS|66554732|14554|1,HDPE-COPLA COMPRESION 32MM -@,EXP-14.3,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,18660
COMPRAS|761751565|17921|1,Copla Compresión 40mm Irritec,ADM-1.6,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,15356
COMPRAS|761751565|17921|2,Copla Compresión 50mm Arangül,ADM-1.6,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,13548
COMPRAS|761751565|18524|1,Copla Compresión 50mm Arangül,ADM-1.6,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,20322
COMPRAS|761751565|18524|2,Copla Compresión 63mm Arangül,ADM-1.6,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,26046
COMPRAS|761751565|18524|3,Copla Compresión 40mm Irritec,ADM-1.6,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,23034
